,logFC,logCPM,PValue,FDR
PA1655,1.39554296316667,5.51691680058618,4.12385081317741e-07,1.77792140601529e-06
PA2574,-1.88069501317824,4.5852857169689,4.12965872443878e-07,1.77907452483789e-06
PA3599,-1.12445476523889,4.88185078730914,4.15627286102657e-07,1.78847614025067e-06
PA4224,-1.77034145141026,5.73788020501309,4.15778179839889e-07,1.78847614025067e-06
PA2993,1.20403487103242,6.59780997015513,4.30047443135087e-07,1.84845524763136e-06
PA3642,1.58117791225749,6.09586233055113,4.31612003688054e-07,1.85377682068137e-06
PA5056,-1.52552657838389,6.61478717730408,4.34543922539394e-07,1.86495872424692e-06
PA2740,1.37867747542925,7.1548041998265,4.3838793604988e-07,1.88003527257645e-06
PA3484,1.55630301259236,5.6930781275426,4.39601880432518e-07,1.88381847327988e-06
PA4828,-1.38080939432118,3.08068121651193,4.50760346877632e-07,1.92872437797377e-06
PA3770,1.32736284078424,8.58325611711596,4.53409209482812e-07,1.93859750861702e-06
PA5075,1.55705304158933,5.43170484411853,4.64616209420234e-07,1.98331857246143e-06
PA2639,1.20276640542063,8.87156377789951,4.6491669953261e-07,1.98331857246143e-06
PA4414,1.12880989137482,7.52955058663407,4.69380516488472e-07,1.99935676865832e-06
PA4853,1.83152645523189,5.21958504782467,4.69888732047629e-07,2.0000211548474e-06
PA3850,1.25585915372588,6.07672267849961,4.7631175896697e-07,2.02584132390596e-06
PA0397,-1.13398825145898,5.04317693817746,4.81571547291912e-07,2.04667907599063e-06
PA0428,1.46695490692113,8.73913646023862,4.89209286421733e-07,2.07758438915677e-06
PA1291,1.63340541279186,3.48979836566211,4.98137291680925e-07,2.11391894033206e-06
PA1199,-1.24613462605855,6.82468489967707,5.01584589700529e-07,2.12695840203107e-06
PA2828,1.30134345406652,6.2617578569016,5.07266375372487e-07,2.14845620297473e-06
PA2622,-2.04236811851505,7.46699170778112,5.07411019406325e-07,2.14845620297473e-06
PA2244,-1.40009048645937,4.83289616290263,5.08035744220251e-07,2.14949847666362e-06
PA0744,-1.24959474633612,4.67166276863458,5.14833363775689e-07,2.17663725950734e-06
PA1553,1.47632603501204,7.17153460531285,5.15578311937443e-07,2.17816492200952e-06
PA0904,1.24123895870593,7.86443822865105,5.18912374608603e-07,2.19062041860792e-06
PA4218,-1.76721983695851,6.35685601058817,5.2596617488457e-07,2.21874884174932e-06
PA3860,-1.27405034074299,6.56388599908808,5.26954353280626e-07,2.22126712541009e-06
PA3012,-1.64320643236526,5.14727711273939,5.41489873292296e-07,2.28084532682022e-06
PA4418,1.16934906149589,8.18317565646706,5.46258759160382e-07,2.29922700853421e-06
PA4270,1.75951974869904,11.2935764341744,5.46973421118219e-07,2.30052969267351e-06
PA1609,1.50241231347638,9.861085107877,5.56255109060662e-07,2.33610688553731e-06
PA3262.2,-4.62521506556787,4.26331295716843,5.6420027137028e-07,2.36772294223241e-06
PA3660,1.32359353280871,5.72572298247825,5.6673005097862e-07,2.3765828873387e-06
PA0403,1.62999623821773,6.40291392477678,5.72427019236543e-07,2.39870156105173e-06
PA1887,-1.31196492498093,3.29398855458168,5.7457089485089e-07,2.40590969097592e-06
PA2264,1.23480364294577,5.48869894492928,5.77378535916273e-07,2.41588454453397e-06
PA4553,-1.31075888353818,5.75057049120221,5.79162428903081e-07,2.42156426458888e-06
PA1360,1.41755878089855,4.48978289081393,5.85342044186245e-07,2.44560127070603e-06
PA0552,1.19076833487609,7.73335790265636,5.90789721329091e-07,2.46654708654895e-06
PA1072,1.14964230002011,6.02757655715636,5.93933716120832e-07,2.47785131530792e-06
PA4258,1.97307935728886,9.39576728420863,5.98895236691194e-07,2.49671597205037e-06
PA4251,2.2941667674937,9.91814220489097,6.09247282619303e-07,2.53800885598855e-06
PA1326,1.26978274469802,4.71936166070935,6.11244348132634e-07,2.54446144332632e-06
PA1761,-1.42287429891884,4.75045594608925,6.18542894576635e-07,2.57295718344772e-06
PA2405,-2.73895509409096,5.7693314961173,6.21843304376417e-07,2.58479230032891e-06
PA0024,1.24180413576259,7.46963520123049,6.28780511769083e-07,2.61171598085212e-06
PA5378,-1.3284674023342,6.55356301931941,6.48323216908518e-07,2.68895487626484e-06
PA4433,1.75610118287585,9.60538738547103,6.55997180226436e-07,2.71879707250051e-06
PA4645,1.3271693476223,5.51993088754469,6.67501331758094e-07,2.76445846952769e-06
PA1489,1.48332347348679,3.77614815300849,6.75084935338033e-07,2.79382817991935e-06
PA5129,1.23309430202758,5.36125388151375,6.91164580381375e-07,2.85829023117658e-06
PA1470,-1.68560884189666,4.24988904033998,6.98304249173245e-07,2.88361565585868e-06
PA2404,-2.73176158462736,5.41192841611035,7.19818407650459e-07,2.97029717924368e-06
PA0810,-1.24887326160425,4.88853055821522,7.28075720999774e-07,3.00211675765479e-06
PA2049,-1.14229262363207,6.44980850476577,7.28586983453381e-07,3.00211675765479e-06
PA0112,-1.88254873665857,3.28618291247204,7.32352264527078e-07,3.01544318925652e-06
PA4921,1.17991647334333,5.32876862913408,7.51660192652558e-07,3.09270041585596e-06
