,logFC,logCPM,PValue,FDR
PA0131,-1.2559745864634,4.71056614784426,3.16528333460752e-05,8.27843333666582e-05
PA1994,-1.10610607778037,4.27694212933351,3.23215391335053e-05,8.44166049678211e-05
PA4649,-1.78603975459727,3.28706371614194,3.27323116225981e-05,8.54501450083272e-05
PA1558,-1.074517961371,3.13889679963561,3.39185917946917e-05,8.84250524381358e-05
PA0397,-1.06471715489709,4.80933593050487,3.45427808060698e-05,8.98872178812395e-05
PA0606,1.16905626843765,4.51981755318767,3.45923722827756e-05,8.99750296938157e-05
PA0367a,1.05675074369979,3.66970694746523,3.48597084573765e-05,9.06288574271904e-05
PA4852,1.00690244477747,7.67070672323122,3.57561586455953e-05,9.28744139019625e-05
PA0149,-1.6512040220456,3.04556762698034,3.67653169881515e-05,9.54519752440439e-05
PA4371,-1.21577125857012,5.05217048493671,3.69441791138764e-05,9.58725086876554e-05
PA2658,-1.37894153373467,5.58291695720703,3.74937097493695e-05,9.72097187017899e-05
PA3181,1.29243244063528,7.1934564555925,3.77580788548908e-05,9.78058265228421e-05
PA2931,-1.38810483005727,4.83130371957988,3.78723062108246e-05,9.80122856267376e-05
PA5227,1.03611931776937,5.29485930810521,3.83952431421553e-05,9.92299456354837e-05
PA4139,1.57420340451155,3.06547124554604,3.90462319313863e-05,0.000100820602504053
PA0530,1.2773711464645,4.29701767523445,3.92900328462929e-05,0.000101311901226726
PA3598,-1.06079339433477,3.68928893006385,4.01085814781956e-05,0.000103281871035462
PA1460,1.1665205711619,5.36236910360494,4.17204631428629e-05,0.000107238021604878
PA2970,1.26597933840873,5.63342310815044,4.24663191405606e-05,0.000109105773791902
PA0807,-1.17585933342301,3.65254911801635,4.28493341010801e-05,0.000109972033149348
PA1592,-1.74824004059254,9.25035714725059,4.28615902359119e-05,0.000109972033149348
PA4479,1.25521508180273,4.48971203381847,4.36232295400273e-05,0.000111825145520666
PA2110,-1.70110550211828,3.06566953022602,4.37474984402696e-05,0.000112093093927731
PA3315,-1.30950398380874,3.34167569303644,4.38980029408954e-05,0.000112427993098062
PA0416,1.04547292504164,3.00220743069212,4.42366285474885e-05,0.000113244173531397
PA4798,-1.12440210717755,6.05837231476056,4.56359764830911e-05,0.000116668651270145
PA2805,1.05737776149184,6.65415903171118,4.60085157914768e-05,0.000117568115510353
PA3480,1.11449422616043,5.70987119682783,4.66827825897548e-05,0.000119130264963878
PA1087,1.00021607839339,6.36671421100902,4.74365089131124e-05,0.000120890708082878
PA1015,1.09506162892176,5.09048894098052,4.8968664009388e-05,0.000124739378306552
PA4683,1.45066628375539,4.27938072787898,4.99175783508602e-05,0.000126985667507251
PA1403,-1.43941881758865,3.47570415711676,5.03816176068249e-05,0.000127936862599084
PA4746.1,-1.73885877397393,5.40500729598565,5.09105014396322e-05,0.000129222095294695
PA2670,-1.20792980469623,3.19792121572949,5.13999368250091e-05,0.00013034785229674
PA0906,1.13991445755606,4.27869303876755,5.51127394127701e-05,0.000139018273827503
PA5146,1.01933128176976,7.16356716374026,5.52401493578687e-05,0.000139215964515747
PA3956,-1.15210921737565,3.55958415890245,5.69133991970309e-05,0.000143242145674088
PA3150,-1.34394529826375,6.5730732802503,5.71913750130697e-05,0.000143877991725392
PA4007,1.09224744730861,6.82768706781748,5.89939538216868e-05,0.000148150229898071
PA3690,-1.83765463867692,7.45794253520633,5.90705070261867e-05,0.00014827689606308
PA0961,1.0305549473155,4.90480949300651,5.9193257237642e-05,0.000148472511246841
PA2054,-1.0527410403233,3.37534281790519,5.92007336144503e-05,0.000148472511246841
PA1601,2.59244546466807,5.62748344439772,5.95610870291257e-05,0.000149310310000607
PA5110,1.03046409097985,8.43375009146082,6.22705341844093e-05,0.000155758631321179
PA4221,-1.07236925615265,7.77451221910913,6.24290604537254e-05,0.000156086395973691
PA4569,1.03394690193134,6.78507932996058,6.32322002148585e-05,0.00015802483838907
PA4030,1.06039605642904,4.74290413323977,6.42312704973651e-05,0.000160451013587347
PA1580,1.50085467948462,8.65405096038478,6.49276746379108e-05,0.000161976861420939
PA3146,1.05175022259883,6.21463875030199,6.72940022939267e-05,0.000167806475636766
PA4051,1.4068938259778,4.86854693235415,6.78839340538527e-05,0.000168980700376052
