,logFC,logCPM,PValue,FDR
PA3393,-1.54519631428471,3.92589315147322,2.29174858575283e-09,9.89547412160044e-09
PA4743,1.76741605011221,4.43487026089785,2.33659733479956e-09,1.00814587135197e-08
PA4352,2.48425407672364,9.93039958844486,2.34172145452648e-09,1.00958955343974e-08
PA3814,-1.61952780090327,9.73426727945706,2.36654664433432e-09,1.01951834950913e-08
PA3245,1.85927456616542,6.4011876277509,2.39873770108515e-09,1.03260293152096e-08
PA3893,1.40811570211932,4.09889249698368,2.40131599553036e-09,1.03292971383495e-08
PA5023,-1.45957259202209,5.7567954502258,2.56695583546786e-09,1.10334407522987e-08
PA2488,-1.52920703208451,4.0038772600976,2.62496085561314e-09,1.12742267308407e-08
PA3457,1.48945970072161,4.21883523039568,2.63209909504813e-09,1.1296340636193e-08
PA4733,-1.39350568237412,7.16906783298454,2.65707429583527e-09,1.13949152958857e-08
PA4115,1.43380411224066,7.12148242315189,2.75440765448544e-09,1.18034163488063e-08
PA3336,2.56400740790498,6.12614858563919,2.84761000750323e-09,1.21936120834113e-08
PA3349,-1.40167243359463,7.57025963099889,2.90048166614376e-09,1.24106517711863e-08
PA0416,1.5061296392829,3.29115174214965,2.91684889684464e-09,1.24712861719005e-08
PA5417,-2.68032602903653,3.25067163782364,2.93078500516896e-09,1.25214426330695e-08
PA2557,-2.0293547777246,5.29097781975063,2.96105061586485e-09,1.26412371405117e-08
PA2996,1.50233053460463,5.42380178508314,2.98958402860872e-09,1.27534621445832e-08
PA3941,1.60196542966477,4.09073446669262,3.04755952367002e-09,1.29910232548036e-08
PA0788,-1.28130366655171,5.92887991371426,3.08998791530686e-09,1.31620040383439e-08
PA5415,-1.7345320228469,5.73079436996986,3.13196591384398e-09,1.33308114383854e-08
PA1553,1.39739180187872,6.90438245913596,3.25968281066768e-09,1.38536519453376e-08
PA3933,1.3280662363795,6.783613523873,3.28575877110989e-09,1.39540301438758e-08
PA0947,1.38658764785837,6.25379811702991,3.34416639476328e-09,1.41914624734424e-08
PA2483,-1.38617507457298,7.05952159829299,3.40091838132562e-09,1.44215194691313e-08
PA0132,-2.08807077972128,7.19479574319038,3.49220700807612e-09,1.47975756655643e-08
PA0113,-1.45577497633563,4.36331906446166,3.59370281051438e-09,1.52162897524986e-08
PA0911,-1.50057842438677,3.57184383869524,3.63890154422876e-09,1.53847229844608e-08
PA3130,1.75818133896039,3.99624691608481,3.77325130656452e-09,1.59408637787748e-08
PA0433,-1.66337913603335,4.05467685114993,3.9420233060184e-09,1.66414931833252e-08
PA5271,-1.98675364732801,5.57926910681971,3.98807778493351e-09,1.68234068817626e-08
PA3825,-1.22318387803243,4.78025721093998,4.20080218169403e-09,1.76944768454442e-08
PA1434,-1.39697610178276,4.08003607679255,4.20727828964916e-09,1.77086183310807e-08
PA3114,1.23498898568783,5.24895502537366,4.22229317800835e-09,1.77586523442455e-08
PA4829,-1.5332084003157,5.67876928418125,4.27847025984705e-09,1.7981609278617e-08
PA1951,-1.75109070223671,4.8704741979696,4.3511431429117e-09,1.82735138797726e-08
PA0897,1.59469216646404,6.64354220048564,4.35943986313476e-09,1.82948259740423e-08
PA0004,1.35731756468372,9.1272239028779,4.36848493566429e-09,1.83192448040634e-08
PA0981,-2.90669498807726,4.3967590936733,4.41523503705823e-09,1.85016269670971e-08
PA4648,-2.74722034244146,5.30633564630493,4.4372338784769e-09,1.85800987920294e-08
PA5499,-1.29613728737039,6.86781210877621,4.481482854329e-09,1.87515546402948e-08
PA0229,-2.90290222171213,5.58209407836878,4.53308618932117e-09,1.89535076457773e-08
PA0835,1.60428395161441,8.45257403316879,4.55291290708108e-09,1.90223984447435e-08
PA2244,-1.65124080675995,4.93013287257216,4.65201523187025e-09,1.94221635930583e-08
PA3345,-1.65233416670957,5.4993237874303,4.70724336150501e-09,1.96383011069988e-08
PA2510,-1.51901893619407,4.6259596255312,4.95607501073218e-09,2.06309339523001e-08
PA0457.1,1.4856318628294,3.13859931329439,4.98962171591301e-09,2.07438522169898e-08
PA4853,1.81851894620559,4.7628218606887,4.99050759570413e-09,2.07438522169898e-08
PA0904,1.35131226369444,7.66263642075981,5.14311056668812e-09,2.13625324050148e-08
PA4749,1.31490166538749,8.64173888111722,5.14862130074492e-09,2.1369789287741e-08
PA5128,2.34680072933543,7.95600619901527,5.30805688237451e-09,2.19993773562938e-08
PA3651,1.68536985300571,6.01377556298163,5.42763522576648e-09,2.24785651436193e-08
PA4555,-1.4970755663773,5.35096772853426,5.51490509328124e-09,2.28233462971216e-08
PA5399,-1.60338284881743,5.07466435214574,5.55264056429091e-09,2.29627772207165e-08
PA2195,1.74366520066098,6.72638476322228,5.56791866260371e-09,2.30092009943696e-08
PA2614,1.18148044425719,6.22666186011069,5.59952830682156e-09,2.31229976190057e-08
PA3995,-1.34728849931931,5.10073733701794,5.78169680509582e-09,2.38579029500974e-08
PA4675,1.44161986858105,5.92664530735473,5.8357601995244e-09,2.40635050202611e-08
PA0779,-1.8201516806187,11.0263108302239,5.8728778633411e-09,2.41989844035201e-08
PA4217,-1.82694345200918,5.57654337928554,5.98420088437251e-09,2.46398061069377e-08
PA4798,-1.2702364381825,6.42725821890306,5.99857315804404e-09,2.46810857908508e-08
PA5286,1.86801480315236,4.61755328305888,6.06510525015549e-09,2.49367614847088e-08
PA1135,-1.44248212144567,5.64568696692888,6.11531434799969e-09,2.51250035223894e-08
PA4672,1.68359357844259,4.96551286232586,6.47053377131824e-09,2.65460193305961e-08
PA1948,-1.44521385324265,5.42974115864358,6.56901343063583e-09,2.69305835806139e-08
PA3821,1.74860390770941,8.8451108109395,6.653468641775e-09,2.72571392121201e-08
PA4191,1.61727772109241,3.30453916437013,6.76119806478799e-09,2.76785022435949e-08
PA5145,-1.39883956886082,5.89305063198502,6.79624039608498e-09,2.78019113609298e-08
PA1968,-1.33178473183477,4.00694391438642,6.93951552210191e-09,2.83675803704065e-08
PA1245,-1.37609429456136,5.23752884647666,7.13903590815579e-09,2.9162191285258e-08
PA4063,-1.42286100078762,4.79856272220914,7.17663885359062e-09,2.92947199214145e-08
PA3440,1.88723821238748,5.5120854054856,7.20806127021247e-09,2.94018476237546e-08
PA1656,1.67715108553157,7.17504780225883,7.28844028369124e-09,2.97083732453689e-08
PA1674,1.37518115260767,6.79161460565282,7.32285875334192e-09,2.98272539465391e-08
PA2640,1.21070048077756,5.99395295846028,7.5405920985939e-09,3.06921017461048e-08
PA2262,-2.0563053866165,4.81813557623075,7.78245525640488e-09,3.16311960958246e-08
PA2934,-1.82044914304622,3.09710309663498,7.80979666791934e-09,3.17196176541102e-08
PA4585,1.33721944839985,4.27519072107621,8.17331653698511e-09,3.31486366407153e-08
PA2865,-1.27463933522849,6.55349658039928,8.37474780461263e-09,3.39413404957819e-08
PA0424,-1.28081412703352,5.81323029992283,8.38789012127717e-09,3.397035671085e-08
PA1015,1.20716697007805,5.41507010642485,8.45918582213771e-09,3.42346807541682e-08
PA2037,-2.11714605144658,3.97800681528682,8.72614020993366e-09,3.52899032136776e-08
PA0337,1.31007548059163,8.90013601424954,9.04443493542575e-09,3.65320234243459e-08
PA5365,1.40030299115197,5.39822422094222,9.04614739954743e-09,3.65320234243459e-08
PA0578,1.67855542126674,5.22023323738066,9.09104147551094e-09,3.66872306310953e-08
PA1136,-1.89042413560559,5.34219828080566,9.10390327476775e-09,3.67130417571955e-08
PA1252,-1.41866361964685,5.51525558679448,9.11949509808268e-09,3.67498177195979e-08
PA1734,-1.3350921692722,4.95267962718827,9.2049597430293e-09,3.70400825699961e-08
PA2423,-1.48734549422615,5.59101564733954,9.21109485537768e-09,3.70400825699961e-08
PA2014,-1.72756675539482,7.03629467545619,9.2371630623244e-09,3.71186212794607e-08
