Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA4301	98	51	56	65	30	50
PA4302	176	115	139	115	84	118
PA4303	203	139	141	121	118	103
PA4304	327	218	209	96	97	119
PA4305	598	552	490	119	114	131
PA4306	4034	5781	3389	45	59	61
PA4307	744	687	500	1209	1073	1155
PA4308	2173	1670	1521	2449	2830	2742
PA4309	408	312	263	317	294	291
PA4310	554	496	425	411	379	460
PA4311	5039	4851	4157	1417	1214	1119
PA4312	1270	1012	1135	458	597	542
PA4313	760	610	449	607	674	746
PA4313a	382	313	201	243	323	502
PA4314	1189	787	836	3879	4263	2907
PA4315	1805	2287	2343	10026	2738	2658
PA4316	2054	1505	1363	2109	2268	2390
PA4317	1641	1129	1250	14520	16784	12184
PA4318	761	555	493	3997	4437	4958
PA4319	240	164	171	1758	1526	1084
PA4320	684	529	464	5387	4508	3847
PA4321	453	273	321	4036	2932	3367
PA4322	560	326	385	5268	4976	4389
PA4323	556	392	357	2575	2864	2485
PA4324	384	239	255	964	879	980
PA4325	2482	1693	1771	317	448	436
PA4326	150	61	66	82	88	65
PA4327	138	146	125	397	196	173
PA4328	641	352	395	5227	5013	4383
PA4329	3292	2090	2168	11783	11788	13422
PA4330	675	385	331	619	792	800
PA4331	149	125	117	349	446	301
PA4332	242	174	168	939	888	645
PA4333	1437	1288	1609	10915	9201	6031
PA4334	522	349	284	706	703	653
PA4335	210	197	210	745	601	922
PA4336	569	475	471	2331	950	981
PA4337	243	245	278	277	229	254
PA4338	792	838	918	1077	648	723
PA4339	453	300	385	753	1010	1010
PA4340	431	329	333	898	991	539
PA4341	239	206	188	136	141	178
PA4342	215	251	135	198	225	262
PA4343	80	68	47	47	35	68
PA4344	888	985	722	431	465	393
PA4345	3729	3166	3088	812	1027	1431
PA4346	157	85	109	138	140	134
PA4347	1241	737	771	2540	2496	3468
PA4348	904	210	270	15104	11086	9745
PA4349	471	342	341	596	597	796
PA4350	360	303	310	1402	1786	2069
PA4351	1283	735	1111	3232	4308	7818
PA4352	6595	3307	5365	27315	29939	61078
PA4353	330	249	176	606	435	434
PA4354	98	103	98	297	181	181
PA4355	82	54	42	151	273	168
PA4356	793	282	317	2014	1936	1761
PA4357	204	59	86	262	232	273
PA4358	1553	558	569	2678	1864	2249
PA4359	386	102	151	347	120	238
PA4360a	69	65	46	59	86	73
PA4361	933	802	674	787	915	1064
PA4362	1611	1111	874	272	312	302
PA4363	269	164	159	206	345	343
PA4364	31	29	20	28	21	30
PA4365	33	52	43	40	62	49
PA4366	11373	15118	14594	48183	25599	24635
PA4367	1103	894	729	2854	1741	1794
PA4368	480	372	312	746	620	670
PA4369	247	250	114	610	425	314
PA4370	3894	2821	3388	7690	6521	4067
PA4371	1091	575	532	521	649	414
PA4372	791	423	485	1418	1690	1243
PA4373	913	598	569	2232	2158	1552
PA4374	653	347	407	1514	1670	1336
PA4375	1062	694	550	3241	2513	2045
PA4376	1353	1196	855	1372	1322	998
PA4377	21495	60323	25169	365	375	305
PA4378	452	410	348	634	729	389
PA4379	980	901	632	492	451	333
PA4380	561	385	344	773	916	614
PA4381	884	735	601	967	840	536
PA4382	496	465	386	340	331	348
PA4383	567	434	356	370	389	407
PA4384	1359	1295	1128	174	333	436
PA4385	52339	47464	42971	288737	343962	297540
PA4386	10361	8794	10586	37595	45092	54305
PA4387	8346	5668	4228	1348	1464	1270
PA4388	1830	1353	1025	1216	1834	2332
PA4389	1662	897	961	5243	5059	3778
PA4390	462	467	556	1444	1566	741
PA4391	276	239	195	503	407	437
PA4392	616	448	412	227	254	268
PA4393	1143	708	818	1790	1638	1465
PA4394	2302	2320	2870	4088	5074	3619
PA4395	1169	1379	1032	6317	3020	1625
PA4396	479	251	290	412	351	365
PA4397	408	310	251	219	215	148
PA4398	1018	620	672	1420	1183	979
PA4399	910	544	581	898	1097	1121
PA4400	1555	1088	1064	2199	2738	3496
PA4401	1300	863	802	1167	1420	1904
PA4402	2315	1516	1449	3613	4191	3872
PA4403	16131	12804	11259	32630	27864	27574
PA4404	855	506	597	1562	2133	2296
PA4405	960	726	620	469	447	398
PA4406	20851	16005	13696	19497	19031	16299
PA4406.1	140	166	154	46	80	312
PA4407	24994	24847	18863	30072	29912	27869
PA4408	7580	6930	5535	14633	14927	10858
PA4409	3503	2368	2106	3081	3667	3112
PA4410	6217	4318	3795	4857	5801	7449
PA4411	5770	4245	3623	11386	13614	10075
PA4412	2210	1639	1381	3039	3495	3001
PA4413	5230	3828	3452	6517	5939	5907
PA4414	4795	3546	2788	9775	8342	6414
PA4415	4727	3473	3096	6793	6771	5723
PA4416	8072	5857	4705	7239	7696	8922
PA4417	7477	5786	4839	8933	9809	9817
PA4418	7112	6265	4924	14495	10501	8879
PA4419	579	500	382	1012	688	544
PA4420	6266	4238	3699	5489	4655	5851
PA4421	8551	6155	5618	8345	4577	8373
PA4421.1	6567089	5767598	7043182	2279051	1874071	2227810
PA4422	791	566	512	784	888	1059
PA4423	3592	2854	3238	4544	4402	3858
PA4424	481	350	328	405	417	470
PA4425	1714	1653	1562	3610	3097	2170
PA4426	1933	1710	1889	5047	3779	3027
PA4427	645	635	590	2641	2143	1448
PA4428	865	654	752	1753	2306	3462
PA4429	4521	3020	3493	17856	16663	16605
PA4430	4772	3436	4369	27469	25266	23736
PA4431	7778	5578	6051	14103	16394	18047
PA4432	4640	3108	3629	26237	27734	10652
PA4433	5420	3803	4589	23712	23903	15388
PA4434	2026	1505	1396	2718	2908	2773
PA4435	1145	701	870	1417	1110	931
PA4436	663	521	492	757	709	409
PA4437	165	106	92	202	249	181
PA4438	425	270	290	2915	3659	1486
PA4439	1457	921	1060	5647	6875	5244
PA4440	955	730	645	1352	1770	1635
PA4441	1902	1927	2070	4842	4244	3687
PA4442	1376	831	1613	8515	10997	8397
PA4443	638	482	579	1916	1922	1091
PA4444	2020	1683	1921	1897	1531	1576
PA4445	808	708	564	1170	1263	1053
PA4446	1105	760	752	2008	1945	1003
PA4447	1367	761	807	2924	3404	2807
PA4448	1051	611	574	2473	2996	1767
PA4449	1420	1020	973	3693	5062	2682
PA4450	7598	5518	5466	10933	14788	10711
PA4451	1907	1714	1604	1388	1614	1223
PA4451.1	1	0	0	0	2	0
PA4452	319	266	282	2135	2211	1179
PA4453	1262	1054	1081	8900	6976	3823
PA4454	786	467	590	2661	2617	1930
PA4455	994	608	770	2777	3653	2959
PA4456	2335	1898	1660	5320	6588	4115
PA4457	3474	2957	2905	6774	6855	5327
PA4458	1029	908	805	2239	2291	2111
PA4459	1995	1797	1477	2940	1740	1402
PA4460	893	980	1080	6540	3686	2285
PA4461	2473	2077	1756	4991	3725	2111
PA4462	1406	1405	1186	5868	3533	2159
PA4463	3182	3099	2239	22092	4402	3653
PA4464	3686	2630	2571	6924	5633	8491
PA4465	2235	1841	1764	9001	6766	5627
PA4466	633	622	586	1831	1388	855
PA4467	3819	1791	1343	212	251	197
PA4468	4553	2809	1757	195	190	185
PA4469	2073	1254	800	57	75	82
PA4470	5408	3493	2034	338	329	323
PA4471	2141	1528	867	43	39	36
PA4472	3171	2095	1871	1747	2590	2327
PA4473	1910	1210	990	1473	1554	1142
PA4474	5707	3531	2868	3204	4040	4038
PA4475	12705	9622	7481	3589	3810	5120
PA4476	3066	2267	2276	5440	5249	5329
PA4477	2276	1987	1508	5013	3871	3067
PA4478	1008	821	698	1052	1182	1256
PA4479	249	118	183	1170	1087	894
PA4480	916	599	727	3393	4099	2553
PA4481	2766	1497	1712	6161	8389	4905
PA4482	931	637	617	1649	1236	1459
PA4483	2716	1909	1837	5036	5751	5271
PA4484	2673	2020	1900	9418	10438	7317
PA4485	236	170	231	415	540	692
PA4486	696	502	463	1070	1129	1037
PA4487	906	643	622	7260	6920	6661
PA4488	1036	836	682	3072	4890	6189
PA4489	2199	1463	1584	26533	29729	28409
PA4490	225	204	169	2737	3354	2607
PA4491	1348	947	797	12720	16091	17141
PA4492	2106	1714	1076	5463	4791	3897
PA4493	2611	2025	1874	5763	5990	6028
PA4494	2734	1926	1966	7374	5101	6169
PA4495	131084	159769	121933	7218	7034	5157
PA4496	3222	3380	3096	2377	1047	1187
PA4497	2404	1901	2043	1266	965	1094
PA4498	2374	1870	2712	3993	3077	2301
PA4499	1797	1855	1599	1861	1002	980
PA4500	11144	11006	12016	19320	8296	8267
PA4501	2038	1939	1624	2191	827	911
PA4502	2834	2848	2628	5163	2442	3049
PA4503	1416	1448	1273	2191	1072	1247
PA4504	790	593	729	1942	1140	1276
PA4505	876	895	732	2594	1268	1190
PA4506	1967	2075	1676	2356	1483	1421
PA4507	5907	8828	6358	900	1397	1812
PA4508	90	116	75	296	326	234
PA4509	278	191	154	367	480	537
PA4510	368	210	210	512	613	727
PA4511	371	331	279	897	665	398
PA4512	1186	1033	822	1832	1403	1468
PA4513	417	373	276	308	479	408
PA4514	1742	1645	1148	577	516	659
PA4515	1137	1071	833	310	310	314
PA4516	1179	972	717	395	569	378
PA4517	780	908	737	703	728	744
PA4518	401	410	319	967	933	1932
PA4519	1918	1795	1657	2765	2895	2175
PA4520	735	476	419	814	522	396
PA4521	760	565	383	608	789	712
PA4522	484	347	278	321	352	370
PA4523	8324	5949	5447	3754	2337	3011
PA4524	1656	1173	1190	1318	1832	1642
PA4524.1	17570	25416	27977	5419	6066	12638
PA4525	34206	44819	45479	20801	16325	35527
PA4526	1564	1279	1590	5279	4504	3530
PA4528	503	322	382	2259	2091	1390
PA4529	684	454	515	1246	1666	1332
PA4530	153	101	132	321	278	292
PA4531	410	167	234	418	392	648
PA4532	875	539	503	625	723	639
PA4533	943	566	520	317	374	683
PA4534	1670	1212	1320	1161	1307	1553
PA4535	920	792	774	1663	1157	1292
PA4536	873	656	549	684	584	1000
PA4537	162	111	130	315	217	224
PA4538	1411	1134	1032	4555	3803	3442
PA4539	1838	2151	1454	1635	1632	1648
PA4540	158	200	154	131	123	165
PA4541	1126	1017	995	1109	993	1130
PA4541.1	6	4	7	11	14	3
PA4541.2	1	1	4	0	2	3
PA4541.3	55	31	48	129	78	61
PA4542	60601	45054	28880	30164	27647	33098
PA4543	486	295	267	310	571	610
PA4544	1804	1299	1190	2847	2977	1984
PA4545	2239	1633	2158	5209	3890	2455
PA4546	993	744	691	1776	1244	947
PA4547	835	543	652	1792	1425	1223
PA4548	1810	1046	1194	2201	2493	2666
PA4549	99	69	77	62	59	94
PA4550	2197	1861	1269	953	631	912
PA4551	1105	971	652	773	448	330
PA4552	1843	1729	1132	810	572	693
PA4553	1510	1668	1159	855	654	993
PA4554	6563	5320	3911	4361	2956	2992
PA4555	1598	883	722	470	499	567
PA4556	2683	1820	1536	1326	866	1006
PA4557	1521	1239	1139	4102	4779	3388
PA4558	855	744	584	2878	2676	1124
PA4559	585	394	382	1798	1891	1057
PA4560	7617	5067	5245	16298	19895	17404
PA4561	1894	1224	1242	2520	2428	1952
PA4562	418	286	324	842	980	708
PA4563	2841	2581	2592	6031	5782	2198
PA4564	2145	2125	1644	1672	1773	2770
PA4565	9031	8493	6472	7441	9298	23566
PA4566	3556	3011	2337	6377	8162	7736
PA4567	2464	2272	2611	14557	11722	4560
PA4568	4042	3016	4033	20719	14324	7789
PA4569	1861	1492	1400	4245	4073	2095
PA4570	1616	960	538	33	27	45
PA4571	1487	1017	868	34425	27001	40579
PA4572	10050	10352	6550	4234	5913	3833
PA4573	4404	4282	3078	283	455	387
PA4574	142	147	130	397	271	166
PA4575	2479	3105	2041	904	785	1141
PA4576	3611	2834	2858	9154	9166	10633
PA4577	2659	1464	1498	5621	5622	10879
PA4578	2545	2500	2844	49562	18805	10892
PA4579	1040	713	943	5380	6330	6697
PA4580	383	322	245	1227	1217	1155
PA4581	900	602	436	960	1176	1182
PA4581.1	233	199	212	1587	967	518
PA4582	315	265	211	799	1148	988
PA4583	152	120	97	859	1213	676
PA4584	212	196	146	706	954	740
PA4585	209	169	180	610	783	596
PA4586	125	85	108	260	305	312
PA4587	1465	719	992	8811	6731	11218
PA4588	823	578	563	1233	1460	1315
PA4589	388	279	277	339	366	389
PA4590	1308	814	696	419	256	271
PA4591	338	211	234	353	295	346
PA4592	302	173	185	647	573	582
PA4593	84	71	90	175	193	176
PA4594	245	309	236	174	183	97
PA4595	4887	3875	3269	15308	16213	13098
PA4596	247	318	316	1584	1275	2416
PA4597	120	88	69	431	576	458
PA4598	339	441	274	665	791	947
PA4599	123	63	94	199	492	491
PA4600	230	287	189	793	728	539
PA4601	1538	1243	1112	2662	2721	2817
PA4602	3277	1870	2114	10880	12344	8076
PA4603	370	319	241	424	408	316
PA4604	1142	760	692	1129	1264	1146
PA4605	2115	2187	1598	1627	1438	1559
PA4606	11849	10470	8682	14021	12057	9453
PA4607	40906	27260	29512	10903	6459	7861
PA4608	1341	1122	973	1000	844	701
PA4609	2071	1444	1235	1393	1852	1904
PA4610	578	416	351	1972	1824	2285
PA4611	3094	5295	3134	18070	6910	9616
PA4612	172	160	116	136	167	208
PA4613	289	273	225	475	460	380
PA4614	5431	4646	3961	4685	3253	4170
PA4615	876	642	666	1184	1008	783
PA4616	87	68	55	348	356	250
PA4617	708	571	526	1375	1684	1534
PA4618	1332	906	826	795	1171	1553
PA4619	207	227	159	979	1190	882
PA4620	21	29	25	279	537	429
PA4621	263	285	195	2533	3050	2887
PA4622	123	117	132	414	428	428
PA4623	48	59	38	107	79	64
PA4624	854	705	485	1409	1655	826
PA4625	1343	1312	881	4602	6822	3285
PA4626	426	373	343	704	806	586
PA4627	829	570	544	826	1073	956
PA4628	777	745	677	2360	2265	1566
PA4629	128	148	116	465	365	305
PA4630	462	542	328	426	363	285
PA4631	1200	733	761	3172	4375	4047
PA4632	887	402	385	6458	6709	5395
PA4633	909	556	507	665	629	616
PA4634	700	480	359	342	372	407
PA4635	186	110	89	86	139	120
PA4635a	229	192	148	183	178	250
PA4636a	150	166	133	52	52	80
PA4636	683	631	616	2266	2157	1261
PA4637	1563	1251	809	641	1018	672
PA4637a	24557	28022	22674	406	231	298
PA4639	2649	2068	2166	6502	6529	4168
PA4640	2107	1374	1542	7491	7697	6026
PA4642	471	428	392	429	435	299
PA4643	1103	853	921	910	1099	1005
PA4644	123	69	75	468	645	327
PA4645	432	334	317	1447	1310	689
PA4646	1364	1273	1142	1481	1523	1344
PA4647	1610	1308	1159	2823	2861	1870
PA4648	1365	977	1189	160	130	440
PA4649	549	417	340	130	128	320
PA4650	351	237	258	68	69	107
PA4651	1149	483	643	98	136	133
PA4652	573	400	405	169	179	209
PA4653	476	394	306	379	261	405
PA4654	213	148	95	124	111	98
PA4655	3485	1445	1219	2058	2704	2599
PA4656	4788	1986	1395	1185	1502	1942
PA4657	3838	3167	2068	1596	1597	1405
PA4658	6952	2682	1611	969	840	655
PA4659	2278	500	298	348	358	321
PA4660	8103	1648	1267	1452	2017	2073
PA4661	4141	4016	4842	11799	13773	16121
PA4662	681	469	534	1543	2016	1959
PA4663	446	340	311	1224	1559	1011
PA4664	882	634	648	3301	4264	4075
PA4665	756	499	640	3193	3882	3015
PA4666	973	581	685	1949	2418	1574
PA4667	3618	2523	2483	6111	5850	5726
PA4668	710	550	533	1178	1467	1482
PA4669	1157	606	774	4739	2801	2043
PA4669.1	295	164	136	296	168	97
PA4670	3242	1908	2421	14200	10901	6503
PA4671	3608	2969	3547	80556	62382	31624
PA4672	359	199	215	1240	1441	757
PA4673	1643	1192	1097	5557	6585	3375
PA4673.1	19	18	4	5	0	13
PA4674	545	542	456	602	413	617
PA4675	748	417	531	2047	2617	1756
PA4676	310	253	240	1320	1145	548
PA4677	852	619	652	340	407	323
PA4678	200	96	137	326	255	206
PA4679	795	397	491	268	580	553
PA4680	122	73	83	64	51	58
PA4681	168	177	133	138	76	92
PA4682	483	429	381	269	236	210
PA4683	196	244	245	634	627	388
PA4684	646	353	440	1347	1629	1134
PA4685	0	3	2	2	0	4
PA4686	1196	802	1029	6471	7546	5312
PA4687	2819	2970	2049	3370	3159	2300
PA4688	329	277	345	1097	1214	932
PA4689	1551	1083	1358	3995	4020	3343
PA4690	251	224	143	355	378	240
PA4690a	254	205	240	433	377	264
PA4690.1	35	33	80	966	285	566
PA4690.2	12381	27405	54437	598834	22297	48698
PA4690.3	51	20	37	48	53	69
PA4690.4	240	184	253	465	281	632
PA4690.5	3403	9678	32962	358850	12494	19635
PA4691	648	816	642	399	331	404
PA4692	1405	1701	1223	744	736	822
PA4693	2661	1707	1872	5009	5407	3107
PA4694	2657	2081	2125	18753	16701	12502
PA4695	381	293	304	2021	1843	1688
PA4696	3119	2427	2205	7530	7345	6558
PA4697	803	755	719	1408	902	1203
PA4698	1192	896	827	897	1409	2219
PA4699	2498	1955	1723	1408	2441	3485
PA4700	2519	1803	1967	6026	6405	3930
PA4701	4567	3377	3158	7419	7529	6558
PA4702	1637	1959	1182	328	287	238
PA4703	2840	1886	1626	182	117	246
PA4704	833	556	557	587	491	668
PA4704.1	305	344	215	55	34	69
PA4704.2	524	541	440	37	25	68
PA4705	536	306	280	733	901	749
PA4706	169	90	86	152	172	144
PA4707	594	324	295	338	344	407
PA4708	1701	1007	572	348	448	435
PA4709	2593	1395	851	68	76	73
PA4710	1193	1249	1083	332	336	347
PA4711	258	157	133	324	301	317
PA4712	313	314	306	229	222	239
PA4713	850	1140	1117	282	311	281
PA4714	6818	4297	2874	2247	2111	2090
PA4715	1714	867	884	3712	3320	2699
PA4716	934	782	808	1257	1300	1256
PA4717	2232	1879	1494	1655	2096	1774
PA4718	546	554	365	780	786	887
PA4719	637	506	481	1483	1810	994
PA4720	678	507	492	2413	2852	2063
PA4721	737	443	447	1093	1383	2000
PA4722	5400	5208	3577	1402	1716	1880
PA4723	5510	3720	4433	13025	14185	12229
PA4724	435	229	270	1084	1917	1387
PA4724.1	25	29	29	29	22	36
PA4725	2002	1297	1206	3519	2875	2718
PA4726	10361	9558	6519	9515	8863	10478
PA4726.1	14	27	15	13	4	6
PA4726.11	2788	9068	7138	1464	333	664
PA4726.2	0	0	0	0	0	0
PA4727	2973	2292	2598	6250	6489	5544
PA4728	326	235	229	845	1060	636
PA4729	1112	692	713	2073	2629	2078
PA4730	704	348	386	2155	2922	2025
PA4731	244	236	246	1254	832	550
PA4732	2749	2623	2199	6383	5457	3994
PA4733	4425	3803	2628	2229	1744	1746
PA4734	1263	987	871	1347	1437	1490
PA4735	5007	3696	3899	12872	11489	7024
PA4736	720	597	575	821	798	1290
PA4737	968	647	575	1954	1765	1387
PA4738	4185	565	656	733	435	264
PA4739	3853	601	439	519	256	181
PA4740	12373	12075	11828	27477	37774	24281
PA4741	1799	1660	1972	7284	6362	5059
PA4742	4514	2953	3444	4893	6419	5072
PA4743	169	179	149	950	945	509
PA4744	16228	11176	10269	40766	57817	48787
PA4745	9092	5474	5240	16196	20808	16988
PA4746	2505	1457	1346	1782	1452	796
PA4746.1	1747	1094	1169	479	386	321
PA4746.2	1042	1022	930	517	221	493
PA4747	4547	2567	3087	4671	4539	5114
PA4748	11227	6443	6803	20042	22330	19720
PA4749	4475	3892	3416	12491	15917	12752
PA4750	2341	1750	1726	2653	3847	3866
PA4751	35178	30272	23800	32539	28629	26968
PA4752	7170	6571	6411	2143	2239	3098
PA4753	1442	1076	855	1239	1155	1233
PA4754	962	676	556	1878	2705	2094
PA4755	1482	1397	1041	3581	4344	3490
PA4756	7697	7493	6408	17574	17497	17548
PA4757	1687	1265	1232	1574	1573	2223
PA4758	4279	4453	3452	6509	5485	4157
PA4758.1	8	12	15	4	6	24
PA4759	5326	3927	3539	5124	8174	11456
PA4760	9006	6988	5798	7376	11846	14185
PA4761	104583	110290	75773	69698	77933	75930
PA4762	27485	21447	20572	11366	15188	25573
PA4763	2566	1836	1113	1760	1950	1708
PA4764	6832	5050	5054	3852	4714	2998
PA4765	1394	1234	1120	4354	2056	1160
PA4766	300	240	188	433	476	316
PA4767	1212	1072	1004	1244	1622	1647
PA4768	279	162	189	1279	1412	437
PA4769	1609	1669	1200	1775	2266	2762
PA4770	610	826	568	1156	4828	2530
PA4771	270	253	185	618	2674	1610
PA4772	267	318	222	1166	3732	2238
PA4773	106	54	65	1079	1518	676
PA4774	134	122	88	1938	2931	2658
PA4775	171	187	162	491	1012	770
PA4776	201	148	101	558	633	426
PA4777	277	238	231	727	876	934
PA4778	2206	2004	1673	1927	1261	957
PA4779	292	213	192	344	387	345
PA4780	1451	1118	867	912	1104	874
PA4781	2791	2093	1741	804	974	1067
PA4782	81	81	58	499	805	777
PA4783	222	171	145	536	472	507
PA4784	223	169	163	325	378	387
PA4785	1239	956	1013	995	1038	794
PA4786	1460	1110	1184	542	627	847
PA4787	3280	2721	2281	2890	2499	4100
PA4788	597	388	433	160	154	141
PA4789	83	70	59	126	140	103
PA4790	138	122	148	250	328	202
PA4791	470	403	285	211	300	306
PA4792	657	455	445	475	342	606
PA4793	1483	1249	1104	1982	1157	1649
PA4794	380	307	263	370	304	457
PA4795	128	77	87	50	69	88
PA4796	499	349	393	459	526	665
PA4797	349	245	213	330	333	401
PA4798	2290	2027	1914	1215	1065	1346
PA4799	578	343	368	201	258	310
PA4800	146	88	92	255	293	257
PA4801	226	153	98	601	510	218
PA4802	228	164	191	376	442	506
PA4802.1	49	49	46	60	56	94
PA4803	1023	1329	781	977	662	686
PA4804	283	259	156	370	377	337
PA4805	149	184	124	194	162	239
PA4806	272	240	147	215	273	283
PA4807	537	417	360	977	1416	1378
PA4808	577	417	371	1483	1554	1568
PA4809	765	557	436	774	1248	1055
PA4810	923	891	843	1259	2184	1480
PA4811	2547	2729	2037	4108	4929	4296
PA4812	8073	9277	6669	17096	21597	18924
PA4813	97	105	71	108	109	167
PA4814	127	73	63	67	51	96
PA4815	248	121	126	294	387	330
PA4816	304	182	162	454	453	354
PA4817	53	35	39	94	117	113
PA4818	38	32	28	47	54	80
PA4819	15	15	6	31	51	43
PA4820	29	28	14	76	42	67
PA4821	250	188	137	286	376	380
PA4822	103	102	79	239	264	197
PA4823	5	3	2	3	10	5
PA4824	17	8	10	29	39	35
PA4825	157	146	115	562	450	346
PA4826	214	123	136	408	378	199
PA4827	486	327	388	556	663	606
PA4828	243	245	179	109	99	111
PA4829	1529	1257	1139	499	558	830
PA4830	149	124	64	171	246	337
PA4831	226	209	137	691	613	569
PA4832	130	89	50	315	373	301
PA4833	902	964	630	653	533	606
PA4834	106	98	67	188	128	134
PA4835	100	73	66	165	142	137
PA4836	65	54	52	79	101	123
PA4837	311	262	186	226	180	189
PA4838	137	125	77	512	384	347
PA4839	1861	1574	1550	2956	4271	2910
PA4840	500	312	322	411	720	650
PA4841	1739	950	1053	984	1577	1815
PA4842	8748	7170	6118	6891	7587	9556
PA4843	275	188	182	916	580	747
PA4844	116	80	71	125	142	126
PA4845	1178	787	858	2051	2209	2002
PA4846	782	504	545	1494	1331	622
PA4847	775	591	774	1313	2322	2807
PA4848	6793	5074	6794	26673	40583	31669
PA4849	140	74	106	343	408	276
PA4850	1607	949	1026	2974	3445	3250
PA4851	1246	884	969	2116	2469	1742
PA4852	3272	2253	2028	5302	6295	5354
PA4853	206	184	214	1350	1036	655
PA4854	1333	830	915	7518	8595	6890
PA4855	647	454	484	4267	5432	4441
PA4856	961	720	663	4841	3428	2705
PA4857	106	102	83	135	122	61
PA4858	219	149	148	152	151	133
PA4859	51	48	18	73	85	72
PA4860	29	47	26	37	37	46
PA4861	31	23	16	83	66	32
PA4862	41	45	28	96	91	115
PA4863	324	203	150	307	287	370
PA4864	240	66	83	47	131	126
PA4865	54	35	13	110	101	117
PA4866	187	84	116	182	224	305
PA4867	177	111	139	163	235	389
PA4868	1041	826	676	1210	1261	1494
PA4869	1769	1252	852	979	884	887
PA4870	431	440	312	461	222	186
PA4871	196	150	192	309	459	416
PA4872	1045	762	673	1941	2103	1521
PA4873	1284	1102	861	908	1281	1214
PA4874	7789	5354	4336	2210	2233	2104
PA4876	1542	1723	1751	2874	1909	1027
PA4877	1702	1947	1734	276	345	266
PA4878	630	629	478	752	705	666
PA4879	1494	1229	1143	2036	2063	1685
PA4880	1108	1953	2135	4251	1885	1696
PA4881	27	13	32	96	80	76
PA4882	43	72	36	107	78	75
PA4883	15	15	2	14	16	11
PA4884	26	46	25	38	20	52
PA4885	124	123	105	354	294	217
PA4886	134	119	102	482	594	410
PA4887	292	260	268	993	1428	788
PA4888	321	510	660	2631	3125	2145
PA4889	447	819	864	1332	2894	2318
PA4890	905	612	701	1006	1553	1065
PA4891	40	34	23	71	101	158
PA4892	32	19	22	41	38	43
PA4893	108	80	64	103	141	154
PA4894	71	38	45	61	135	96
PA4895	169	101	60	25	54	52
PA4896	478	252	147	23	26	21
PA4897	883	675	532	372	387	494
PA4898	135	98	55	85	66	65
PA4899	2156	2006	956	278	323	284
PA4900	1594	2781	1043	75	106	96
PA4901	285	261	135	111	141	150
PA4902	216	217	110	226	194	120
PA4903	324	419	151	57	80	67
PA4904	195	345	95	148	128	136
PA4905	129	137	59	79	76	95
PA4906	444	344	247	531	584	455
PA4907	1055	1084	852	2205	1662	1326
PA4908	159	118	101	39	57	50
PA4909	240	186	149	146	112	144
PA4910	221	173	153	82	88	85
PA4911	243	167	140	50	54	43
PA4912	216	251	143	146	160	231
PA4913	2800	2503	2234	453	241	332
PA4914	806	646	700	674	496	667
PA4915	1830	1533	1317	1177	813	1096
PA4916	938	911	676	1466	1391	2367
PA4917	855	763	672	2421	1722	5043
PA4918	129	134	155	8275	4214	10664
PA4919	321	229	242	11938	5482	10864
PA4920	1480	1146	977	9682	8507	16079
PA4921	409	292	347	1584	1666	2890
PA4922	11612	10858	12544	124201	46590	41420
PA4923	465	297	342	1544	2203	2047
PA4924	1159	935	1012	1369	1640	1473
PA4925	1291	976	923	184	176	273
PA4926	388	344	269	205	251	246
PA4927	1034	796	673	497	578	610
PA4928	1326	965	981	3229	3590	2521
PA4929	224	208	138	308	380	433
PA4930	676	367	412	1051	1587	1642
PA4931	1726	1208	1137	3318	3591	3313
PA4932	9897	7489	7000	29527	42734	30654
PA4933	8038	4439	5791	34603	65912	43894
PA4934	2613	2278	2215	15911	17846	8050
PA4935	6106	5205	5203	27734	28170	13937
PA4936	1989	2105	2134	2153	2950	3170
PA4937	12546	10991	10139	13793	16289	18240
PA4937.1	155	69	110	164	102	29
PA4937.2	206	101	169	297	194	94
PA4938	8635	6778	6025	17210	19241	13046
PA4939	4601	3504	3216	4267	6275	5567
PA4940	276	196	169	367	302	271
PA4941	13191	9155	8594	21813	23860	20335
PA4942	12231	8530	8296	16931	19969	15631
PA4943	13673	10361	9675	20300	23300	19403
PA4944	6126	5787	3738	2794	1954	1987
PA4945	3414	2525	2236	3896	2954	2680
PA4946	2838	1868	1905	4836	6138	5069
PA4947	4115	2532	2775	5999	4615	4245
PA4948	679	585	459	719	712	934
PA4949	903	769	679	942	1305	1074
PA4950	1482	1329	1059	2171	1894	2374
PA4951	2106	1991	1812	2396	1974	1658
PA4952	1790	1151	1202	2781	2955	2235
PA4953	1050	673	795	2290	1971	1371
PA4954	1238	760	831	1442	1291	972
PA4955	1125	782	851	1067	960	1399
PA4956	1869	1063	962	1377	1695	1613
PA4957	2216	1234	1369	3014	3653	2659
PA4958	3686	2945	3229	4616	3804	5067
PA4959	2527	1447	1858	4688	4570	3443
PA4960	2599	1956	1478	4625	5249	3214
PA4961	2554	1802	1979	4141	3621	2966
PA4962	64	47	33	101	159	109
PA4963	3408	2235	2039	2625	3703	2622
PA4964	2855	1976	1983	9248	10645	8448
PA4965	284	172	238	1023	1076	1047
PA4966	767	423	416	2045	2775	2359
PA4967	1852	1134	1249	6999	7477	6726
PA4968	1257	838	793	1580	1552	1166
PA4969	768	484	570	1785	2181	1781
PA4970	885	609	522	915	1307	1422
