Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA3281	398	492	406	159	164	186
PA3282	154	265	198	44	74	47
PA3283	932	1111	797	80	132	232
PA3284	820	1046	956	212	247	220
PA3285	1739	1500	1342	1889	2558	2598
PA3286	1424	1114	1057	2793	3988	1982
PA3287	166	163	139	187	207	89
PA3288	572	455	369	370	578	437
PA3289	873	662	684	224	247	311
PA3290	2385	2438	1884	1381	1331	1753
PA3291	120	116	82	101	49	189
PA3292	77	59	89	122	59	174
PA3293	93	76	63	206	276	318
PA3294	341	253	176	1260	1156	915
PA3295	1162	806	671	1120	695	536
PA3296	80	76	55	123	128	147
PA3297	2322	1821	1788	5004	6569	5434
PA3298	175	178	101	59	108	97
PA3299	2416	1522	1439	7691	6782	4765
PA3300	1792	1343	1315	1542	1161	1301
PA3301	1355	829	920	1379	1499	1410
PA3302	1141	1016	1100	3290	2385	1639
PA3303	293	277	265	218	260	295
PA3304	185	166	153	274	305	333
PA3303a	0	0	0	1	0	0
PA3304.1	0	0	0	0	0	0
PA3305	619	521	511	1107	1084	1064
PA3305.1	955	519	736	21824	6869	10844
PA3306	1568	1122	971	1281	1315	1470
PA3307	1181	799	602	91	132	162
PA3308	1952	1136	1295	5591	7388	5194
PA3309	6541	3605	5254	93012	62377	71103
PA3310	1004	848	712	2417	2166	2501
PA3311	930	697	552	325	270	264
PA3312	412	191	258	313	504	693
PA3313	812	516	632	2763	2708	1562
PA3314	204	186	209	487	743	572
PA3315	375	365	273	146	238	277
PA3316	345	401	292	208	269	306
PA3317	455	226	264	973	1196	885
PA3318	66	33	31	87	110	70
PA3319	260	294	226	191	196	269
PA3320	94	117	148	18	32	33
PA3321	215	155	121	446	697	640
PA3322	255	149	142	527	585	411
PA3323	88	77	49	145	130	109
PA3324	295	273	243	265	288	295
PA3325	1379	988	916	221	231	197
PA3326	15218	13362	10838	2887	1945	1707
PA3327	2847	1613	1617	2305	1743	2069
PA3328	243	125	228	309	210	234
PA3329	199	121	232	170	112	185
PA3330	516	298	578	264	212	564
PA3331	359	308	527	384	264	369
PA3332	236	207	283	127	87	153
PA3333	212	138	307	198	140	172
PA3334	253	254	451	154	126	201
PA3335	254	236	341	220	163	159
PA3336	435	200	398	1839	2159	4516
PA3337	451	240	271	14921	9844	12521
PA3338	167	175	131	171	162	100
PA3339	1286	1295	814	859	966	771
PA3340	2041	1797	1545	649	1030	815
PA3341	1791	1443	1051	2313	1895	1500
PA3342	447	334	345	551	422	509
PA3343	680	555	479	821	634	608
PA3344	3062	1813	1953	4181	5551	5086
PA3345	1463	1051	1039	378	479	709
PA3346	2771	1832	1872	1182	1041	1156
