Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA4547	875	364	588	1973	1719	1080
PA4548	1955	794	985	2782	2709	1527
PA4549	91	30	59	58	61	43
PA4550	1838	799	1071	1470	976	913
PA4551	863	474	567	799	613	347
PA4552	1398	706	1031	986	835	458
PA4553	1652	689	1032	1027	902	451
PA4554	5517	2920	3799	3837	4271	2430
PA4555	1296	559	889	635	589	327
PA4556	2138	997	1435	1279	1601	583
PA4557	1777	835	1294	6013	5426	2931
PA4558	1077	579	765	2587	2849	1313
PA4559	798	327	481	1565	1709	891
PA4560	9724	3945	6112	17686	19337	10551
PA4561	2809	1017	1618	2991	2791	1255
PA4562	497	200	370	980	973	429
PA4563	4544	3116	2739	6287	8491	3772
PA4564	2100	857	1558	1634	4204	1288
PA4565	8540	3262	6117	10118	24125	5385
PA4566	4465	2021	2769	10330	9078	6146
PA4567	3472	2472	2629	15799	18439	6435
PA4568	4560	3160	3461	28101	25607	18553
PA4569	1942	998	1210	5635	3857	2207
PA4570	1771	347	466	46	41	30
PA4571	1608	644	1079	14350	21421	9484
PA4572	8503	3959	5915	7481	5440	3042
PA4573	3678	1931	3083	294	479	121
PA4574	198	108	127	849	234	302
PA4575	2955	1630	2105	692	991	469
PA4576	3948	1835	2902	9387	10502	5839
PA4577	2880	611	1622	2978	10639	2546
PA4578	2523	2533	3199	21476	13782	9473
PA4579	1124	528	999	4483	5886	2208
PA4580	389	146	231	609	954	376
PA4581	741	325	458	1289	1370	697
PA4581.1	489	324	447	502	667	168
PA4582	338	127	189	602	604	386
PA4583	145	58	91	635	559	514
PA4584	236	117	158	567	370	427
PA4585	324	166	200	258	444	216
PA4586	210	63	149	283	258	136
PA4587	1535	567	979	4993	9653	3637
PA4588	1155	449	610	1262	1462	716
PA4589	377	185	274	235	490	195
PA4590	1104	383	550	289	312	110
PA4591	314	158	234	239	243	138
PA4592	241	135	186	427	465	234
PA4593	96	46	91	101	176	74
PA4594	379	165	259	129	192	105
PA4595	5149	2106	3351	16174	14706	9103
PA4596	191	175	360	703	4480	790
PA4597	160	49	115	444	510	213
PA4598	314	207	232	631	735	391
PA4599	60	61	46	91	208	73
PA4600	260	158	208	939	589	471
PA4601	1540	741	1286	2437	3197	1108
PA4602	4320	1750	2229	17268	10793	7381
PA4603	353	159	226	397	415	191
PA4604	1240	644	704	1333	1146	832
PA4605	2244	1399	2024	791	1537	515
PA4606	10531	6369	9110	8671	9184	4166
PA4607	36745	14974	17954	5355	4946	3628
PA4608	1368	872	1051	834	893	536
PA4609	2138	827	1217	1811	1905	897
PA4610	719	271	458	1152	2252	618
PA4611	2870	2939	2786	6731	16124	8548
PA4612	150	74	106	140	242	108
PA4613	300	142	174	492	540	311
PA4614	3143	3967	2536	3368	5380	2157
PA4615	989	500	616	1303	1291	853
PA4616	72	67	72	1544	1064	612
PA4617	946	382	661	1775	1802	870
PA4618	1304	613	908	1194	1917	792
PA4619	241	140	209	1424	1891	1286
PA4620	32	15	30	482	687	285
PA4621	304	184	328	3763	5083	2312
PA4622	154	119	158	572	606	172
PA4623	64	24	48	109	117	52
PA4624	697	424	466	818	1113	432
PA4625	1649	909	1104	3168	2988	2015
PA4626	584	218	373	807	1024	285
PA4627	1069	417	604	1255	1436	414
PA4628	1039	520	672	3481	2889	1341
PA4629	156	64	71	485	482	208
