Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA2879	345	181	255	520	930	420
PA2880	103	58	93	77	124	38
PA2881	72	56	45	63	96	66
PA2882	107	32	89	84	103	50
PA2883	1683	1512	1114	341	662	398
PA2884	1402	641	918	1457	1955	714
PA2885	554	173	337	1599	2032	732
PA2886	609	201	356	518	492	247
PA2887	125	72	69	153	111	66
PA2888	306	112	207	272	221	154
PA2889	300	183	277	235	217	191
PA2890	75	50	68	34	50	32
PA2891	306	176	342	236	242	200
PA2892	202	124	194	87	111	41
PA2893	2227	874	1402	380	455	195
PA2894	3809	1543	2732	550	816	501
PA2895	1426	1090	1252	101	167	184
PA2896	10180	3413	6456	614	742	260
PA2897	13070	7034	11404	3556	5581	1834
PA2898	116	88	113	128	170	34
PA2899	847	346	560	543	793	230
PA2900	961	380	555	1769	1505	830
PA2901	896	297	460	1564	1501	720
PA2902	1187	505	781	1264	1260	521
PA2903	372	154	225	848	1040	538
PA2904	115	67	87	742	498	388
PA2905	43	22	34	202	163	147
PA2906	803	335	647	885	1484	663
PA2907	465	219	287	344	650	291
PA2908	433	135	271	412	523	212
PA2909	89	53	40	62	107	67
PA2910	69	43	48	120	84	54
PA2911	819	275	517	1628	899	385
PA2912	71	24	35	176	159	78
PA2913	60	24	29	214	140	52
PA2914	319	153	263	206	376	95
PA2915	1615	825	1121	853	880	301
PA2916	19	4	12	10	13	6
PA2917	557	263	294	393	414	136
PA2918	655	467	494	262	224	118
PA2919	307	132	158	21	54	10
PA2920	1183	697	969	309	356	194
PA2921	160	43	95	286	216	166
PA2922	69	27	36	55	72	39
PA2923	28	18	24	28	18	19
PA2924	49	28	28	16	36	19
PA2925	70	42	50	55	84	33
PA2926	100	39	40	82	85	51
PA2927	518	338	440	513	492	226
PA2928	386	154	210	537	488	293
PA2929	108	76	113	126	140	62
PA2930	1332	488	857	1052	1987	715
PA2931	1590	378	628	336	693	243
PA2932	1413	303	398	185	173	104
PA2933	208	48	80	24	71	32
PA2934	193	95	86	129	157	65
PA2935	16	10	5	8	7	15
PA2936	72	59	39	68	55	26
PA2937	678	922	934	52	67	33
PA2938	957	637	999	115	167	105
PA2939	9174	4181	7102	166	189	103
PA2940	476	163	345	240	392	146
PA2941	366	164	206	160	291	114
PA2942	1746	586	982	1063	1560	468
PA2942.1	107	89	89	177	76	47
PA2943	763	409	578	1298	1662	492
PA2944	991	416	607	3058	2455	1398
PA2945	1460	803	901	3228	2358	1315
PA2946	2144	1224	1425	1819	2992	794
PA2947	158	91	177	345	637	118
PA2948	223	127	185	639	640	180
PA2949	708	374	567	430	421	194
PA2950	2595	1277	2006	11805	7774	6396
PA2951	8975	4074	6135	21201	20626	12031
PA2952	4529	2212	3117	11806	9911	8958
PA2953	4852	2302	3527	7145	6464	4191
PA2954	1871	371	749	1240	1474	558
PA2955	1761	390	603	913	1602	418
PA2956	493	181	271	764	691	483
PA2957	1651	617	783	2526	1148	1009
PA2958	852	402	622	767	883	557
PA2958.1	2318	3698	5187	176	282	243
PA2959	1212	616	937	2343	2061	966
PA2960	538	343	366	814	869	500
PA2961	1613	644	1256	1764	3162	1048
PA2962	885	314	561	954	1797	448
PA2963	1552	745	1140	2140	2472	967
PA2964	1295	496	854	4302	2929	1920
PA2965	6126	2783	4858	12308	15900	5519
PA2966	15631	7531	12383	20151	30670	14002
PA2967	3409	1943	3145	19619	24199	11883
PA2968	2128	853	1818	9645	9422	4772
PA2969	1592	638	962	6083	6666	2219
PA2970	827	388	475	1982	1490	1580
PA2971	13508	4676	6166	24540	13196	8299
PA2972	301	166	211	790	744	410
PA2973	4263	2029	3459	5803	11952	2903
PA2974	2022	832	1217	2403	3051	1326
PA2975	2604	1028	1902	3360	5447	1757
PA2976	6468	4570	6166	21926	16802	16493
PA2977	1597	518	992	3014	2844	1641
PA2978	643	209	432	1446	1247	610
PA2979	1152	554	885	1560	1744	505
PA2980	212	106	149	190	287	170
PA2981	729	292	483	1023	1007	569
PA2982	997	461	537	1141	1343	452
PA2983	824	393	437	785	832	318
PA2984	771	526	655	249	484	176
PA2985	1270	599	667	562	400	171
PA2986	744	358	515	1442	1637	659
PA2987	639	345	441	1041	944	726
PA2988	1229	587	821	1999	2194	802
PA2989	512	297	401	473	547	297
PA2990	2463	1137	1840	2786	3122	1947
PA2991	2505	1432	1727	6375	6652	3757
PA2992	321	119	201	906	1021	533
PA2993	1242	415	773	3749	4446	1810
PA2994	1477	624	885	3965	4057	2711
PA2995	642	298	403	1844	1613	959
PA2996	547	275	364	1782	1214	850
PA2997	1026	403	529	3311	2224	1737
PA2998	1779	668	1028	3845	2921	1982
PA2999	5092	1625	2516	5035	5408	2306
PA3000	981	469	521	2396	1993	1196
PA3001	11176	5597	6961	35356	23288	15426
PA3002	4357	1965	3174	8203	7835	4455
PA3003	1055	633	825	974	1644	669
PA3004	1561	543	936	3381	2761	1584
PA3005	2139	696	1288	2312	1942	956
PA3006	2770	776	1264	2283	5080	1572
PA3007	2580	771	1053	2000	1637	1143
PA3008	1705	483	796	839	904	407
PA3009	777	584	501	576	637	476
PA3010	3694	1361	2230	2453	2587	1626
PA3011	11349	4167	6061	15617	14019	10956
PA3012	1027	501	685	486	646	371
PA3013	4919	2227	3153	4537	4944	3335
PA3014	6544	2752	3360	7431	7142	6193
PA3015	368	153	231	438	448	230
PA3016	147	64	107	198	210	95
PA3017	1484	761	986	1637	1721	920
PA3018	424	173	243	2348	3559	1038
PA3019	1472	528	662	5125	3901	2617
PA3020	1834	1127	1510	2386	1904	1022
PA3021	974	572	575	1478	1181	570
PA3022	2881	976	1770	1573	1501	700
PA3023	1520	659	1043	238	347	195
PA3024	399	152	347	449	469	212
PA3025	273	121	172	159	275	166
PA3026	533	273	403	443	499	162
PA3027	427	171	369	854	776	368
PA3028	1458	441	839	2375	2195	1113
PA3029	1143	683	868	1500	1639	554
PA3030	511	275	351	219	475	151
PA3031	12144	8668	11264	3342	6529	1991
PA3031.1	17	15	34	7	4	1
PA3032	1837	1250	1733	143	159	79
PA3033	400	142	241	315	334	115
PA3034	521	249	313	657	834	452
PA3035	220	158	189	170	181	65
PA3036	138	125	135	84	151	65
PA3037	215	135	198	201	178	91
PA3038	4018	5023	5639	1220	884	754
PA3039	148	88	120	211	200	104
PA3040	2292	1427	1675	686	1275	586
PA3041	3059	1147	1848	864	726	445
PA3042	797	377	487	186	257	154
PA3043	1085	662	828	1364	1309	766
PA3044	271	133	220	267	332	96
PA3045	64	19	25	30	55	40
PA3046	826	510	435	3604	2105	2180
PA3047	1714	807	1094	2848	3763	1201
PA3048	1472	584	872	2901	3237	1795
PA3049	135249	82141	103380	749	851	636
PA3050	3984	1708	2386	2680	3172	1212
PA3051	273	123	269	321	350	213
PA3052	3871	2596	3756	1548	4014	729
PA3053	1099	567	814	733	763	368
PA3054	789	461	589	1699	2497	744
PA3055	873	341	640	1896	2226	1082
PA3056	274	121	223	623	517	582
PA3057	18	32	42	63	57	59
PA3058	81	37	80	202	213	109
PA3059	189	93	106	173	202	93
PA3060	43	59	73	127	122	53
PA3061	56	31	47	123	95	61
PA3062	18	10	16	2	21	15
PA3063	102	73	122	237	292	128
PA3064	211	94	186	237	328	137
PA3065	67	56	62	124	105	82
PA3066	316	125	200	213	328	120
PA3067	361	142	215	193	322	89
PA3068	9989	4439	7009	16370	13777	12683
PA3069	752	257	523	520	891	269
PA3070	1481	728	1007	2651	3290	1492
PA3071	346	157	336	725	930	422
PA3072	48	24	27	18	42	41
PA3073	184	110	150	279	443	152
PA3074	633	271	397	646	1022	367
PA3075	418	221	385	707	1066	408
PA3076	499	274	388	506	609	435
PA3077	239	96	156	273	340	102
PA3078	472	219	455	626	872	289
PA3079	4240	2316	3143	1509	1053	677
PA3080	5099	2312	3461	899	839	323
PA3081	277	175	195	1343	1134	899
PA3082	341	196	295	2831	2561	1935
PA3083	6265	3151	4216	7117	7655	4119
PA3084	1043	433	656	1561	1744	671
PA3085	409	245	298	308	553	263
PA3086	678	263	449	945	1074	379
PA3087	522	236	425	750	1010	460
PA3088	677	407	518	1686	1295	810
PA3089	618	410	530	113	311	92
PA3089a	269	137	138	190	234	140
PA3091	1075	352	656	903	1018	490
PA3092	379	162	284	805	915	464
PA3093	2243	734	1491	1980	2493	895
PA3094	2939	682	1194	1090	1226	503
PA3094.1	1190	451	836	967	1163	300
PA3094.2	987	426	790	3766	1227	915
PA3094.3	422	279	510	62	83	209
PA3095	570	326	494	161	441	123
PA3096	2130	957	1684	762	1407	495
PA3097	636	243	589	728	658	350
PA3098	442	213	368	511	432	306
PA3099	401	128	323	201	332	91
PA3100	735	300	510	621	419	279
PA3101	1120	706	1028	1335	1311	951
PA3102	1794	783	1507	590	1225	314
PA3103	3504	2054	2980	2234	2787	1294
PA3104	6359	3188	5353	1125	1973	647
PA3105	3512	2257	3537	2886	3796	1463
PA3106	1449	511	980	2537	2926	992
PA3107	2519	1103	1836	4626	5738	2496
PA3108	2908	1569	2037	10977	7137	5301
PA3109	981	356	632	510	961	231
PA3110	1412	669	1056	1623	2623	1135
PA3111	3044	1196	2135	6171	6678	2599
PA3112	2511	1120	1736	8597	7990	3770
PA3113	5103	1743	2862	4572	4896	2459
PA3114	345	145	266	1563	1782	824
PA3115	6634	2689	4470	20226	25812	14579
PA3116	1114	362	650	2948	2908	1130
PA3117	3682	1201	2010	5690	6125	2701
PA3118	2203	844	1274	1569	1873	773
PA3119	2167	600	946	689	1298	347
PA3120	2660	1047	1417	725	1251	455
PA3121	6457	2075	3390	2135	3486	1319
PA3122	1575	687	1099	1009	1564	431
PA3123	2591	1300	2026	1195	1523	713
PA3124	441	215	227	736	1220	582
PA3125	1326	359	528	517	570	307
PA3126	102199	20518	36863	4022	589	3101
PA3127	697	408	506	619	683	314
PA3128	352	201	192	312	520	146
PA3129	603	180	307	1408	1406	648
PA3130	242	82	122	640	482	277
PA3131	560	240	346	1072	920	457
PA3132	234	82	142	180	278	139
PA3133	185	88	104	173	240	110
PA3133.1	11	1	2	3	5	9
PA3133.2	56	24	42	91	64	75
PA3133.3	357	106	150	1029	447	438
PA3133.4	89	64	71	82	114	67
PA3134	2227	1128	1405	9422	6704	5262
PA3135	494	184	284	434	437	182
PA3136	72	52	47	177	158	76
PA3137	384	193	209	312	458	224
PA3138	2632	1468	1873	3512	3441	2012
PA3139	3965	1841	2893	9739	6175	3604
PA3139.1	16	13	8	5	20	17
PA3140	233	95	197	155	260	134
PA3141	14088	6428	10516	10008	16154	5888
PA3142	1235	433	606	370	439	286
PA3143	401	194	286	890	898	788
PA3145	2791	1539	2659	3018	4916	1596
PA3146	926	691	1030	3358	2819	1638
PA3147	991	779	950	4870	2062	2482
PA3148	621	596	761	2402	944	1590
PA3149	1388	710	1242	1450	469	655
PA3150	3252	1362	3347	2123	1106	902
PA3151	2023	1298	2024	2340	1769	1143
PA3152	508	325	404	1360	637	570
PA3153	1370	735	1422	1197	1666	823
PA3154	1308	836	1304	1030	1227	833
PA3155	1626	1069	1333	5659	2741	3029
PA3156	1104	806	938	3007	2800	2603
PA3157	3280	1762	2632	2632	4103	1761
PA3158	1207	891	1084	3212	1712	1890
PA3159	9384	7929	9235	18361	11923	9994
PA3160	15171	7479	11867	2851	3348	1475
PA3161	3636	1876	2172	2116	1568	1428
PA3162	36643	27491	27614	159003	112666	112115
PA3163	3231	1145	1911	3969	4603	3112
PA3165	3065	1248	1896	8489	7222	3323
PA3166	2312	1376	1704	6158	6031	3195
PA3167	3632	1551	2318	5534	6000	3518
PA3168	18072	6522	10582	30201	28217	16723
PA3169	1458	543	816	2661	2576	1484
PA3170	3670	1658	2532	2039	2840	927
PA3171	3195	1127	2197	2423	3806	1125
PA3172	1321	600	769	2033	2007	1042
PA3173	1900	1093	1303	1567	2479	852
PA3174	224	131	134	113	192	74
PA3175	246	111	153	128	168	47
PA3176	89	57	65	56	86	48
PA3177	2067	838	1319	2097	2054	938
PA3178	683	226	329	436	666	256
PA3179	3699	1123	2001	3577	3671	1836
PA3180	1363	584	1093	466	668	250
PA3181	2482	1058	1442	4604	10552	2467
PA3182	635	197	344	2836	4378	1997
PA3183	5284	1740	2734	20732	31227	10661
PA3184	1562	452	874	1736	2285	744
PA3185	2343	799	1362	3862	2998	1714
PA3186	2037	1043	2069	3682	1287	1828
PA3187	813	409	691	3725	931	1640
PA3188	361	173	308	1194	268	455
PA3189	458	215	399	1400	344	456
PA3190	3275	1348	2339	10117	4550	4345
PA3191	388	116	237	1392	1522	606
PA3192	511	181	290	2292	2948	1028
PA3193	1083	432	645	3294	5236	1648
PA3194	3328	1676	1982	16095	22442	8601
PA3195	3480	1621	2199	8886	8067	3009
PA3196	709	367	521	1107	1536	550
PA3197	1996	522	1125	1405	1787	602
PA3198	1621	531	999	1287	1633	817
PA3199	1449	714	1035	1149	1502	542
PA3200	1111	503	738	646	884	424
PA3201	1509	895	1026	1977	1430	1110
PA3202	4419	2018	3167	1831	3082	1029
PA3203	1730	649	1250	817	1794	431
PA3204	650	247	389	1158	1330	548
PA3205	7303	3067	3589	1124	1642	711
PA3206	1145	524	797	526	770	348
PA3207	361	205	217	208	432	184
PA3208	965	461	619	332	949	250
PA3209	40	15	17	93	97	58
PA3210	341	225	322	828	685	274
PA3211	1064	550	808	1631	2135	1004
PA3212	476	199	277	828	1074	392
PA3213	742	349	576	1306	1898	577
PA3214	540	296	398	569	987	421
PA3215	663	345	501	785	851	405
PA3216	378	258	309	144	148	95
PA3217	693	309	412	999	927	522
PA3219	27	15	25	18	37	16
PA3220	955	439	776	405	566	201
PA3221	1180	764	1324	816	998	331
PA3222	2665	1340	2666	1423	1605	364
PA3223	319	177	333	311	536	106
PA3224	1836	808	1319	1143	1285	823
PA3225	1174	689	946	2131	2190	969
PA3226	532	367	477	655	700	557
PA3227	1337	999	1377	4218	3204	1665
PA3228	957	441	987	2216	1853	1020
PA3229	214	89	120	228	228	139
PA3230	1543	743	1203	846	723	354
PA3231	877	672	849	30	58	21
PA3232	584	290	521	205	125	98
PA3233	1227	1150	1588	299	221	143
PA3234	3597	7038	6854	822	407	436
PA3235	2602	5749	7435	124	303	59
PA3236	1857	1122	1591	317	329	164
PA3237	48	43	40	35	67	51
PA3238	1495	1088	1231	1287	1346	627
PA3239	586	359	503	731	981	402
PA3240	518	298	441	427	506	287
PA3241	1347	538	903	1106	1911	604
PA3242	1537	510	884	1359	1556	361
PA3243	2361	1106	1628	2508	3273	1378
PA3244	3208	1960	2304	9113	7769	4469
PA3245	841	520	584	3863	2155	2580
PA3246	257	127	180	1716	1129	602
PA3247	3173	1887	2439	4712	6212	1747
PA3248	407	144	244	609	633	342
PA3249	461	178	311	154	272	90
PA3250	1786	828	1181	186	264	127
PA3251	338	158	301	62	83	40
PA3252	144	115	157	86	101	46
PA3253	124	56	122	57	42	34
PA3254	320	153	204	205	209	133
PA3255	1064	517	932	1452	1318	642
PA3256	2762	1343	2202	1241	2108	885
PA3257	8569	6141	6473	15700	12731	9212
PA3258	547	245	344	384	502	237
PA3259	754	255	532	461	611	320
PA3260	1542	902	1293	550	1633	882
PA3261	3362	1582	2301	786	1105	396
PA3262	5182	2904	4108	10505	8595	5536
PA3262.1	617	318	493	481	433	214
PA3262.2	344	258	482	80	81	197
PA3263	1275	596	962	6405	5685	2582
PA3264	670	296	410	1253	1041	441
PA3265	611	189	342	238	349	47
PA3266	24484	7884	16704	8998	7235	3458
PA3267	1114	576	919	2242	2087	1086
PA3268	399	159	221	1352	782	773
PA3269	437	173	314	512	612	264
PA3270	835	418	652	1423	1357	523
PA3271	1476	1040	1546	3571	3077	1526
PA3272	3848	2002	3156	1499	1625	1151
PA3273	900	376	1161	75	130	47
PA3274	760	846	925	42	55	32
PA3275	647	530	677	60	89	21
PA3276	371	214	355	349	529	155
PA3277	561	229	341	995	1381	566
PA3278	371	144	228	1872	5327	1345
PA3279	176	84	91	79	96	41
PA3280	225	150	166	172	155	117
PA3281	530	298	323	189	205	90
PA3282	335	139	172	61	77	21
PA3283	1561	756	578	183	209	125
PA3284	1427	572	603	394	332	295
PA3285	2246	863	1432	3093	3093	1431
PA3286	1961	924	1311	4515	3863	1779
PA3287	195	126	137	122	133	66
PA3288	666	281	436	392	400	126
PA3289	973	554	602	188	267	92
PA3290	2246	1005	1707	1029	1664	761
PA3291	102	38	65	45	22	35
PA3292	81	41	55	51	56	38
PA3293	112	48	58	114	133	47
PA3294	352	160	217	597	585	256
PA3295	1234	532	705	793	705	306
PA3296	100	52	85	101	145	52
PA3297	3262	1001	2004	6559	7986	3330
PA3298	196	93	143	92	116	37
PA3299	2374	1158	1413	7472	6576	4504
PA3300	1397	727	1138	1191	1056	651
PA3301	1509	740	1083	1456	1676	601
PA3302	1283	760	1102	1958	2500	966
PA3303	359	247	304	198	492	175
PA3304	228	60	136	311	568	199
PA3303a	1	3	2	0	0	0
PA3304.1	0	0	0	0	0	0
PA3305	767	319	481	1434	2086	710
PA3305.1	1300	408	714	9316	17853	16362
PA3306	1868	692	1079	1311	1506	627
PA3307	654	384	609	111	490	194
PA3308	2988	906	1637	9390	7837	4362
PA3309	8276	3123	5042	45602	79642	23875
PA3310	971	469	617	2230	4283	1296
PA3311	869	533	634	322	404	168
PA3312	517	174	265	365	521	250
PA3313	720	455	587	3231	1818	1425
PA3314	258	137	227	528	631	359
PA3315	296	208	293	120	276	82
PA3316	425	219	316	136	270	181
PA3317	460	160	248	463	494	259
PA3318	59	21	29	52	112	31
PA3319	265	177	281	192	295	104
PA3320	108	89	128	11	24	16
PA3321	205	114	172	483	405	295
PA3322	341	126	162	753	486	281
PA3323	96	51	66	157	99	102
PA3324	280	147	239	238	300	140
PA3325	1409	603	921	197	285	112
PA3326	11651	8323	9144	1619	1957	1000
PA3327	3472	1028	1652	899	896	441
PA3328	254	91	171	103	85	34
PA3329	236	113	191	91	93	78
PA3330	521	171	395	111	126	80
PA3331	382	241	406	145	151	100
PA3332	216	129	340	28	55	20
PA3333	242	121	277	82	68	60
PA3334	250	119	381	31	58	18
PA3335	234	106	243	74	109	37
PA3336	511	186	331	1146	5334	1234
PA3337	569	139	400	8128	13589	7082
PA3338	183	130	171	124	146	39
PA3339	1143	527	623	1165	1127	478
PA3340	1794	950	1720	825	1375	637
PA3341	2050	908	1147	2559	2259	995
PA3342	383	218	358	487	508	228
PA3343	594	370	455	611	769	401
PA3344	4117	1436	2287	6494	7110	3582
PA3345	1246	331	825	386	923	251
PA3346	2528	989	1769	1176	1412	597
PA3347	1482	624	1305	491	1212	240
PA3348	2317	897	1515	1837	2282	1107
PA3349	5011	2497	3528	2419	3841	1667
PA3350	2603	722	1052	3830	4952	1836
PA3351	2373	1177	1467	3126	4431	2567
PA3352	1336	691	809	2841	2804	1892
PA3353	596	228	416	961	1220	664
PA3354	1158	427	718	499	765	271
PA3355	971	427	769	523	952	307
PA3356	5240	2429	4049	4400	6694	2194
PA3357	703	436	565	1054	1207	642
PA3358	65	39	30	100	143	66
PA3359	66	44	61	194	193	119
PA3360	129	35	47	80	98	69
PA3361	3252	4233	2861	91	53	47
PA3362	3622	1897	2748	139	196	72
PA3363	5517	2548	3790	467	380	283
PA3364	8403	4029	6516	670	758	432
PA3365	24849	8138	16182	588	891	363
PA3366	51250	25046	32652	3820	3849	3382
PA3366.1	223	186	250	106	196	46
PA3367	167	70	98	317	511	153
PA3368.1	2	22	13	8	6	0
PA3368	99	57	56	68	69	49
PA3369	259	65	85	107	94	102
PA3370	402	71	101	47	78	46
PA3371	612	81	115	83	92	45
PA3372	498	139	242	160	362	105
PA3373	498	195	263	291	339	157
PA3374	148	52	135	101	116	79
PA3375	9	3	11	20	15	12
PA3376	51	11	25	35	27	16
PA3377	58	39	43	38	64	23
PA3378	104	49	71	67	122	53
PA3379	26	16	17	29	19	9
PA3380	9	6	1	3	11	4
PA3381	13	24	12	23	24	10
PA3382	37	7	24	41	35	11
PA3383	35	16	8	32	20	24
PA3384	57	42	48	76	62	39
PA3385	2233	2642	2215	3827	1942	1729
PA3386	254	156	225	140	171	45
PA3387	153	63	82	97	157	53
PA3388	513	181	221	217	317	114
PA3390	28	15	21	48	46	26
PA3389	51	37	34	93	107	56
PA3391	6601	1816	2967	711	2630	892
PA3392	2566	1108	1194	316	633	406
PA3393	716	199	256	137	158	99
PA3394	499	125	285	24	64	31
PA3395	632	177	262	76	113	24
PA3396	674	203	251	153	169	77
PA3397	5097	3224	4587	9634	7764	3619
PA3398	455	226	298	1006	731	507
PA3399	1027	831	772	385	965	261
PA3400	158	74	97	434	324	243
PA3401	123	93	117	516	355	193
PA3402	264	109	190	585	522	310
PA3403	65	55	68	211	203	116
PA3403a	629	441	845	54	117	23
PA3404	230	138	190	78	59	31
PA3405	49	28	37	24	36	9
PA3406	63	25	48	34	68	17
PA3407	448	186	318	217	218	134
PA3408	304	157	168	186	297	86
PA3409	221	79	98	31	32	32
PA3410	479	118	127	116	98	48
PA3411	28	5	24	26	26	6
PA3412	39	19	24	30	22	48
PA3413	555	248	341	532	525	309
PA3414	931	628	937	189	236	137
PA3415	2296	1377	2035	60	87	27
PA3416	2407	1341	2321	23	39	17
PA3417	3117	1259	2233	20	48	28
PA3418	4447	1959	2920	172	274	107
PA3419	834	481	696	733	750	270
PA3420	197	70	100	67	81	67
PA3421	92	124	134	89	111	69
PA3422	400	187	273	213	279	136
PA3423	296	144	170	358	394	220
PA3424	598	357	651	224	344	141
PA3425	547	456	499	72	121	31
PA3426	1230	554	855	191	282	159
PA3427	709	389	431	442	396	246
PA3428	77	37	46	13	42	5
PA3429	305	159	215	117	144	57
PA3430	593	453	561	374	841	286
PA3431	129	226	236	329	736	395
PA3432	246	493	400	291	1579	356
PA3433	244	112	177	372	309	216
PA3434	361	160	249	410	459	299
PA3435	1854	799	1047	3216	3955	1350
PA3436	161	63	90	225	457	111
PA3437	582	279	369	766	1202	412
PA3438	308	271	276	1209	1201	680
PA3439	580	381	417	1074	1278	518
PA3440	324	324	409	2375	2055	1271
PA3440a	565	339	487	1672	1971	511
PA3441	102	71	59	163	278	150
PA3442	82	51	62	159	364	94
PA3443	26	8	14	67	93	17
PA3444	76	39	52	146	318	51
PA3445	119	65	112	391	537	178
PA3446	105	50	67	606	386	244
PA3447	35	15	20	15	23	16
PA3448	45	26	38	13	31	20
PA3449	54	31	39	41	64	24
PA3450	546	442	493	1588	1090	816
PA3451	3254	1389	2595	57	129	52
PA3452	1604	752	810	8803	5812	4715
PA3453	779	284	408	1130	1442	878
PA3454	611	260	407	374	661	174
PA3455	1782	836	1261	1941	2587	1581
PA3456	721	281	397	621	817	476
PA3457	234	86	157	410	937	378
PA3458	721	295	536	3282	8867	2608
PA3459	9266	5407	8017	4224	14016	2807
PA3460	7006	3197	5784	537	1385	264
PA3461	3609	1712	2790	323	617	181
PA3462	423	228	285	280	229	139
PA3463	123	48	64	123	103	60
PA3464	341	172	248	292	389	138
PA3465	2394	1243	1810	3133	5018	1687
PA3466	2765	975	1726	2549	3914	1171
PA3467	447	210	350	91	181	55
PA3468	2093	864	1449	2614	2431	1009
PA3469	600	274	331	964	717	503
PA3470	626	195	430	631	738	206
PA3471	3403	1738	2393	5360	5982	2568
PA3472	4005	1748	2482	2108	1587	949
PA3473	493	118	236	510	458	219
PA3474	232	111	151	343	340	149
PA3475	1339	523	780	886	900	349
PA3476	21877	8167	16616	2361	3731	860
PA3477	11403	6965	8459	3828	4441	1724
PA3478	4704	2397	3528	419	436	217
PA3479	12640	8022	10110	379	515	225
PA3480	751	537	528	2536	1913	1141
PA3481	2130	1094	1794	3650	4033	1959
PA3482	7871	4088	6454	12354	12460	5292
PA3483	1365	506	867	1697	1815	718
PA3484	571	258	360	1057	1363	458
PA3485	271	63	106	299	369	157
PA3486	998	607	760	701	784	390
PA3487	683	224	401	958	946	555
PA3488	536	414	371	272	161	76
PA3489	237	111	185	332	327	91
PA3490	181	67	109	319	345	106
PA3491	605	261	445	1499	1905	993
PA3492	276	160	224	553	830	224
PA3493	119	56	77	423	490	177
PA3494	173	60	122	403	354	173
PA3495	186	109	164	532	542	246
PA3496	137	163	110	339	285	468
PA3497	108	69	92	185	133	106
PA3498	202	108	157	261	214	131
PA3499	59	45	42	54	41	23
PA3500	96	64	111	134	161	72
PA3501	6	21	11	12	18	6
PA3502	46	25	57	66	76	34
PA3504	331	139	204	161	265	105
PA3505	100	23	47	61	66	38
PA3506	147	76	126	123	153	86
PA3507	34	13	43	77	60	56
PA3508	37	35	42	115	53	89
PA3509	51	36	69	66	77	30
PA3510	50	75	63	107	60	75
PA3511	29	22	43	57	42	49
PA3512	112	43	92	96	109	64
PA3513	105	55	78	99	86	54
PA3514	123	72	107	127	92	44
PA3515	278	143	196	277	221	190
PA3516	113	68	71	122	116	65
PA3517	225	158	166	75	65	35
PA3518	121	42	64	53	65	72
PA3519	207	92	140	41	25	26
PA3520	1141	1129	801	17	20	21
PA3521	71	37	55	54	75	29
PA3522	301	192	193	311	293	246
PA3523	68	25	40	72	91	44
PA3524	953	1119	883	4905	4697	2729
PA3525	5922	3423	4018	14391	12594	6986
PA3526	352	148	230	202	338	176
PA3527	3356	2147	2836	4918	6491	1766
PA3528	2603	1325	1722	3406	3642	1561
PA3529	4097	4287	4419	40616	24495	16420
PA3530	2968	1633	1416	55	49	40
PA3531	841	991	1047	26553	21952	11476
PA3532	531	253	364	3268	6896	1234
PA3533	6117	3959	3569	6586	4015	3381
PA3534	573	266	322	279	460	238
PA3535	3868	1939	3011	1531	1623	706
PA3536	1281	571	911	926	1206	469
PA3537	1639	627	917	3354	3123	1461
PA3538	1670	793	1210	3017	3487	861
PA3539	540	458	531	1697	1314	662
PA3540	1766	1339	1449	204	145	177
PA3541	550	234	353	189	182	132
PA3542	339	166	232	65	109	41
PA3543	284	117	235	61	74	59
PA3544	352	235	390	97	156	70
PA3545	1062	705	826	1170	921	720
PA3546	218	159	329	45	68	40
PA3547	481	273	584	69	116	48
PA3548	334	340	461	101	168	101
PA3549	199	137	312	36	51	23
PA3550	437	573	930	109	189	67
PA3551	1707	1328	1958	203	297	131
PA3552	311	119	209	2760	2761	1236
PA3553	193	67	115	2311	2400	904
PA3554	307	143	203	4510	5442	3007
PA3555	49	29	38	199	459	211
PA3556	115	35	75	1527	1430	649
PA3557	23	3	8	223	209	91
PA3558	15	7	9	48	188	79
PA3559	345	108	187	3875	3825	2067
PA3560	186	105	126	1247	1718	1052
PA3561	154	67	130	784	1790	1034
PA3562	371	179	302	2514	4545	2973
PA3563	1913	671	1289	2105	3173	835
PA3564	397	185	262	553	791	225
PA3565	252	143	169	352	526	273
PA3566	1132	1423	1193	1053	2627	384
PA3567	2386	1205	1921	2214	2297	1040
PA3568	1520	1018	1463	333	429	206
PA3569	899	260	446	56	64	26
PA3570	2729	640	1250	218	251	150
PA3571	214	94	126	482	775	236
PA3572	132	172	135	1176	1166	1151
PA3573	838	275	507	1253	1795	900
PA3574	358	208	296	711	554	311
PA3574a	52	51	52	87	69	70
PA3575	411	167	209	1107	706	336
PA3576	4630	2311	3477	1288	2500	496
PA3577	172	64	94	61	82	56
PA3578	4697	1523	2568	1237	1718	667
PA3579	741	210	343	2696	4205	1386
PA3580	400	156	263	1587	2018	1185
PA3581	1546	870	1139	4590	7472	1788
PA3582	2189	1078	1770	9626	11646	5580
PA3583	1006	467	783	2398	3050	932
PA3584	3129	1474	1912	11816	16755	6455
PA3585	87	36	66	147	166	58
PA3586	105	36	78	160	175	71
PA3587	841	401	486	1038	817	464
PA3588	275	82	157	203	332	99
PA3589	46	35	23	38	37	21
PA3590	178	60	84	143	122	93
PA3591	17	2	8	16	25	15
PA3592	65	36	39	38	74	18
PA3593	116	78	88	111	124	46
PA3594	247	96	197	444	451	228
PA3595	136	81	94	160	165	86
