Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA4249	5874	5103	2550	11663	12257	11309
PA4250	8081	10641	3275	22982	38542	34435
PA4251	5999	10825	3144	45674	43536	41666
PA4252	2598	3993	1593	17700	17946	18189
PA4253	3126	3745	2014	15283	17467	18982
PA4254	1501	1683	736	7122	7156	8080
PA4255	527	1036	720	2107	3486	5131
PA4256	5308	7152	3930	24520	32106	37650
PA4257	8170	11915	3866	46359	42194	40734
PA4258	5260	6319	4490	27053	25807	28703
PA4259	3201	5709	2323	30539	21142	21446
PA4260	9267	11888	3000	41771	41463	38877
PA4261	1127	1482	532	6204	5502	5912
PA4262	11207	15434	3502	43403	54485	52269
PA4263	9635	12576	4216	26469	29748	31851
PA4264	10185	8988	4584	25092	17368	15754
PA4265	38580	51851	15138	212514	191399	167709
PA4266	26992	36110	11053	130775	143597	142500
PA4267	8621	11934	4248	33887	31835	31484
PA4268	10881	12154	3038	36456	27400	20537
PA4269	34481	56133	12627	68172	111007	115521
PA4270	38204	51117	9596	65105	100508	95692
PA4270.1	420	1409	593	453	598	961
PA4271	4762	6432	4180	41373	46242	51641
PA4272	8520	12963	5122	66847	69950	77228
PA4272.1	2403	2744	1550	23968	13043	19252
PA4273	11216	12700	3405	50568	67872	62391
PA4274	6779	6547	3766	26453	32884	36533
PA4275	8071	7140	5697	11787	17666	16712
PA4276	6911	4778	2812	8637	9693	8726
PA4276.1	585	399	185	379	1077	1266
PA4277	24871	29778	9137	164646	141563	117035
PA4277.1	318	139	399	259	262	211
PA4277.2	226	413	1458	25	26	32
PA4277.3	497	778	1440	386	467	335
PA4278	639	569	489	771	1284	1552
PA4279	552	580	373	938	1489	1671
PA4280	974	778	534	1539	2547	2215
PA4280.1	203	335	123	2048	280	338
PA4280.2	1511946	1475412	667076	262363	12965	51249
PA4280.3	69	42	57	28	83	54
PA4280.4	216	222	261	1242	492	338
PA4280.5	191154	264664	377116	1200776	8974	29466
PA4281	1128	958	356	1083	928	1405
PA4282	1791	2382	587	1464	2208	2814
PA4283	881	1259	398	890	1742	1944
PA4284	1617	2178	608	1925	3335	3950
PA4285	1830	1994	688	2385	3807	4218
PA4286	771	590	290	523	996	1261
PA4287	150	98	39	121	170	134
PA4288	1073	344	219	180	170	249
PA4289	567	745	224	400	468	708
PA4290	872	3634	1012	1919	2276	2921
PA4291	1838	1360	814	997	634	615
PA4292	2412	1849	697	4455	5144	2912
PA4293	904	1180	353	124	194	185
PA4294	630	662	148	25	15	23
PA4295	56	49	62	13	5	11
PA4296	2484	2389	1272	224	158	282
PA4297	1614	1057	482	440	278	436
PA4298	8	17	19	10	0	1
PA4299	88	115	35	9	23	46
PA4300	106	174	23	44	40	81
PA4301	94	149	54	47	49	58
PA4302	201	218	60	90	69	119
PA4303	305	272	83	96	103	131
PA4304	333	348	122	80	92	134
PA4305	689	580	327	76	116	133
PA4306	3954	3073	2420	88	54	82
PA4307	913	816	317	2027	1821	1923
PA4308	2387	2841	849	1343	1976	2552
PA4309	577	610	179	667	453	588
PA4310	777	709	255	1452	1219	1244
PA4311	7207	5561	2291	506	340	585
PA4312	1690	1679	579	286	448	496
PA4313	779	661	291	395	732	735
PA4313a	344	195	157	107	236	388
PA4314	2001	2032	615	4942	5538	4291
PA4315	6242	4411	3307	20162	3390	5348
PA4316	2429	2331	973	2121	2189	2528
PA4317	1734	1039	828	6007	5822	4021
PA4318	652	371	368	975	1564	1515
PA4319	301	224	71	809	978	999
PA4320	926	823	261	2280	2908	2850
PA4321	381	386	182	2039	1831	2338
PA4322	615	696	278	2556	3210	3908
PA4323	661	644	185	1195	1810	1870
PA4324	602	531	138	599	784	925
PA4325	2785	2506	1016	220	374	415
PA4326	275	161	38	158	209	215
PA4327	472	288	85	420	215	342
PA4328	1187	1002	264	3619	2967	5017
PA4329	4243	4516	1473	10978	11066	13067
PA4330	681	556	210	374	591	739
PA4331	306	348	67	202	352	406
PA4332	427	379	80	568	814	858
PA4333	2584	2749	1068	14348	13382	13432
PA4334	480	543	190	288	619	722
PA4335	201	247	129	370	298	427
PA4336	878	744	254	4040	1131	1743
PA4337	399	258	100	180	129	222
PA4338	1175	1618	709	486	262	378
PA4339	500	660	216	377	663	937
PA4340	592	799	200	612	983	804
PA4341	328	336	145	94	166	157
PA4342	397	327	108	107	151	248
PA4343	114	162	84	34	29	50
PA4344	1376	1362	362	205	283	319
PA4345	2385	2969	1557	376	438	546
PA4346	271	236	73	73	92	115
PA4347	1149	862	593	1410	1906	2313
PA4348	828	469	222	12907	11626	15749
PA4349	666	773	247	336	409	765
PA4350	803	734	175	666	1037	978
PA4351	2471	1878	934	1538	2501	3917
PA4352	6291	6350	3591	20382	18372	29639
PA4353	614	368	142	276	377	577
PA4354	331	100	52	348	159	195
PA4355	119	81	20	149	142	191
PA4356	756	498	178	2014	1882	2459
PA4357	368	165	52	197	189	234
PA4358	2632	1063	352	2627	1688	2244
PA4359	355	98	108	231	92	263
PA4360a	86	53	40	35	52	86
PA4361	1238	1399	477	740	734	1034
PA4362	1489	1418	525	149	192	293
PA4363	345	268	98	140	178	263
PA4364	51	28	30	18	18	36
PA4365	97	57	16	42	36	34
PA4366	16474	20083	14415	44388	25280	33492
PA4367	1944	1590	468	2665	1433	2302
PA4368	766	688	173	602	700	894
PA4369	488	467	99	618	342	611
PA4370	8839	8520	2704	14000	8372	9937
PA4371	1597	979	440	535	691	655
PA4372	1310	1105	372	1397	1398	1970
PA4373	1780	1573	406	1707	2190	2404
PA4374	747	665	230	1271	1224	1027
PA4375	1236	990	381	2315	2003	2033
PA4376	1724	1548	477	1362	1299	1260
PA4377	7690	4254	2690	197	356	343
PA4378	1033	1090	153	564	692	552
PA4379	1896	1793	392	430	552	534
PA4380	734	640	197	656	872	822
PA4381	1356	1305	423	708	865	789
PA4382	998	731	228	263	326	413
PA4383	861	448	263	194	370	415
PA4384	735	726	953	90	261	218
PA4385	89749	94666	16911	152686	333666	185745
PA4386	17508	16472	4067	25721	42871	29263
PA4387	9319	4765	2124	458	723	1635
PA4388	1447	1110	734	796	1168	1836
PA4389	3153	2635	581	3422	4514	4896
PA4390	1041	1119	288	1046	1415	1043
PA4391	367	395	103	459	430	485
PA4392	358	361	195	88	147	244
PA4393	1230	944	503	1141	1318	1320
PA4394	2887	3517	1680	1706	3407	2915
PA4395	3160	3069	727	9095	4123	3850
PA4396	523	355	184	457	431	559
PA4397	528	468	152	125	130	177
PA4398	1277	1020	385	1253	1104	1256
PA4399	894	784	321	567	819	1116
PA4400	1008	1152	736	1593	2724	2935
PA4401	1072	1164	618	781	1155	1709
PA4402	2969	3099	1019	3411	4557	4669
PA4403	22052	18855	7032	34266	32192	34932
PA4404	1042	801	402	1266	2578	2430
PA4405	1048	809	399	483	489	599
PA4406	19204	16262	7048	13722	18268	14438
PA4406.1	32	30	88	53	58	119
PA4407	17025	18120	6805	23615	27877	24881
PA4408	5690	5608	1639	10819	14533	12107
PA4409	1720	1650	540	2700	3216	2853
PA4410	1924	2286	1162	2356	4102	4406
PA4411	4350	4692	953	6325	10852	9894
PA4412	1206	1412	477	1416	2484	2650
PA4413	2423	1862	877	3291	5045	4981
PA4414	3318	3467	747	6433	7197	7152
PA4415	2155	2001	792	4472	5903	5346
PA4416	3457	3264	1245	4634	5740	6995
PA4417	3759	3733	1219	4059	7498	8397
PA4418	5258	4252	1040	9710	10950	11377
PA4419	401	329	139	533	662	836
PA4420	1970	1718	880	2822	3724	5711
PA4421	3079	3063	1408	7607	5042	8057
PA4421.1	8199073	4110172	11745261	1500049	2237623	2108159
PA4422	832	750	315	618	874	1012
PA4423	5135	4496	2134	4326	4376	4782
PA4424	544	643	264	322	286	486
PA4425	3129	3169	1172	4393	3174	3256
PA4426	3166	2376	1446	4769	4034	3886
PA4427	1333	1247	415	3282	2969	2946
PA4428	802	743	433	1439	2123	2647
PA4429	4447	5961	2448	14112	15011	18497
PA4430	5715	10390	3055	29675	27066	26512
PA4431	5889	6786	4093	17711	18470	18003
PA4432	8198	5310	2447	31027	38203	25561
PA4433	8535	5940	3547	37735	30971	23059
PA4434	2606	2517	1032	1830	2018	2285
PA4435	1184	1219	664	715	736	1017
PA4436	707	575	312	760	705	625
PA4437	261	221	96	161	259	238
PA4438	855	525	197	3344	5257	2525
PA4439	2105	2170	666	4476	6213	5708
PA4440	1016	940	366	730	1066	1475
PA4441	2931	2325	1814	4992	3829	5152
PA4442	2220	2968	901	9184	13020	14143
PA4443	1022	949	425	3323	2474	2279
PA4444	2336	1848	1643	1398	1423	1593
PA4445	1171	983	272	862	1437	1219
PA4446	1830	2061	486	2254	2282	1812
PA4447	1786	1427	536	2340	3307	3387
PA4448	1722	1492	388	1941	2910	2669
PA4449	2709	2839	591	3115	5200	4313
PA4450	10655	10007	3488	8503	15349	12313
PA4451	2420	1416	1031	1742	2228	1551
PA4451.1	1	0	0	0	2	5
PA4452	568	613	134	1277	1727	2255
PA4453	2219	2581	773	11778	8757	8660
PA4454	848	863	386	2554	2939	2395
PA4455	1054	898	516	2093	3195	3116
PA4456	3373	2694	1020	3683	6647	4745
PA4457	5956	5026	1530	6121	7005	6811
PA4458	1349	1739	392	1581	1836	1866
PA4459	2420	1697	1232	3694	1988	2132
PA4460	2351	3105	886	10519	3927	3560
PA4461	3637	3298	1427	4397	3513	3513
PA4462	4109	3573	857	6894	3403	4389
PA4463	12356	9064	1915	32947	5674	10297
PA4464	3984	2670	2298	4198	3503	6980
PA4465	3679	3464	1212	8004	5919	7054
PA4466	1582	1289	368	1692	1548	1376
PA4467	3761	1583	880	162	187	196
PA4468	7226	2417	1148	153	142	200
PA4469	2930	983	503	74	52	75
PA4470	11074	4681	1194	234	261	372
PA4471	4613	1158	401	46	29	43
PA4472	3778	2454	786	735	2102	1697
PA4473	2919	2351	658	2103	1534	1258
PA4474	7905	5114	1461	1718	3399	3093
PA4475	14756	8285	3320	1547	2581	4057
PA4476	4081	3916	1149	3296	4148	4569
PA4477	4592	3941	997	4040	3729	4225
PA4478	1217	1250	401	623	1010	1301
PA4479	371	229	98	693	1088	813
PA4480	1489	960	332	3026	4570	3053
PA4481	4412	3497	1447	5710	8852	5215
PA4482	1811	919	622	2376	1492	1796
PA4483	3826	3433	1319	5436	5977	6404
PA4484	4467	4279	1444	10343	12043	11951
PA4485	234	190	176	287	430	431
PA4486	714	751	328	537	810	823
PA4487	1054	1024	368	2774	3490	3425
PA4488	799	785	495	697	1439	1953
PA4489	2267	2156	740	8695	11110	12737
PA4490	313	281	107	964	1185	1229
PA4491	1613	1475	460	3776	5907	6934
PA4492	2864	1983	638	2288	2259	2585
PA4493	3639	4646	1156	4279	5193	4939
PA4494	3713	2726	980	5623	5218	6193
PA4495	259783	145401	46668	4052	5457	4976
PA4496	7947	6680	2322	4369	1694	2443
PA4497	3781	3289	1653	1866	2007	1971
PA4498	2745	6186	1883	5353	7285	7626
PA4499	3084	2419	1104	2516	1282	1817
PA4500	16744	21783	9270	39800	17071	25199
PA4501	2163	3461	1100	5313	2131	3533
PA4502	3262	4804	2024	7614	3447	6780
PA4503	1567	2100	1027	3105	1690	2435
PA4504	1089	1766	492	2013	1653	2408
PA4505	1357	2347	496	3722	2660	3242
PA4506	2156	2741	1198	2619	2308	3066
PA4507	5238	5729	3537	526	954	1324
PA4508	193	124	36	222	197	232
PA4509	265	385	86	157	309	326
PA4510	387	475	136	194	396	501
PA4511	912	1113	149	670	628	758
PA4512	1332	1033	668	2146	1785	1651
PA4513	894	548	173	243	424	486
PA4514	1841	1221	641	559	683	650
PA4515	2855	1309	540	315	265	302
PA4516	1819	1174	456	267	405	527
PA4517	1248	1360	541	577	754	564
PA4518	337	315	225	463	590	792
PA4519	2628	2917	1091	3260	3443	3177
PA4520	1131	1141	332	1015	808	997
PA4521	993	1064	263	298	521	696
PA4522	520	471	234	384	279	506
PA4523	14313	10569	3153	4725	4364	7432
PA4524	1782	1395	646	994	1603	1581
PA4524.1	6137	7046	23796	2338	6637	5128
PA4525	17261	27127	36063	29825	29266	23408
PA4526	2899	3013	1243	6795	4454	4918
PA4528	783	967	385	2111	2156	2085
PA4529	978	1136	396	1268	1477	1326
PA4530	221	219	83	253	222	281
PA4531	358	346	120	292	267	382
PA4532	1154	1206	355	420	639	700
PA4533	586	679	358	186	272	424
PA4534	2453	2065	969	1148	1431	1398
PA4535	1483	1086	453	1491	1157	1877
PA4536	746	622	402	470	383	865
PA4537	394	237	71	242	192	310
PA4538	2086	1637	663	4048	3395	3793
PA4539	2217	1591	984	932	1462	1836
PA4540	310	163	136	138	136	173
PA4541	2391	1700	478	841	1019	1268
PA4541.1	12	9	23	20	19	11
PA4541.2	3	6	7	2	2	0
PA4541.3	158	106	86	138	170	72
PA4542	118665	60813	12784	15283	23542	26876
PA4543	442	487	162	188	415	476
PA4544	3486	2503	829	2510	4006	2674
PA4545	4298	3292	1502	6449	4908	3776
PA4546	1615	1153	438	1552	1576	1789
PA4547	1138	1376	472	1510	1408	1721
PA4548	2112	2226	861	2181	3117	3165
PA4549	94	60	33	53	29	74
PA4550	2821	2548	722	2500	1135	1394
PA4551	2012	1439	411	1390	781	860
PA4552	2246	1574	675	1369	836	1003
PA4553	1964	1489	770	968	557	809
PA4554	9772	6267	3016	5599	3919	4845
PA4555	1394	871	665	679	520	706
PA4556	2930	1871	1231	2273	1302	1623
PA4557	2643	2772	701	4185	5762	4490
PA4558	2182	1987	438	2539	3652	3291
PA4559	1159	1128	244	1315	2181	2114
PA4560	10725	10989	3314	12750	18687	20926
PA4561	3154	2603	835	1918	2443	2742
PA4562	680	460	204	642	1096	902
PA4563	6782	3674	2085	14694	10635	5366
PA4564	1719	1416	1232	1540	1913	2581
PA4565	4885	4811	4287	5029	8565	11249
PA4566	4779	4876	1711	5227	8251	7943
PA4567	5952	4915	2332	15388	17668	14969
PA4568	10421	7193	3016	36460	27753	17700
PA4569	3506	2665	903	4907	5157	3331
PA4570	2087	478	317	35	26	39
PA4571	1488	1036	528	17029	12258	20778
PA4572	8251	5606	3310	3680	6169	5136
PA4573	5852	4099	1505	119	259	303
PA4574	238	223	110	600	287	162
PA4575	3378	1878	1135	488	540	951
PA4576	5323	5330	1912	7224	8548	11356
PA4577	1574	1077	1309	2878	3895	9086
PA4578	8756	8142	3015	57996	19039	25023
PA4579	1205	1293	763	3537	3645	4650
PA4580	453	366	137	558	750	744
PA4581	1205	770	215	699	947	1156
PA4581.1	1168	575	191	1856	1967	1754
PA4582	463	277	130	399	546	675
PA4583	232	240	90	572	860	736
PA4584	337	291	86	466	522	529
PA4585	199	264	123	260	537	526
PA4586	161	201	66	232	229	318
PA4587	1497	1821	764	7427	4952	5815
PA4588	1152	1545	522	943	1449	1209
PA4589	351	363	155	308	322	375
PA4590	1396	1083	427	443	422	513
PA4591	454	482	162	248	270	401
PA4592	418	422	112	510	577	729
PA4593	135	136	38	160	193	248
PA4594	855	500	200	126	200	216
PA4595	8931	8829	2177	13899	17089	17560
PA4596	177	181	231	1088	1261	3562
PA4597	319	262	70	249	427	530
PA4598	505	362	172	408	449	750
PA4599	50	48	42	38	93	133
PA4600	478	498	133	1008	620	558
PA4601	1739	1843	748	1893	2464	2385
PA4602	5432	4203	1560	12267	12928	12343
PA4603	484	491	138	370	554	525
PA4604	1326	2204	494	1268	1624	1651
PA4605	2047	2089	1287	844	2022	2701
PA4606	13108	15675	6799	13344	17923	19776
PA4607	55686	51132	16016	9226	5137	6831
PA4608	2900	2653	597	1182	923	1284
PA4609	2443	2135	700	1036	1937	1938
PA4610	731	752	335	952	1387	2908
PA4611	5461	4469	2039	18390	10007	16583
PA4612	186	160	61	104	139	203
PA4613	435	430	156	417	467	595
PA4614	4446	5129	2594	4190	3764	3392
PA4615	1696	1329	419	952	975	1573
PA4616	147	101	44	1085	928	705
PA4617	964	975	269	972	1502	1617
PA4618	1051	1345	475	472	942	1274
PA4619	344	474	90	965	1298	1445
PA4620	75	79	27	229	588	545
PA4621	382	542	163	2055	2818	3863
PA4622	191	169	93	261	442	399
PA4623	154	70	25	91	96	112
PA4624	1365	1137	318	568	742	857
PA4625	2797	2041	605	1613	2354	2713
PA4626	914	487	251	632	721	655
PA4627	906	651	390	514	969	827
PA4628	1366	986	414	2138	2214	1779
PA4629	213	156	77	440	449	466
PA4630	754	359	168	369	374	345
PA4631	1347	909	420	1754	3169	3531
PA4632	799	777	377	3684	4245	5171
PA4633	1119	731	283	1016	1097	1347
PA4634	675	542	271	159	325	428
PA4635	194	158	45	37	90	107
PA4635a	323	271	116	103	122	191
PA4636a	145	111	55	32	39	63
PA4636	1512	1052	481	2544	2756	1998
PA4637	1674	703	364	344	938	1105
PA4637a	30602	18637	20605	612	283	349
PA4639	3548	3321	1550	6003	6213	5864
PA4640	3061	3171	1254	9528	11001	12413
PA4642	524	416	278	403	434	428
PA4643	1935	1263	728	828	848	1085
PA4644	178	142	61	323	647	554
PA4645	773	692	236	2249	1578	1141
PA4646	1796	1240	818	1664	1901	1702
PA4647	2057	1761	739	2993	3730	3013
PA4648	2300	1285	843	137	91	192
PA4649	523	362	228	38	100	110
PA4650	455	368	185	54	55	95
PA4651	741	750	342	32	48	96
PA4652	597	587	212	121	124	212
PA4653	751	523	157	254	233	397
PA4654	267	216	96	88	81	136
PA4655	2843	2299	703	1915	2187	2278
PA4656	2652	2188	788	631	981	1161
PA4657	5697	3290	1192	1148	1077	1673
PA4658	4362	4198	593	787	547	804
PA4659	814	1416	146	198	252	252
PA4660	1747	2698	560	1068	2086	2041
PA4661	2800	4833	3411	9412	16423	17838
PA4662	840	804	375	914	1678	2034
PA4663	707	758	149	639	1327	1386
PA4664	1109	1221	372	2248	4022	4644
PA4665	1170	1106	365	2976	4128	3825
PA4666	1544	1458	349	1508	2756	2224
PA4667	5013	5042	1718	5251	4567	6189
PA4668	923	1018	331	817	954	1269
PA4669	1647	1481	800	6514	3936	2983
PA4669.1	279	184	156	241	182	92
PA4670	4946	4259	2107	17269	12733	8260
PA4671	11179	8950	2784	99372	90236	75550
PA4672	512	409	145	1123	1674	1491
PA4673	2416	1571	754	5577	8250	6267
PA4673.1	6	2	9	4	1	5
PA4674	476	394	256	466	310	636
PA4675	1110	810	348	2956	3991	3823
PA4676	952	820	174	1336	1428	1320
PA4677	1145	1432	503	522	908	1108
PA4678	290	208	71	272	303	277
PA4679	625	625	368	193	470	518
PA4680	146	166	54	20	43	51
PA4681	341	371	120	101	137	128
PA4682	785	618	205	324	206	227
PA4683	250	228	181	836	778	566
PA4684	1000	840	282	1360	1534	1273
PA4685	1	0	1	6	0	1
PA4686	2465	2390	672	5931	7985	7898
PA4687	3834	2922	1469	4435	3359	3886
PA4688	429	535	199	836	1047	1357
PA4689	2183	2135	663	3588	4560	4559
PA4690	438	418	98	356	482	479
PA4690a	522	414	117	420	406	419
PA4690.1	178	316	150	2043	333	307
PA4690.2	1518279	1491952	675518	276015	12996	51395
PA4690.3	54	27	53	30	64	55
PA4690.4	250	202	258	1221	504	374
PA4690.5	190391	261099	376601	1174695	8982	29316
PA4691	637	616	401	159	248	260
PA4692	1906	1323	723	400	513	668
PA4693	3565	2990	1348	4843	5233	4973
PA4694	4284	5213	1362	20619	18000	15013
PA4695	756	806	197	2536	2097	2014
PA4696	4135	3586	1719	7401	7642	7615
PA4697	985	580	604	1708	1072	1689
PA4698	844	796	487	384	1123	1266
PA4699	1445	1398	1531	547	1513	2404
PA4700	4603	3698	1014	4325	6660	5121
PA4701	6257	5959	2389	6129	7067	8175
PA4702	3687	2539	777	271	261	303
PA4703	2325	1636	914	83	80	166
PA4704	1154	843	402	1006	824	1011
PA4704.1	2456	706	352	59	51	63
PA4704.2	3103	1823	1011	16	19	36
PA4705	908	565	153	450	693	832
PA4706	283	272	29	80	143	154
PA4707	840	615	144	224	294	376
PA4708	2295	1538	416	169	258	465
PA4709	3389	1688	384	65	61	97
PA4710	2738	1365	713	209	184	279
PA4711	293	153	82	291	270	392
PA4712	455	310	151	134	174	232
PA4713	859	858	657	74	154	170
PA4714	9323	3484	1928	1696	1995	2074
PA4715	4112	1722	658	2749	2882	3081
PA4716	1072	1197	474	976	796	1028
PA4717	2167	2008	999	609	897	1060
PA4718	792	566	250	669	603	974
PA4719	959	755	303	1497	1853	1206
PA4720	904	690	330	2040	2717	2881
PA4721	591	869	282	554	1051	1290
PA4722	4773	3423	2320	877	1337	1892
PA4723	6089	3380	3284	13803	14894	13749
PA4724	444	474	219	562	1214	961
PA4724.1	67	50	41	48	23	39
PA4725	2841	2086	845	2961	2483	3196
PA4726	13227	11117	4034	6862	7228	10862
PA4726.1	33	22	15	9	7	5
PA4726.11	3508	5643	9258	2572	323	483
PA4726.2	0	0	0	0	0	0
PA4727	4280	3309	1812	5041	6237	6286
PA4728	509	547	140	619	1032	1032
PA4729	1309	853	502	2051	2434	2543
PA4730	824	747	296	1406	2069	2488
PA4731	528	341	169	1346	1026	1045
PA4732	5046	5372	1310	5745	5541	5901
PA4733	7042	6684	1540	1908	2096	2568
PA4734	1554	1213	637	652	1039	1401
PA4735	8615	7662	2159	7652	6119	6246
PA4736	544	507	405	468	529	672
PA4737	936	1004	386	1296	1330	1229
PA4738	3806	850	926	551	193	189
PA4739	2518	539	748	435	179	126
PA4740	22179	32575	8144	26573	38242	35918
PA4741	3915	4104	1471	10233	8964	7558
PA4742	7683	6311	2302	3639	6454	5540
PA4743	338	391	115	1791	1576	1306
PA4744	24581	23506	6125	42254	64394	67286
PA4745	12701	10843	2969	19306	23986	18570
PA4746	3410	2213	1039	2325	2331	1336
PA4746.1	1432	726	1032	280	615	537
PA4746.2	634	394	1000	397	540	500
PA4747	3640	3212	2829	4858	6213	4335
PA4748	12448	9074	3597	18421	34932	18553
PA4749	6181	6757	1872	9307	15569	11042
PA4750	2640	2944	956	1931	3433	2703
PA4751	53477	43375	11825	25761	28822	28988
PA4752	9519	6201	3343	1288	2094	3082
PA4753	1459	1081	693	1736	1380	1444
PA4754	1130	1272	389	810	1989	2460
PA4755	2045	2212	678	3105	5301	4821
PA4756	13985	16242	4162	16496	24642	24576
PA4757	1581	1927	884	1051	1546	1536
PA4758	7936	7289	2398	6740	8845	6896
PA4758.1	5	7	10	1	2	3
PA4759	4801	4381	1588	1551	7844	5323
PA4760	10155	8754	2496	2581	11226	7940
PA4761	172533	137382	31266	26499	80218	56494
PA4762	23893	19404	9088	4923	11327	12215
PA4763	3483	1960	580	1517	1662	2143
PA4764	9249	8967	2606	3611	5524	4723
PA4765	3211	2919	948	6876	2378	2407
PA4766	496	337	129	200	447	438
PA4767	2037	1315	567	905	1469	1540
PA4768	757	859	142	1182	1829	792
PA4769	1425	1304	753	1351	2318	1895
PA4770	1150	1089	250	677	1798	1195
PA4771	260	299	109	325	894	631
PA4772	522	493	138	589	1607	916
PA4773	188	128	46	1109	1216	1264
PA4774	381	180	70	1321	1960	2450
PA4775	382	328	97	317	624	890
PA4776	394	371	39	443	524	647
PA4777	353	262	146	436	673	720
PA4778	4285	4232	1310	2762	1530	1653
PA4779	398	395	117	175	349	342
PA4780	1732	1018	440	726	1354	945
PA4781	2589	2181	949	330	507	658
PA4782	145	71	41	207	469	517
PA4783	187	149	49	286	422	777
PA4784	256	198	125	323	430	382
PA4785	1858	2044	621	340	399	535
PA4786	1299	1583	626	198	277	527
PA4787	2615	2868	1606	2000	2272	3896
PA4788	653	569	291	89	91	73
PA4789	206	148	59	164	167	122
PA4790	257	253	88	137	302	271
PA4791	436	463	188	129	207	330
PA4792	731	890	365	285	298	577
PA4793	2322	2150	854	2906	1316	2171
PA4794	376	392	202	221	252	385
PA4795	74	131	41	79	62	253
PA4796	536	529	250	180	409	461
PA4797	462	369	142	243	313	309
PA4798	2515	1919	1581	1197	1025	1275
PA4799	459	370	226	149	181	275
PA4800	175	177	93	158	226	215
PA4801	451	362	58	474	623	513
PA4802	266	171	149	271	352	338
PA4802.1	61	36	35	61	38	62
PA4803	1589	1391	490	931	642	952
PA4804	646	507	145	308	317	461
PA4805	215	235	79	121	138	233
PA4806	283	210	106	177	174	358
PA4807	752	900	235	462	968	1350
PA4808	821	981	248	1156	1411	1718
PA4809	700	819	311	470	1028	980
PA4810	1205	1772	360	553	1877	1596
PA4811	2685	4627	1287	4474	6253	5294
PA4812	10422	14511	4489	15531	24873	22288
PA4813	141	177	37	54	70	123
PA4814	107	121	54	40	53	92
PA4815	324	219	77	150	279	275
PA4816	546	333	109	338	437	531
PA4817	74	31	32	121	133	55
PA4818	62	72	20	24	37	72
PA4819	28	16	27	12	18	39
PA4820	50	41	12	84	32	79
PA4821	335	310	115	206	322	512
PA4822	238	173	50	146	243	293
PA4823	1	2	0	2	10	4
PA4824	9	22	8	19	38	41
PA4825	362	220	64	466	330	472
PA4826	421	102	74	416	317	196
PA4827	608	628	180	301	436	581
PA4828	277	291	147	94	88	134
PA4829	1294	1157	700	328	333	601
PA4830	151	78	51	48	148	195
PA4831	301	320	147	482	543	665
PA4832	118	90	43	136	249	297
PA4833	1299	972	358	314	450	535
PA4834	231	187	63	80	108	148
PA4835	185	164	57	104	102	207
PA4836	128	73	20	57	77	69
PA4837	403	244	190	184	166	209
PA4838	243	246	82	290	341	384
PA4839	2296	2231	776	2724	4092	4384
PA4840	486	308	174	246	649	575
PA4841	1476	1335	561	451	840	1163
PA4842	9968	8333	3012	4778	5642	6834
PA4843	387	251	120	2105	1343	2359
PA4844	123	134	52	92	144	159
PA4845	1507	1374	630	1076	1689	1578
PA4846	1389	960	393	2352	1684	1201
PA4847	590	631	460	2267	2454	2292
PA4848	7004	9871	4089	22184	38521	33472
PA4849	194	122	75	160	338	237
PA4850	2247	2155	747	3087	2949	2888
PA4851	2054	1802	584	2052	2455	2285
PA4852	4934	3412	1170	4988	7863	6277
PA4853	582	387	114	1883	1550	1419
PA4854	2080	1538	483	6769	8129	9202
PA4855	948	905	366	3838	5522	5630
PA4856	1527	1339	307	3143	3183	3585
PA4857	212	203	57	122	163	131
PA4858	273	203	103	105	140	178
PA4859	75	51	24	43	61	67
PA4860	46	35	12	22	29	44
PA4861	57	57	20	82	73	93
PA4862	106	74	28	53	65	102
PA4863	420	277	111	257	306	340
PA4864	59	126	46	54	82	221
PA4865	70	76	23	106	101	111
PA4866	136	121	74	126	133	191
PA4867	155	178	109	117	154	162
PA4868	1402	1417	569	1187	1253	1335
PA4869	2269	996	573	788	1077	909
PA4870	1604	716	162	425	212	299
PA4871	281	281	95	191	397	622
PA4872	1397	1551	449	1697	1896	2035
PA4873	1141	1238	631	421	800	795
PA4874	6940	5570	3151	1317	1410	1699
PA4876	3722	3362	1039	1268	843	923
PA4877	1708	2123	621	173	109	190
PA4878	1004	704	305	568	521	642
PA4879	2655	2319	616	1034	1084	1298
PA4880	2370	2207	2103	1752	573	980
PA4881	95	61	19	96	85	99
PA4882	153	120	31	82	100	97
PA4883	29	17	6	10	11	23
PA4884	93	86	26	29	38	50
PA4885	271	327	56	431	300	360
PA4886	267	288	71	299	601	580
PA4887	397	526	159	476	1428	662
PA4888	504	1056	379	1417	3676	1717
PA4889	586	1327	428	575	3014	1685
PA4890	988	860	439	518	1201	965
PA4891	34	41	16	28	57	73
PA4892	49	22	8	34	30	43
PA4893	130	66	33	142	112	133
PA4894	104	46	33	74	71	187
PA4895	227	120	36	14	31	53
PA4896	1161	317	82	18	37	24
PA4897	1250	624	318	265	317	350
PA4898	254	110	42	62	56	83
PA4899	2857	2705	500	185	231	329
PA4900	1261	904	559	50	70	117
PA4901	342	269	84	64	105	152
PA4902	352	274	45	150	180	191
PA4903	313	221	102	26	61	76
PA4904	287	206	51	105	100	146
PA4905	151	139	39	44	64	73
PA4906	549	550	218	354	576	705
PA4907	1249	1433	546	1977	1528	2152
