Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA3485	213	161	50	330	502	604
PA3486	859	659	469	873	822	1053
PA3487	757	590	296	999	1109	1575
PA3488	531	390	289	333	105	225
PA3489	312	237	131	307	259	270
PA3490	151	109	67	146	286	250
PA3491	732	566	245	1036	1484	1720
PA3492	207	216	201	294	438	558
PA3493	137	168	41	226	314	401
PA3494	245	233	80	241	273	357
PA3495	322	260	211	584	378	461
PA3496	140	272	115	555	217	313
PA3497	169	177	67	149	176	248
PA3498	276	293	93	144	203	251
PA3499	29	73	33	27	39	63
PA3500	136	196	86	179	199	224
PA3501	3	12	5	10	11	29
PA3502	80	80	23	76	86	88
PA3504	366	304	152	160	250	375
PA3505	77	87	21	34	53	87
PA3506	207	208	83	189	208	319
PA3507	59	68	38	39	57	81
PA3508	116	168	61	75	115	172
PA3509	52	85	47	64	99	165
PA3510	110	126	59	298	132	161
PA3511	58	92	30	50	49	76
PA3512	169	177	54	117	85	152
PA3513	160	175	34	85	144	146
PA3514	185	229	58	66	82	117
PA3515	471	346	130	187	245	289
PA3516	162	100	32	93	99	114
PA3517	280	210	143	44	54	76
PA3518	141	114	55	55	45	67
PA3519	291	170	103	35	28	51
PA3520	940	626	711	19	15	9
PA3521	94	70	33	32	46	66
PA3522	319	252	135	240	248	350
PA3523	117	56	23	42	65	79
PA3524	2188	2005	620	7202	4364	4146
PA3525	8278	7492	3156	9579	11844	10260
PA3526	309	282	124	234	448	467
PA3527	4484	3252	1725	5261	5184	4650
PA3528	2702	2557	890	2681	3450	3373
PA3529	13203	10500	3048	40259	30732	32118
PA3530	5133	2927	900	87	38	61
PA3531	1978	3085	574	30181	13504	10143
PA3532	398	490	235	2423	4045	1966
PA3533	7676	6174	2656	7012	3029	3766
PA3534	636	831	192	283	317	387
PA3535	3511	5864	1715	1416	1805	2592
PA3536	1265	1239	582	669	1160	1196
PA3537	1522	929	673	1508	1445	1507
PA3538	2173	1533	687	2053	2395	2445
PA3539	1089	785	549	1677	1232	1451
PA3540	4645	7163	557	164	108	140
PA3541	978	949	136	100	96	184
PA3542	570	533	104	54	60	115
PA3543	393	384	136	54	63	72
PA3544	651	900	133	40	75	86
PA3545	1542	1761	479	820	794	1199
PA3546	399	522	119	23	37	49
PA3547	487	716	213	44	61	99
PA3548	540	801	237	145	120	136
PA3549	334	711	88	23	37	33
PA3550	907	1669	321	73	98	153
PA3551	3535	6336	720	115	134	200
PA3552	352	191	89	747	839	1017
PA3553	196	120	57	632	720	851
PA3554	388	365	82	1593	1788	2035
PA3555	40	51	23	58	113	168
PA3556	116	106	43	346	464	464
PA3557	18	18	2	65	131	125
PA3558	9	5	7	50	59	61
PA3559	252	208	112	1241	1349	1545
PA3560	175	288	51	879	1528	1816
PA3561	146	187	60	744	1166	1926
PA3562	326	419	119	1910	2844	5407
PA3563	1622	1318	857	1162	1736	2043
PA3564	438	517	126	208	497	572
PA3565	293	289	93	166	272	363
PA3566	1571	684	810	1866	1043	1398
PA3567	2119	1802	905	1375	1425	1889
PA3568	1785	3877	997	278	314	483
PA3569	860	1389	586	54	56	97
PA3570	3650	4564	1641	315	244	410
PA3571	312	224	98	389	340	589
PA3572	254	229	308	2267	283	974
PA3573	962	559	280	562	906	1603
PA3574	631	395	294	591	492	521
PA3574a	92	48	36	103	77	85
PA3575	747	382	115	892	750	826
PA3576	3102	2127	1812	865	1244	1913
PA3577	252	118	61	32	31	71
PA3578	4443	2742	1050	623	967	1304
PA3579	613	453	163	478	2866	1730
PA3580	465	249	135	373	1315	959
PA3581	889	672	639	1129	3689	3777
PA3582	2092	2459	1093	1678	9603	8854
PA3583	1275	911	505	1855	2942	2371
PA3584	3869	2484	1224	1510	7009	5566
PA3585	93	50	34	93	137	111
PA3586	155	116	26	88	169	151
PA3587	1278	1092	233	765	606	744
PA3588	309	150	80	151	174	187
PA3589	55	63	5	28	33	41
PA3590	263	221	69	116	130	174
PA3591	9	13	11	7	12	21
PA3592	66	43	39	31	36	46
PA3593	188	181	66	72	111	108
PA3594	318	244	91	329	286	446
PA3595	245	169	71	156	182	141
PA3596	255	204	130	89	81	143
PA3597	412	348	123	312	236	354
PA3598	544	471	245	236	251	364
PA3599	1092	723	326	265	374	471
PA3600	95	27	9	5	5	9
PA3601	1610	283	161	159	57	88
PA3602	1317	1548	523	2834	2296	2625
PA3603	686	493	135	618	742	461
PA3604	975	697	470	1121	1349	1151
PA3605	608	528	113	718	760	777
PA3606	367	319	149	442	668	772
PA3607	565	639	219	250	374	282
PA3608	120	109	43	229	303	262
PA3609	42	42	8	197	183	193
PA3610	157	105	43	422	543	557
PA3611	1068	943	908	2231	941	1068
PA3612	636	484	270	720	745	706
PA3613	2874	2302	1037	10027	14051	20077
PA3614	3083	3334	1074	9371	6025	10173
PA3615	2581	2473	1169	2578	2324	3139
PA3616	615	594	289	277	569	622
PA3617	25993	8890	3396	9033	16412	12706
PA3618	1498	1485	526	639	839	1227
PA3619	1651	1235	864	453	465	776
PA3620	4093	3818	1275	5066	6302	6887
PA3621	815	576	710	4351	2306	3259
PA3621.1	1858	2584	715	3066	439	761
PA3622	79929	89774	32134	9758	5183	8891
PA3623	39149	34673	28841	5885	3715	5674
PA3624	3297	3250	2029	4326	4601	4960
PA3625	1804	1690	559	2949	3040	2822
PA3626	1872	2173	613	1302	2185	2592
PA3627	1434	2011	498	1041	1094	997
PA3628	4067	8716	2968	729	1203	1457
PA3629	11531	15352	5589	5154	5241	5469
PA3630	506	230	114	189	248	377
PA3631	875	808	321	1638	1820	1670
PA3632	486	286	141	732	911	897
PA3633	465	541	172	670	1394	1602
PA3634	479	725	244	745	596	740
PA3635	11106	12708	4449	17270	26941	23365
PA3636	3803	4264	1937	5059	6683	7124
PA3637	11056	11219	2767	11118	14423	10100
PA3638	518	745	221	367	1046	1142
PA3639	4643	4390	1657	7302	9575	7403
PA3640	9579	9668	2689	14081	16443	17041
PA3641	1275	993	439	7349	12644	9979
PA3642	546	528	269	1223	2571	2518
PA3643	1001	1000	450	2150	5256	4705
PA3644	3314	2916	1161	9603	13174	8839
PA3645	1184	1279	792	2713	3233	2593
PA3646	5011	5988	1786	9420	13954	15103
PA3647	2026	2819	773	5903	4912	4932
PA3648	8919	7735	3013	23077	18197	15895
PA3649	4634	4722	2955	2163	3538	4684
PA3650	1707	2190	574	2566	4008	4192
PA3651	788	838	346	713	2111	2321
PA3652	1573	1526	608	2468	5058	5133
PA3653	3520	2974	1655	8638	12637	12259
PA3654	1297	1382	552	3259	4008	4212
PA3655	7860	6712	2334	41087	49487	39283
PA3656	18029	14354	4608	95651	108363	81817
PA3657	7611	5348	2055	8287	5062	4364
PA3658	3150	2445	1243	2860	2622	2730
PA3659	1452	1393	676	1425	1801	1943
PA3660	794	850	306	1822	1621	2276
PA3661	104	69	26	215	181	164
PA3662	369	220	169	1399	726	1286
PA3663	468	289	133	290	536	633
PA3664	619	465	136	596	528	544
PA3665	437	604	253	134	373	600
PA3666	2364	2573	863	5939	6735	5462
PA3667	2196	2196	666	985	1666	1530
PA3668	281	361	58	101	184	167
PA3669	617	529	127	246	493	546
