Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0183	279	520	184	488	571	527
PA0184	47	76	36	140	177	202
PA0185	70	110	35	93	113	122
PA0186	131	207	137	253	296	245
PA0187	527	1076	411	63	71	43
PA0188	439	830	305	63	74	69
PA0189	217	445	85	132	200	179
PA0190	149	150	57	160	145	161
PA0191	66	78	29	267	347	369
PA0192	125	200	73	283	301	250
PA0193	29	49	15	155	149	135
PA0194	43	89	24	137	153	150
PA0195	879	1237	540	634	678	615
PA0195.1	102	99	55	57	88	84
PA0196	327	495	197	407	329	323
PA0197	47	87	42	94	121	96
PA0198	136	216	75	220	333	265
PA0199	499	486	270	1724	2024	973
PA0200	894	312	371	4012	2966	2269
PA0201	313	340	146	2005	1928	1159
PA0202	299	289	91	970	1516	964
PA0203	78	91	32	111	251	183
PA0204	94	138	39	138	171	139
PA0205	188	175	53	295	316	309
PA0206	215	271	83	291	284	251
PA0207	567	720	379	657	772	667
PA0208	2385	10260	3613	637	804	925
PA0209	236	1482	302	26	27	62
PA0210	147	483	137	6	13	8
PA0211	759	4009	1187	58	63	82
PA0212	843	4016	952	40	62	46
PA0213	77	322	131	8	23	11
PA0214	583	1659	256	94	99	110
PA0215	193	642	324	41	48	66
PA0216	614	1838	1218	200	284	259
PA0217	480	972	337	432	469	448
PA0218	486	612	231	732	712	551
PA0219	47	147	34	100	105	109
PA0220	249	297	103	266	255	283
PA0221	73	161	40	208	183	245
PA0222	94	123	44	93	88	95
PA0223	169	203	85	368	390	416
PA0224	231	312	103	387	366	391
PA0225	317	223	185	488	521	469
PA0226	1966	10270	2076	301	367	323
PA0227	1852	6317	1010	104	143	124
PA0228	2345	8766	1459	255	308	264
PA0229	694	2082	447	244	207	231
PA0230	661	1420	195	337	337	409
PA0231	615	1173	355	298	364	329
PA0232	505	689	123	248	165	232
PA0233	523	873	151	735	712	609
PA0234	172	209	145	232	251	253
PA0235	733	1483	462	124	169	171
PA0236	190	262	122	376	486	709
PA0237	44	76	46	76	111	131
PA0238	79	135	14	85	89	75
PA0239	91	152	40	382	321	278
PA0240	213	368	117	255	307	323
PA0241	147	201	72	88	100	107
PA0242	226	644	86	245	290	250
PA0243	482	571	203	725	808	795
PA0244	82	198	46	78	141	142
PA0245	266	508	137	155	189	181
PA0246	384	747	229	803	1036	984
PA0247	222	497	156	238	259	316
PA0248	273	341	162	826	791	749
PA0249	245	489	180	265	380	365
PA0250	1081	968	576	885	655	602
PA0251	79	157	47	163	131	148
PA0252	48	71	44	119	145	151
PA0253	232	268	105	349	504	530
PA0254	204	347	87	625	656	728
PA0255	266	492	203	654	624	793
PA0256	1391	1781	687	500	430	405
PA0257	165	188	105	446	200	108
PA0258	78	81	88	247	132	147
PA0259	1470	1758	980	2381	2574	2044
PA0260	1192	1407	802	3572	3763	2790
PA0261	72	90	53	165	189	203
PA0262	799	969	349	1617	1563	1638
PA0263	299	244	143	183	149	148
PA0263.1	71	48	44	63	41	22
PA0265	8528	9143	2759	5335	9035	7624
PA0266	11962	12637	3099	8524	16031	12296
PA0267	672	955	270	1118	1766	1724
PA0268	181	227	65	287	414	463
PA0269	587	856	351	821	716	535
PA0270	209	391	156	220	229	222
PA0271	116	176	63	123	130	158
PA0272	468	575	158	671	686	630
PA0273	46	47	19	58	70	67
PA0274	190	327	164	83	102	104
PA0275	420	689	323	811	836	495
PA0276	72	139	48	109	162	149
PA0277	131	144	51	1562	2542	3039
PA0278	83	83	46	118	114	136
PA0279	93	174	36	101	177	174
PA0280	163	199	129	1311	1804	1790
PA0281	205	276	119	1215	1326	1369
PA0282	182	186	102	868	1198	1102
PA0283	542	414	306	2269	2647	3143
PA0284	323	310	149	1135	982	1303
PA0285	1042	1541	388	2659	3360	2824
PA0286	28380	22178	9387	12054	11122	9408
PA0287	68	145	52	58	100	85
PA0288	185	237	57	143	211	217
PA0289	392	525	154	664	706	657
PA0290	1695	2529	678	783	766	660
PA0291	2491	2877	859	11474	15482	12865
PA0292	2079	2585	684	4006	4744	4654
PA0293	223	212	109	952	1152	1088
PA0294	460	556	187	972	1095	716
PA0295	856	834	346	5283	3506	2020
PA0296	9854	15682	5620	11487	11574	8384
PA0297	2708	3406	1334	2241	1914	1595
PA0298	4717	7281	2560	3347	4036	3420
PA0299	7776	12420	4350	5332	8125	7525
PA0300	5892	6052	2542	6513	5666	6517
PA0301	2188	2138	961	3390	3363	3999
PA0302	2183	2113	648	3228	3821	4110
PA0303	1629	1915	691	2560	2528	2840
PA0304	1851	2516	962	3206	3480	3794
PA0305	791	1002	333	1647	1822	1670
PA0306	561	953	275	1111	1083	793
