Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA2922	38	95	21	71	80	84
PA2923	22	35	10	22	32	49
PA2924	36	45	25	21	37	30
PA2925	52	113	39	79	69	43
PA2926	56	90	38	91	99	120
PA2927	558	998	269	436	504	510
PA2928	280	464	130	400	585	694
PA2929	102	208	54	123	129	174
PA2930	678	1205	445	1361	1689	1090
PA2931	829	1575	479	479	519	368
PA2932	840	1395	190	123	195	229
PA2933	130	199	28	64	71	69
PA2934	125	199	74	131	172	148
PA2935	23	15	9	9	6	4
PA2936	107	149	47	92	80	60
PA2937	948	1239	280	75	47	44
PA2938	751	1102	459	166	211	211
PA2939	11998	12200	4735	199	216	214
PA2940	356	601	173	320	328	328
PA2941	182	436	42	171	340	324
PA2942	1192	1558	464	1116	1791	1476
PA2942.1	141	164	34	323	69	67
PA2943	954	1155	332	2247	2150	2010
PA2944	839	1496	405	1956	2751	3073
PA2945	1627	2700	499	2226	2747	3154
PA2946	1818	2464	709	1832	1917	1892
PA2947	161	209	54	383	354	362
PA2948	171	351	136	589	508	496
PA2949	601	830	387	379	473	547
PA2950	2807	3543	1452	7898	12982	12227
PA2951	9821	10410	3466	22017	28910	29810
PA2952	5120	5434	2362	13532	14338	17253
PA2953	3935	4573	2406	5718	8363	8144
PA2954	1382	1513	580	960	1214	1086
PA2955	1139	1322	685	760	1073	1055
PA2956	422	449	225	533	979	1015
PA2957	1631	1371	888	1476	1773	2257
PA2958	520	1041	387	778	831	847
PA2958.1	2001	2763	3163	225	250	225
PA2959	1035	1833	484	1875	2600	2643
PA2960	597	433	291	842	810	752
PA2961	1193	1674	538	1546	2897	2164
PA2962	539	1020	367	783	1647	1294
PA2963	1372	2004	693	1684	2326	1803
PA2964	982	1657	525	1846	4852	4264
PA2965	4954	5726	2976	10186	18655	15555
PA2966	10623	5102	16687	30261	17086	12829
PA2967	2898	5163	2294	15577	28554	23906
PA2968	1870	2606	848	4830	13638	12437
PA2969	1254	1484	932	3405	7053	4801
PA2970	618	798	770	1740	1665	1265
PA2971	13690	11039	4745	17685	21084	16963
PA2972	307	435	193	710	826	804
PA2973	2931	3534	2451	5179	7626	6398
PA2974	1166	1888	925	1243	2793	2190
PA2975	1844	2987	1208	3472	4521	3607
PA2976	8235	13554	3754	20510	30262	24594
PA2977	923	1291	563	1480	3144	3103
PA2978	460	811	217	1073	1696	1548
PA2979	883	1656	386	1327	2201	1869
PA2980	159	330	87	201	261	237
PA2981	527	927	203	931	1618	1418
PA2982	605	645	458	1030	1526	1577
PA2983	523	696	505	658	911	1050
PA2984	454	750	398	294	385	409
PA2985	1073	1308	595	734	466	382
PA2986	686	955	381	1312	1766	1546
PA2987	672	1061	318	901	1142	1195
PA2988	1132	1833	774	1962	2562	2244
PA2989	567	751	293	596	471	331
PA2990	1897	2505	938	2295	2870	2673
PA2991	2136	2955	1298	6326	8579	9185
PA2992	338	365	207	891	1071	864
PA2993	1113	1299	611	2729	4225	3925
PA2994	1216	1305	762	2345	4518	4228
PA2995	567	643	275	1474	2100	2008
PA2996	527	699	261	1208	1861	1853
PA2997	914	1103	341	1982	3545	3353
PA2998	1205	1639	749	2479	4578	4509
PA2999	2787	3137	1506	3858	7547	7498
PA3000	692	1005	630	1362	2219	1903
PA3001	9967	13358	6597	23693	30125	32049
PA3002	3617	5312	1852	6616	9247	7909
PA3003	945	1448	349	1317	1543	1308
PA3004	1529	1788	640	2619	3562	3867
PA3005	1552	2307	735	1616	2941	3044
PA3006	1914	2769	1748	2469	3357	3327
PA3007	2296	2384	527	3353	3675	3901
PA3008	990	1340	361	997	1394	1244
PA3009	910	862	731	637	523	549
PA3010	2670	3424	1229	2042	3082	2713
PA3011	9414	10275	4639	11627	19317	19045
PA3012	1027	816	711	488	490	391
PA3013	5155	5251	2034	4519	6061	5089
PA3014	6344	5013	3481	5184	7692	7303
PA3015	410	477	160	696	490	578
PA3016	146	211	69	220	286	212
PA3017	1851	2014	677	1768	1526	1364
PA3018	335	457	144	2542	2926	2348
PA3019	1455	1486	583	2908	5573	6160
PA3020	2172	3143	875	2648	2127	1852
PA3021	1194	1010	442	3033	2245	1926
PA3022	2032	3175	1151	1516	2166	2071
PA3023	901	1295	744	263	265	304
PA3024	290	429	145	388	554	439
PA3025	214	340	83	212	325	281
PA3026	347	521	277	396	502	542
PA3027	495	682	183	1038	1000	1134
PA3028	901	1927	463	1807	2723	2756
PA3029	923	1435	569	1512	1632	1568
PA3030	312	381	246	330	339	300
PA3031	7167	12464	11779	7401	3900	3181
PA3031.1	12	29	19	2	1	1
PA3032	1965	2731	817	139	190	187
PA3033	255	497	188	384	398	289
PA3034	470	803	265	814	671	581
PA3035	176	219	139	181	222	189
PA3036	97	135	46	70	108	121
PA3037	179	313	89	186	188	196
PA3038	2668	9576	1991	2094	1758	2413
PA3039	143	194	83	222	186	167
PA3040	2541	2442	1738	1294	936	924
PA3041	1789	3062	1097	484	663	536
PA3042	560	869	407	203	232	207
PA3043	1261	1750	651	1716	1304	1060
PA3044	255	462	104	236	329	252
PA3045	34	29	41	51	37	34
PA3046	584	889	708	2269	2630	3276
PA3047	1605	1891	811	3269	2972	2146
PA3048	1253	1566	703	1890	4226	3785
PA3049	109892	121879	29375	734	664	606
PA3050	2640	3409	1367	2314	3568	3455
PA3051	364	445	170	490	340	314
PA3052	2510	3759	1259	3059	2669	1565
PA3053	948	1418	461	879	760	658
PA3054	878	1053	455	2135	2160	1458
PA3055	618	780	392	1618	1887	1749
PA3056	436	517	187	432	409	519
PA3057	29	46	72	88	66	74
PA3058	119	140	47	212	224	197
PA3059	129	233	78	131	181	218
PA3060	71	104	29	84	112	100
PA3061	60	75	24	96	149	133
PA3062	13	24	8	13	27	18
PA3063	97	207	88	180	281	218
PA3064	185	273	92	232	355	322
PA3065	75	134	49	83	126	112
PA3066	208	377	142	261	303	274
PA3067	198	266	187	153	257	227
PA3068	11534	15052	4308	18837	24606	26500
PA3069	676	1233	305	805	861	593
PA3070	1519	1915	701	3275	3047	2345
PA3071	418	630	128	768	876	773
PA3072	35	84	12	34	36	45
PA3073	148	311	64	319	345	374
PA3074	411	740	177	631	780	652
PA3075	426	688	159	895	760	668
PA3076	506	779	226	461	539	447
PA3077	159	255	113	299	324	291
PA3078	482	661	241	735	783	571
PA3079	4544	7447	2622	1614	1445	1460
PA3080	3194	5556	2935	1022	1010	1035
PA3081	250	371	131	1272	1946	1693
PA3082	413	417	202	2579	3925	3784
PA3083	4815	7653	2619	5927	8443	7188
PA3084	914	1339	372	1599	1733	1314
PA3085	369	402	254	513	413	374
PA3086	445	844	317	726	1032	1014
PA3087	444	807	233	799	968	900
PA3088	609	848	384	1527	1552	1303
PA3089	533	721	213	164	145	133
PA3089a	177	258	74	135	217	235
PA3091	1039	1215	348	934	797	831
PA3092	413	514	180	975	923	1015
PA3093	1579	2069	735	2514	2852	2784
PA3094	2776	2145	862	1268	1344	1284
PA3094.1	1692	1056	391	1433	1332	1052
PA3094.2	2000	1104	411	4761	1684	2226
PA3094.3	325	191	860	59	42	73
PA3095	449	664	304	270	384	354
PA3096	1262	2332	965	685	1320	1161
PA3097	692	992	302	635	761	701
PA3098	436	766	241	411	538	618
PA3099	337	464	155	202	293	263
PA3100	506	1189	386	439	694	678
PA3101	1598	1657	641	1596	1164	1380
PA3102	1079	2121	717	593	1139	893
PA3103	3386	4899	1827	2416	2675	2601
PA3104	4105	5262	3309	1582	1766	1385
PA3105	4465	6468	2475	4759	4115	3523
PA3106	899	1761	518	1969	3374	2984
PA3107	1868	2721	936	3726	6301	5627
PA3108	2552	4140	1458	6489	9682	8477
PA3109	575	869	424	608	955	762
PA3110	1006	1217	666	1581	2352	1884
PA3111	2169	3711	1143	4546	8378	7315
PA3112	2160	3444	1495	5961	10774	9995
PA3113	3584	5486	1737	3245	5168	4328
PA3114	332	526	201	1299	1792	1724
PA3115	5756	8061	3279	17630	21584	19624
PA3116	946	1040	360	2055	3343	2981
PA3117	2879	3798	1452	4339	6651	6384
PA3118	1640	2410	778	1357	1489	1562
PA3119	983	1512	479	456	773	587
PA3120	1465	3075	681	759	907	812
PA3121	3147	7210	1800	1935	2394	1972
PA3122	1520	1605	705	1100	1252	1038
PA3123	2377	2640	1243	1279	1227	1257
PA3124	445	490	309	912	775	817
PA3125	1240	2063	665	890	867	916
PA3126	32138	58079	23295	30897	13830	12009
PA3127	523	763	275	707	723	636
PA3128	304	445	90	443	459	426
PA3129	377	439	282	830	1868	1954
PA3130	142	301	81	404	777	844
PA3131	496	710	230	710	1182	1378
PA3132	161	187	127	216	322	328
PA3133	112	149	90	143	222	226
PA3133.1	7	0	2	3	4	6
PA3133.2	33	26	105	64	68	92
PA3133.3	510	186	142	670	529	709
PA3133.4	49	50	150	49	77	98
PA3134	2338	2990	1008	6189	10284	10595
PA3135	375	537	168	412	445	461
PA3136	85	103	37	101	154	165
PA3137	283	459	209	286	408	358
PA3138	2281	3463	1257	3196	3639	3208
PA3139	3882	5660	1900	6859	11076	10987
PA3139.1	8	17	31	4	13	5
PA3140	182	201	177	245	240	224
PA3141	9301	10512	12302	11947	13603	13031
PA3142	940	1441	426	550	444	380
PA3143	309	301	415	780	685	620
PA3145	1474	1803	3895	3516	3466	2425
PA3146	692	1111	1635	2898	3001	2080
PA3147	1045	1195	1661	3230	2661	1945
PA3148	452	489	1192	2035	1250	846
PA3149	447	207	1861	1131	394	430
PA3150	1709	554	3363	2656	1105	1118
PA3151	1035	616	2618	2463	1312	992
PA3152	312	129	702	1517	358	186
PA3153	635	381	2187	1201	884	542
PA3154	750	378	2287	918	673	517
PA3155	1141	1376	1941	5273	2972	2110
PA3156	956	792	1436	2619	2174	1989
PA3157	2703	2474	2392	3252	3043	2385
PA3158	1071	1234	1438	3804	2163	1565
PA3159	8709	8941	14001	18758	15827	12141
PA3160	3400	3058	15813	3009	1866	1596
PA3161	1705	2141	2609	2316	1750	1587
PA3162	43394	42413	27182	90106	157700	146541
PA3163	2168	2684	1280	1854	4446	3916
PA3165	2710	3479	1210	4986	7830	7108
PA3166	2665	3174	1395	4742	6234	5699
PA3167	2794	3428	1588	4793	6623	6687
PA3168	13902	18598	7516	21295	35883	32761
PA3169	1497	1707	477	2090	2978	2871
PA3170	2718	3772	1331	2194	2853	2524
PA3171	2476	3463	868	2495	3644	2789
PA3172	1236	1878	573	1424	2169	1974
PA3173	1536	2103	695	1688	2188	1757
PA3174	159	246	109	90	122	81
PA3175	166	297	163	120	164	118
PA3176	81	119	52	117	110	122
PA3177	1611	3059	884	2101	2292	1619
PA3178	487	741	257	531	615	643
PA3179	2868	2580	973	1717	5980	4975
PA3180	1109	1435	442	477	649	591
PA3181	1959	2257	608	6453	8860	7576
PA3182	623	786	120	3132	4595	4557
PA3183	3493	4650	1992	21915	28339	25713
PA3184	1077	1201	473	1734	2048	1948
PA3185	2054	3638	1005	3256	3649	3567
PA3186	2212	4391	1873	5423	2042	5456
PA3187	975	2295	837	4810	1638	4002
PA3188	353	774	371	1542	409	903
PA3189	423	1143	380	1745	611	1452
PA3190	2863	5185	2797	12562	4975	10802
PA3191	353	465	131	1690	1705	1691
PA3192	386	671	164	2691	3068	3322
PA3193	869	1559	346	4018	5652	5397
PA3194	2690	3744	1260	16723	21350	19746
PA3195	3236	4353	1399	14512	9671	8811
PA3196	573	699	308	1182	1437	1298
PA3197	1123	1560	669	1113	1664	1331
PA3198	1237	1393	555	970	1492	1298
PA3199	1242	1427	525	1249	1462	1127
PA3200	844	1172	354	594	917	686
PA3201	1028	1841	1272	1816	1667	1353
PA3202	1805	2727	2532	1278	2040	1614
PA3203	942	1624	448	1015	1214	937
PA3204	591	904	248	1114	1312	1231
PA3205	3861	4091	1801	1144	963	569
PA3206	691	1264	324	531	672	552
PA3207	237	480	117	206	349	312
PA3208	615	899	247	608	759	662
PA3209	14	33	18	110	107	155
PA3210	380	617	226	978	923	754
PA3211	1107	1603	397	2281	2298	1921
PA3212	357	582	185	774	953	935
PA3213	776	1008	347	1846	1717	1471
PA3214	508	721	177	648	991	906
PA3215	639	1015	305	960	945	1067
PA3216	459	623	161	186	126	129
PA3217	691	972	310	1012	1206	1025
PA3219	14	34	15	36	36	55
PA3220	893	1241	260	618	610	486
PA3221	1406	2110	1400	917	1032	1014
PA3222	2095	5248	1802	1230	2279	1570
PA3223	332	492	281	312	585	425
PA3224	1597	1373	894	1293	986	796
PA3225	1271	1700	538	2085	2121	1944
PA3226	514	612	195	432	603	530
PA3227	1234	1509	694	3544	3042	2794
PA3228	832	1399	489	2312	2378	2190
PA3229	198	240	52	230	202	195
PA3230	974	1814	598	684	873	834
PA3231	475	1113	471	46	61	44
PA3232	213	1132	163	250	244	267
PA3233	553	3089	515	524	477	712
PA3234	2275	14171	2156	1294	1102	1663
PA3235	1029	2994	2708	466	344	440
PA3236	1456	2475	1567	370	320	442
PA3237	48	59	37	51	64	71
PA3238	1001	1518	1372	1362	1422	1381
PA3239	620	959	309	1085	1072	947
PA3240	382	734	238	531	456	388
PA3241	684	1041	478	964	1472	1344
PA3242	1070	1299	574	1178	1807	1642
PA3243	1822	2368	891	2783	2957	3036
PA3244	4056	3788	1954	8160	8503	9704
PA3245	1320	1423	700	3131	3330	3332
PA3246	339	305	110	1373	1361	1155
PA3247	2877	4233	1242	4821	5539	3618
PA3248	410	650	118	499	611	542
PA3249	468	624	134	180	201	170
PA3250	1673	1999	696	274	276	270
PA3251	340	435	116	90	61	76
PA3252	227	247	132	75	66	90
PA3253	151	271	40	56	45	60
PA3254	287	457	107	250	216	230
PA3255	894	1409	613	1403	1298	1375
PA3256	1544	3172	987	1169	1525	1414
PA3257	10707	15400	5655	18305	11095	9236
PA3258	493	634	222	447	601	642
PA3259	474	881	302	411	569	534
PA3260	1589	1594	383	1135	1089	938
PA3261	2997	3683	1393	879	900	808
PA3262	5033	7956	2958	9223	10646	10842
PA3262.1	1259	823	324	564	645	440
PA3262.2	303	149	885	47	30	43
PA3263	1037	1406	577	4826	5418	4319
PA3264	587	917	258	977	1215	1014
PA3265	305	390	188	338	417	302
PA3266	9496	14891	16593	14707	5493	3255
PA3267	1109	1842	686	2323	3161	2605
PA3268	509	491	153	752	2102	1754
PA3269	440	519	125	605	672	801
PA3270	896	1488	418	1588	2123	2563
PA3271	1298	2952	663	4932	4428	4816
PA3272	2352	4958	1478	1743	2052	2247
PA3273	387	705	367	84	85	80
PA3274	452	910	456	66	63	54
PA3275	507	831	199	30	82	78
PA3276	220	368	185	394	604	674
PA3277	500	842	253	946	1076	568
PA3278	252	265	266	3411	2777	1333
PA3279	120	151	54	101	93	82
PA3280	200	282	123	177	148	148
PA3281	196	466	170	104	200	133
PA3282	112	307	63	42	103	71
PA3283	343	570	294	87	129	153
PA3284	501	738	331	164	237	273
PA3285	1880	2732	683	2140	3562	2961
PA3286	2139	2720	864	3555	5353	5675
PA3287	221	304	56	172	181	145
PA3288	479	848	289	366	528	579
PA3289	885	1058	450	207	223	147
PA3290	1406	1874	1109	1337	1212	1084
PA3291	60	13	83	67	33	42
PA3292	66	40	66	69	68	45
PA3293	72	106	33	134	195	182
PA3294	430	382	132	919	886	851
PA3295	967	1041	469	1220	755	813
PA3296	86	123	40	124	160	136
PA3297	2554	3932	1143	4918	8368	7339
PA3298	122	217	70	67	128	129
PA3299	2837	2631	1248	6182	8177	8729
PA3300	1543	1939	929	1289	1176	1205
PA3301	1585	1850	539	1530	2038	1818
PA3302	1538	1897	482	3132	2891	2100
PA3303	332	505	187	305	370	303
PA3304	178	313	81	319	309	299
PA3303a	3	0	4	0	0	0
PA3304.1	0	0	0	0	0	0
PA3305	611	1015	292	1613	1403	1300
PA3305.1	1986	543	678	13259	7235	11138
PA3306	1297	1939	555	1283	1492	1249
PA3307	847	843	193	209	204	211
PA3308	2452	2674	1082	5603	10920	9230
PA3309	8240	9776	3533	62964	40377	26826
PA3310	1215	1288	664	2534	2856	2235
PA3311	607	983	317	346	387	287
PA3312	242	357	134	347	621	643
PA3313	1033	915	479	2299	3103	4045
PA3314	238	359	75	547	918	989
PA3315	109	282	355	162	300	319
PA3316	343	694	137	196	319	288
PA3317	422	433	103	559	822	747
PA3318	70	56	18	92	88	68
PA3319	268	345	144	258	326	287
PA3320	43	112	62	19	61	52
PA3321	181	272	97	440	602	661
PA3322	284	411	105	535	599	842
PA3323	73	134	37	166	173	159
PA3324	266	412	122	249	263	292
PA3325	902	1500	771	309	394	360
PA3326	11808	13384	8266	2384	2370	2809
PA3327	3809	3121	899	1706	2083	2845
PA3328	324	311	66	200	277	396
PA3329	266	206	86	114	151	225
PA3330	400	332	216	170	283	397
PA3331	434	393	200	252	401	464
PA3332	285	227	140	99	125	200
PA3333	300	326	121	112	177	223
PA3334	218	272	223	86	110	152
PA3335	227	297	226	137	158	188
PA3336	406	520	212	1666	1986	843
PA3337	520	403	154	9896	7241	3297
PA3338	158	244	92	239	152	169
PA3339	824	1189	405	986	1361	1240
PA3340	1473	2277	597	717	1456	1172
PA3341	1184	2512	857	2958	1983	1358
PA3342	302	520	270	457	509	367
PA3343	534	884	385	761	721	557
PA3344	3254	4255	1514	4267	7152	7083
PA3345	527	630	725	512	530	612
PA3346	2397	3743	1325	1219	1158	997
PA3347	1429	1760	502	960	726	428
PA3348	1570	2169	1203	1628	2421	2012
PA3349	4348	4632	2203	2869	4035	3274
PA3350	2150	2203	1282	2650	3282	2642
PA3351	2184	2335	1031	3737	3564	2760
PA3352	1542	1932	624	2479	2968	2071
PA3353	640	919	288	1361	1417	1064
PA3354	712	1376	330	541	578	495
PA3355	796	1396	290	707	844	776
PA3356	3625	5143	1871	3457	5575	4546
PA3357	684	949	210	817	1233	1182
PA3358	53	103	21	103	185	181
PA3359	83	103	40	166	184	171
PA3360	56	155	28	124	129	120
PA3361	4321	5656	1330	99	71	92
PA3362	2509	3845	1702	207	152	156
PA3363	5009	6276	2150	402	301	447
PA3364	7087	9927	3046	643	614	804
PA3365	14328	20873	6391	742	770	1104
PA3366	40308	56389	24442	3759	2716	3583
PA3366.1	264	190	160	66	165	86
PA3367	106	116	65	256	649	343
PA3368.1	21	17	24	6	4	1
PA3368	68	125	32	66	101	89
PA3369	538	221	60	137	77	118
PA3370	352	239	63	102	97	74
PA3371	335	233	96	126	105	109
PA3372	387	429	110	299	385	323
PA3373	378	536	124	177	345	298
PA3374	127	210	32	99	146	147
PA3375	17	22	4	26	36	27
PA3376	33	56	11	39	36	51
PA3377	45	64	23	33	43	61
PA3378	91	126	41	106	103	109
PA3379	12	28	3	30	14	35
PA3380	7	10	3	8	1	10
PA3381	24	42	4	16	26	18
PA3382	38	54	11	42	32	36
PA3383	11	38	9	46	28	27
PA3384	52	83	44	58	55	54
PA3385	2078	6521	3316	6353	2324	1515
PA3386	168	466	104	184	236	141
PA3387	102	168	66	147	193	148
PA3388	373	455	123	165	317	324
PA3390	39	38	11	54	66	69
PA3389	38	60	16	178	112	98
PA3391	4873	5084	2027	1631	1531	689
PA3392	3156	2268	1062	708	534	327
PA3393	856	631	217	225	159	138
PA3394	374	398	111	35	71	79
PA3395	381	365	116	65	116	108
PA3396	506	468	111	129	199	181
PA3397	5135	8765	4257	7952	11412	10013
PA3398	469	661	188	847	1187	1113
PA3399	750	791	854	597	506	444
PA3400	144	250	51	390	453	423
PA3401	133	217	79	428	495	509
PA3402	246	397	179	625	854	798
PA3403	106	109	31	141	221	272
PA3403a	418	878	471	119	90	80
PA3404	198	530	126	79	82	62
PA3405	35	46	29	33	41	39
PA3406	52	42	29	28	41	51
PA3407	374	524	163	202	271	262
PA3408	249	280	117	227	313	360
PA3409	179	159	104	37	60	52
PA3410	673	344	114	132	215	194
PA3411	59	21	7	28	38	54
PA3412	22	39	21	38	28	41
PA3413	586	516	444	708	474	606
PA3414	1042	1265	313	237	405	392
PA3415	1690	2258	707	105	138	147
PA3416	1918	2434	722	30	23	25
PA3417	1961	2495	680	33	32	29
PA3418	3538	4860	989	244	170	127
PA3419	795	1184	219	845	808	704
PA3420	144	222	38	79	102	115
PA3421	153	159	77	92	110	101
PA3422	188	345	169	242	217	253
PA3423	219	330	168	365	406	398
PA3424	494	966	303	203	331	210
PA3425	356	681	423	72	108	99
PA3426	940	1683	447	218	249	279
PA3427	632	967	310	464	367	419
PA3428	38	71	36	31	17	27
PA3429	206	412	92	102	151	89
PA3430	608	915	172	558	382	267
PA3431	59	265	77	552	365	228
PA3432	111	178	97	660	603	209
PA3433	188	307	89	339	435	424
PA3434	279	359	221	359	406	381
PA3435	1320	1728	553	3484	3575	3237
PA3436	136	120	51	290	296	271
PA3437	642	656	169	1451	1185	968
PA3438	451	537	372	1436	1242	956
PA3439	552	618	335	1255	1124	992
PA3440	827	657	285	3058	2171	2008
PA3440a	658	818	232	2043	2457	2136
PA3441	53	93	35	149	215	166
PA3442	62	83	89	191	330	297
PA3443	17	28	13	100	122	131
PA3444	71	97	51	308	345	306
PA3445	244	253	72	1009	982	636
PA3446	271	226	95	1015	1193	980
PA3447	21	43	29	35	44	44
PA3448	31	64	13	34	60	69
PA3449	41	54	10	99	156	120
PA3450	577	350	448	2047	1564	1781
PA3451	1785	1812	1103	65	63	41
PA3452	1987	1707	566	4253	9146	8694
PA3453	780	763	233	1176	1783	1890
PA3454	445	795	189	400	452	422
PA3455	1887	2639	853	1952	1957	1598
PA3456	450	636	277	436	871	896
PA3457	232	353	118	578	525	405
PA3458	529	554	323	4180	3754	1701
PA3459	5869	10089	3216	6704	4728	2722
PA3460	3529	6621	2102	791	934	700
PA3461	1899	3019	931	416	413	350
PA3462	417	625	174	227	263	270
PA3463	92	92	89	187	127	149
PA3464	270	367	91	279	401	455
PA3465	1932	2898	920	4252	3258	1964
PA3466	2337	2499	888	2446	3707	3126
PA3467	310	564	205	170	178	164
PA3468	1943	2220	752	2323	2928	2720
PA3469	554	766	205	669	1089	1027
PA3470	489	662	168	509	893	901
PA3471	4081	4370	1221	6146	6377	5556
PA3472	3923	4459	1518	1478	1493	1260
PA3473	401	447	108	297	518	558
PA3474	167	259	134	220	366	416
PA3475	1048	1599	473	919	1090	957
PA3476	14140	20338	10825	4125	4267	4353
PA3477	10237	15201	7210	4103	4148	3425
PA3478	4755	7024	1990	527	509	478
PA3479	10123	15532	8304	451	532	489
PA3480	1023	1083	581	2221	2324	2661
PA3481	2024	2527	1107	3288	3768	3426
PA3482	8371	10501	3735	11536	13111	11004
PA3483	1119	1604	477	1603	2768	2172
PA3484	699	533	185	1834	2431	1913
PA3485	206	197	32	597	706	636
PA3486	616	778	630	1042	1129	1004
PA3487	638	636	283	1233	1660	1333
PA3488	404	536	485	370	190	157
PA3489	215	318	130	435	351	310
PA3490	148	213	41	155	398	355
PA3491	519	709	236	1360	2043	1802
PA3492	199	315	135	484	638	521
PA3493	131	158	38	328	451	410
PA3494	176	277	69	281	360	255
PA3495	234	207	161	549	539	351
PA3496	128	120	315	279	224	451
PA3497	112	137	77	156	187	213
PA3498	124	368	107	233	306	284
PA3499	33	62	30	28	56	50
PA3500	94	183	47	137	199	192
PA3501	8	17	5	8	7	14
PA3502	47	80	31	57	80	64
PA3504	230	352	76	263	326	299
PA3505	43	104	39	43	107	94
PA3506	130	184	52	149	200	201
PA3507	42	53	6	55	81	66
PA3508	58	106	26	79	121	135
PA3509	33	61	29	67	92	106
PA3510	56	69	27	101	89	113
PA3511	38	61	23	57	43	66
PA3512	76	129	41	89	92	133
PA3513	80	122	59	146	128	138
PA3514	123	156	57	121	133	132
PA3515	260	347	107	396	382	392
PA3516	108	117	36	102	144	150
PA3517	156	256	143	93	77	103
PA3518	119	99	39	63	46	75
PA3519	283	168	111	45	44	39
PA3520	847	711	848	26	11	9
PA3521	67	103	14	62	67	91
PA3522	254	293	134	297	294	330
PA3523	73	92	21	75	93	109
PA3524	1134	1876	758	5767	3860	3541
PA3525	6213	7064	3877	9155	13059	11976
PA3526	222	356	119	276	582	430
PA3527	3304	4209	1559	6515	6631	5549
PA3528	2094	2727	1184	2820	3952	3187
PA3529	4904	9040	3382	42284	28381	23912
PA3530	2178	4296	2300	115	110	214
PA3531	1167	1432	723	21263	10933	5462
PA3532	422	632	297	3541	4425	1889
PA3533	3214	6898	4031	7831	4351	3213
PA3534	432	671	185	376	420	464
PA3535	3476	5754	1633	1813	1997	2029
PA3536	850	1235	548	1039	1437	1340
PA3537	1526	1244	738	2467	3360	2555
PA3538	1667	2075	743	3092	3698	2769
PA3539	854	1002	400	1882	1748	1479
PA3540	2470	2228	882	157	146	191
PA3541	540	582	97	168	190	178
PA3542	326	277	90	74	87	131
PA3543	266	272	75	45	89	78
PA3544	362	459	95	98	141	125
PA3545	858	1199	623	1021	826	764
PA3546	270	260	94	38	58	56
PA3547	348	334	200	71	95	102
PA3548	336	445	202	167	155	123
PA3549	244	322	60	28	45	43
PA3550	425	862	244	102	131	134
PA3551	1395	2558	506	183	234	237
PA3552	224	217	76	1243	1476	1494
PA3553	124	134	38	812	1051	960
PA3554	236	333	141	1744	2437	2037
PA3555	48	57	8	89	188	195
PA3556	108	116	65	469	671	627
PA3557	12	10	2	82	134	126
PA3558	6	5	1	25	59	57
PA3559	181	236	79	1199	1838	1600
PA3560	131	233	65	994	1776	1790
PA3561	104	127	33	1031	1561	1581
PA3562	342	451	99	3010	4243	3960
PA3563	1279	1512	551	1944	2650	2029
PA3564	309	487	121	421	768	595
PA3565	168	268	100	336	386	355
PA3566	1419	981	1268	2120	1303	999
PA3567	2128	2723	963	1918	1977	1629
PA3568	1239	2809	567	316	413	445
PA3569	808	758	231	44	67	57
PA3570	2480	2178	667	287	286	353
PA3571	188	249	73	699	651	525
PA3572	437	130	152	1493	415	364
PA3573	847	1053	320	1551	1469	983
PA3574	436	491	231	782	751	614
PA3574a	54	52	38	81	95	62
PA3575	363	461	78	1077	708	902
PA3576	2665	3293	1108	1684	1737	1261
PA3577	122	138	45	42	81	68
PA3578	2457	4209	1311	1155	1618	1181
PA3579	521	647	302	2235	4030	3434
PA3580	433	473	153	1563	1903	1679
PA3581	1013	1423	836	5637	5549	4214
PA3582	2064	2784	1178	9239	10520	9619
PA3583	1039	1170	520	3268	3268	2919
PA3584	2567	3882	1162	14658	12579	8521
PA3585	112	104	62	180	193	167
PA3586	128	211	76	188	235	236
PA3587	584	1159	357	920	798	692
PA3588	170	263	90	231	330	223
PA3589	23	48	22	39	64	59
PA3590	135	239	81	158	200	184
PA3591	5	21	11	14	27	34
PA3592	36	48	24	40	43	79
PA3593	102	201	37	121	115	151
PA3594	202	272	132	471	409	375
PA3595	173	191	59	163	177	178
PA3596	140	275	112	128	140	144
PA3597	287	319	103	268	261	293
PA3598	346	538	205	366	396	314
PA3599	830	950	367	465	552	466
PA3600	59	28	21	13	16	9
PA3601	646	199	203	153	95	72
PA3602	1067	1299	660	3479	2676	2623
PA3603	413	692	197	733	1144	794
PA3604	880	904	441	1232	1831	1831
PA3605	380	550	137	730	918	1018
PA3606	274	434	147	786	949	902
PA3607	478	341	327	267	662	688
PA3608	92	94	58	230	610	469
PA3609	35	39	17	129	310	256
PA3610	81	118	52	432	1006	740
PA3611	880	1001	729	1970	1286	1080
PA3612	426	665	181	912	970	695
PA3613	2255	2183	670	13414	15093	8538
PA3614	2067	2910	664	8093	5484	3516
PA3615	2023	2382	840	3053	2785	2223
PA3616	466	726	268	410	1078	797
PA3617	12079	11950	3648	13341	19147	17823
PA3618	1189	1770	494	997	1059	1011
PA3619	1331	1456	779	718	713	592
PA3620	3161	4074	1531	6012	8670	7189
PA3621	771	891	554	4739	3171	2359
PA3621.1	4583	585	276	634	361	1052
PA3622	63646	54855	19986	7814	6157	6022
PA3623	25869	36610	28897	6861	4882	4158
PA3624	2489	2935	2645	3959	5261	5165
