Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0411	2355	1829	3431	10728	10274	9448
PA0412	463	625	779	2101	2321	1787
PA0413	2856	7228	6254	17623	24365	18512
PA0414	287	384	722	1604	1371	1101
PA0415	190	431	396	1249	1292	1131
PA0416	52	156	175	541	583	512
PA0417	96	286	251	430	477	366
PA0418	254	505	359	2025	2277	1738
PA0419	185	576	326	2694	3482	3159
PA0420	798	663	1185	6469	5451	6899
PA0421	1838	2167	2353	7923	8453	9022
PA0422	952	2012	1558	6242	7243	5340
PA0423	6734	3031	9578	29191	15371	22627
PA0424	1254	1318	1721	1391	1668	1163
PA0425	2740	1926	3171	5919	6489	6722
PA0426	5570	4740	7529	20872	22609	22390
PA0427	2224	1775	3288	7417	7925	8505
PA0428	3282	4018	6137	19500	32364	25786
PA0429	3210	3123	4377	7461	7364	6512
PA0430	1464	1481	2905	3469	3989	3448
PA0431	1436	1462	2636	2630	3784	3244
PA0432	11715	10138	20616	26769	28666	31875
PA0433	279	1023	777	476	593	378
PA0434	273	705	563	615	723	525
PA0435	86	169	146	190	227	197
PA0436	1396	500	1953	1477	719	806
PA0437	586	709	935	3061	2676	3310
PA0438	159	206	225	1088	1107	1182
PA0439	88	128	186	105	107	128
PA0440	166	281	312	228	263	256
PA0441	355	620	726	420	620	400
PA0442	0	0	4	3	4	2
PA0443	102	232	160	203	232	154
PA0444	304	426	691	362	391	374
PA0445	221	262	404	299	339	339
PA0446	1178	4112	5385	1259	1739	1354
PA0447	2644	9324	23834	2393	2105	2056
PA0448	198	258	368	1189	1246	1178
PA0449	941	866	1678	5025	2791	4197
PA0450	199	311	307	775	912	892
PA0451	1423	9394	3539	552	1109	546
PA0452	300	397	445	128	151	131
PA0451a	147	270	286	300	292	248
PA0454	570	915	919	2658	3152	2297
PA0455	719	2115	1508	5529	8301	5199
PA0456	42967	15937	62205	140034	36653	33228
PA0457	233	249	352	768	848	509
PA0457.1	106	125	154	419	554	367
PA0458	339	617	564	1970	1951	1715
PA0459	2129	1679	2982	1444	1718	1305
PA0460	1873	3836	6153	4850	5907	4500
PA0461	1338	1079	2022	3620	3454	3369
PA0462	1293	1740	2954	1602	1693	1154
PA0463	240	340	493	1075	1286	958
PA0464	389	491	659	2029	2037	1764
PA0465	142	103	257	337	364	292
PA0466	25	36	28	53	69	45
PA0467	203	343	429	679	892	634
PA0468	283	803	802	1053	1270	973
PA0469	666	1049	1294	1793	2210	1815
PA0470	1725	1140	1602	1134	1622	1208
PA0471	418	681	930	294	281	162
PA0472	1660	1190	2721	369	316	164
PA0473	1247	2131	2411	1676	1487	1433
PA0474	11	31	19	29	43	43
PA0475	113	297	223	404	463	492
PA0476	582	742	818	869	1075	1011
PA0477	134	268	349	689	581	480
PA0478	194	522	552	688	638	638
PA0479	174	504	378	433	580	462
PA0480	18	34	48	96	85	91
PA0481	74	55	116	206	206	185
PA0482	5913	3875	9303	15405	11608	16844
PA0483	1073	2180	2018	846	821	846
PA0484	2021	2257	3530	666	549	594
PA0485	366	451	835	1186	1066	995
PA0486	574	947	1057	1785	1835	1436
PA0487	355	473	713	1300	995	1092
PA0488	91	120	138	142	142	113
PA0489	130	363	408	439	492	248
PA0490	615	960	1770	497	422	356
PA0491	245	316	321	912	1032	902
PA0492	633	681	1608	6429	8620	5051
PA0493	72	375	205	864	2656	1302
PA0494	421	872	1191	5209	10055	6100
PA0495	505	983	1054	4913	9403	6643
PA0496	386	791	799	4274	6873	5684
PA0497	130	114	189	798	1784	1025
PA0498	324	459	434	973	1100	772
PA0499	135	229	211	280	339	252
PA0500	1891	2307	3048	11134	11001	13687
PA0501	249	670	634	3036	3799	3112
PA0502	401	685	1015	1913	2263	2030
PA0503	112	201	325	854	944	925
PA0504	84	143	261	649	782	547
PA0505	4727	7865	5640	2563	3605	2826
PA0506	6575	5666	12728	8387	17878	6238
PA0507	445	460	813	594	947	631
PA0508	909	1220	1675	1810	2751	2086
PA0509	905	1838	2802	201	337	240
PA0510	334	1116	1147	59	144	104
PA0511	827	1204	2282	137	232	181
PA0512	221	704	614	119	296	171
PA0513	178	329	561	50	146	87
PA0514	396	915	931	106	236	219
PA0515	372	860	967	145	372	291
PA0516	1218	1924	3524	511	963	763
PA0517	122	187	404	32	129	50
PA0518	916	1189	2114	210	399	346
PA0519	11371	7906	19092	5109	7595	7315
PA0520	3128	3434	12130	675	495	644
PA0521	307	961	1798	92	104	64
PA0522	91	169	364	24	19	25
PA0523	9941	6129	22544	109	530	267
PA0524	12228	19760	31300	364	968	639
PA0525	1987	4803	7918	506	1184	510
PA0526	160	520	481	274	522	298
PA0527	1419	1653	2985	5943	4096	3732
PA0527.1	10502	9558	15546	6414	2269	4409
PA0528	167	271	261	719	986	515
PA0529	196	461	549	2184	5205	1605
PA0530	121	252	460	783	1878	597
PA0531	210	224	321	339	580	256
PA0532	217	177	228	245	371	281
PA0533	339	444	652	1230	1297	1434
PA0534	3740	6005	10223	687	827	613
PA0535	526	1182	1690	629	775	714
PA0536	604	1332	1294	5209	5401	4241
PA0537	914	976	1565	5057	4768	4241
PA0538	390	870	578	862	813	771
PA0539	92	186	170	520	532	338
PA0540	225	308	370	236	208	205
PA0541	951	868	1233	3075	3783	3296
PA0542	749	3307	1228	6587	9803	7021
PA0543	241	666	720	402	603	414
PA0544	415	636	605	1185	1436	1223
PA0545	265	862	693	3694	6994	3886
PA0546	7728	18052	34491	12932	11649	15547
PA0547	3544	9434	15543	5159	5704	4765
PA0548	5274	5840	8496	25556	28527	32016
PA0549	310	530	734	2414	2853	2592
PA0550	274	619	435	1429	2228	1798
PA0551	1166	1082	1808	5414	4726	5272
PA0552	1687	2585	3301	10628	11093	11688
PA0553	469	730	1058	1165	1153	1428
PA0554	947	957	1542	1639	2932	2103
PA0555	4695	3255	7324	19865	15222	19090
