Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA2945	1478	1322	1810	1653	1208	1455
PA2946	1165	2392	1655	1314	1217	1118
PA2947	67	225	151	253	209	154
PA2948	197	208	192	319	227	271
PA2949	496	579	717	211	277	214
PA2950	2929	1851	4471	5074	3782	5684
PA2951	7561	6083	12545	14284	12012	16535
PA2952	4787	3008	7342	7405	6320	8556
PA2953	3408	3323	5423	3765	4668	4441
PA2954	1059	853	1110	951	824	982
PA2955	733	892	787	720	907	797
PA2956	306	352	379	494	496	488
PA2957	1949	758	2014	1111	821	1201
PA2958	520	720	877	379	399	404
PA2958.1	527	1365	883	172	196	180
PA2959	632	1061	1254	1167	995	1290
PA2960	933	377	1220	491	334	386
PA2961	630	1446	1361	1093	1610	1063
PA2962	271	813	645	682	837	709
PA2963	981	1303	1862	1046	1189	984
PA2964	640	1024	1406	1527	1736	1522
PA2965	3235	4518	4911	5815	6619	7130
PA2966	8488	8312	12127	12098	7870	9479
PA2967	2475	2945	6016	10108	9478	12911
PA2968	1256	1875	2714	4471	5545	6291
PA2969	789	872	1391	2587	2775	2299
PA2970	712	497	836	1373	937	1053
PA2971	7546	5626	7957	11226	8600	8205
PA2972	244	168	290	446	394	424
PA2973	1756	2573	2904	2890	3680	3315
PA2974	991	1217	1608	874	1443	930
PA2975	1717	1837	2722	1758	2050	1588
PA2976	7862	5099	12830	10322	11473	12013
PA2977	607	1098	1138	1485	2355	1677
PA2978	333	590	617	825	1066	983
PA2979	609	880	986	1159	1353	1258
PA2980	154	188	209	162	165	168
PA2981	464	716	895	871	913	767
PA2982	420	688	694	668	752	773
PA2983	456	495	740	478	499	456
PA2984	179	751	385	157	210	188
PA2985	1037	836	1488	446	313	266
PA2986	593	543	1112	876	745	818
PA2987	581	665	1291	769	736	540
PA2988	1294	967	2246	1347	1332	1073
PA2989	418	445	651	295	259	245
PA2990	1374	1834	2245	1500	1541	1418
PA2991	2156	1889	3883	4294	3484	4790
PA2992	496	236	621	421	304	419
PA2993	756	829	1196	1627	1706	1697
PA2994	1132	907	1684	1507	1572	1895
PA2995	611	399	791	784	592	815
PA2996	424	371	679	655	634	729
PA2997	689	587	1075	1203	1206	1390
PA2998	898	1309	1366	1684	1877	1886
PA2999	2266	3213	3087	2713	3442	3584
PA3000	919	656	1359	648	640	571
PA3001	10223	6822	15910	13306	9104	13711
PA3002	2676	3395	4056	4435	5276	5397
PA3003	523	1004	883	933	897	771
PA3004	1236	1093	1642	1752	1687	2153
PA3005	1067	1620	1673	1406	1731	1808
PA3006	1245	1576	2444	2293	4887	1749
PA3007	6146	4214	8481	13453	11232	12657
PA3008	1774	3601	2888	4657	5636	5034
PA3009	3280	561	4437	499	397	403
PA3010	1477	2288	2115	1136	1418	1308
PA3011	7666	5685	9926	6063	6487	8082
PA3012	902	641	1301	233	273	232
PA3013	3308	3411	5200	1900	2133	2167
PA3014	5156	3600	6868	2269	4421	2817
PA3015	421	263	572	281	201	193
PA3016	134	126	250	121	124	100
PA3017	1576	1013	2448	703	549	594
PA3018	236	220	242	1196	1348	1502
PA3019	1518	916	1829	3127	2834	3451
PA3020	1632	1703	2435	1512	1179	1124
PA3021	858	556	754	2048	1673	1552
PA3022	1047	2593	2387	762	976	980
PA3023	484	959	1209	157	194	151
PA3024	204	306	439	232	207	246
PA3025	108	232	266	128	152	115
PA3026	208	376	353	225	274	309
PA3027	315	361	444	502	413	439
PA3028	684	1070	1499	1240	1319	1421
PA3029	632	937	991	935	940	990
PA3030	110	544	250	233	262	225
PA3031	8257	9783	14734	2243	1798	1956
PA3031.1	17	13	63	0	0	2
PA3032	2167	1995	3832	85	100	58
PA3033	144	259	254	238	207	196
PA3034	547	438	913	403	264	311
PA3035	152	211	162	119	138	117
PA3036	66	135	119	58	84	75
PA3037	127	170	273	88	136	124
PA3038	4207	7615	13375	582	561	458
PA3039	83	143	154	107	93	100
PA3040	3089	1462	4333	665	531	583
PA3041	1215	2088	2271	455	703	431
PA3042	638	517	1230	163	163	146
PA3043	1321	735	1923	843	690	670
PA3044	150	316	254	166	139	142
PA3045	31	40	67	14	22	16
PA3046	761	466	1254	981	595	851
PA3047	1442	1126	2025	1380	1316	1151
PA3048	882	919	1351	1365	1993	1858
PA3049	122295	95613	167392	514	500	735
PA3050	1693	3008	2797	2074	2326	2330
PA3051	337	247	419	198	143	151
PA3052	812	3561	1360	1790	2188	1320
PA3053	685	813	1194	390	339	380
PA3054	735	731	1090	573	728	652
PA3055	340	484	450	948	897	1249
PA3056	397	186	508	189	192	238
PA3057	23	43	12	42	30	62
PA3058	76	83	135	92	91	121
PA3059	75	191	162	101	144	96
PA3060	88	73	126	52	92	41
PA3061	41	39	103	53	67	56
PA3062	13	18	25	10	14	5
PA3063	79	159	207	126	171	127
PA3064	128	224	186	132	192	129
PA3065	48	58	133	51	40	50
PA3066	144	205	311	222	172	202
PA3067	160	314	253	148	224	140
PA3068	13369	6208	17079	6828	6426	8849
PA3069	429	598	921	452	551	367
PA3070	1116	1083	1669	1672	1542	1324
PA3071	376	366	708	430	464	400
PA3072	16	87	61	36	43	30
PA3073	133	236	212	242	225	157
PA3074	262	549	600	466	502	372
PA3075	206	477	450	538	500	386
PA3076	287	505	676	338	302	259
PA3077	95	170	188	172	181	162
PA3078	341	377	505	385	408	348
PA3079	5097	3719	8692	812	606	472
PA3080	2087	4363	3995	612	674	396
PA3081	220	224	314	802	785	582
PA3082	348	270	521	1438	1568	1619
PA3083	4740	4331	7519	3528	4132	4209
PA3084	864	697	1369	1082	1010	945
PA3085	666	253	925	263	230	263
PA3086	230	514	532	559	608	663
PA3087	354	434	627	525	537	477
PA3088	532	524	791	824	774	722
PA3089	283	647	616	83	142	73
PA3089a	110	193	231	112	106	76
PA3091	707	950	1200	407	304	465
PA3092	260	393	411	620	743	711
PA3093	731	1752	1383	2526	2755	2322
PA3094	1339	1434	1555	1057	1189	1264
PA3094.1	929	674	1032	1192	856	1133
PA3094.2	1184	752	1352	1816	691	966
PA3094.3	48	178	57	23	31	20
PA3095	168	724	576	115	172	137
PA3096	541	2246	1605	382	617	477
PA3097	537	541	1185	258	249	211
PA3098	333	421	788	161	162	147
PA3099	213	405	445	92	97	107
PA3100	484	594	1148	208	144	224
PA3101	1918	1141	2910	394	256	419
PA3102	472	2145	1210	271	436	320
PA3103	2579	3663	5437	800	752	735
PA3104	3841	5830	5388	564	646	512
PA3105	3425	4047	6084	1342	1025	1057
PA3106	465	1304	1023	2015	2571	2394
PA3107	1764	2137	2855	3131	3667	3734
PA3108	3212	2300	4991	5046	4565	5338
PA3109	545	705	797	699	692	657
PA3110	694	1213	1204	986	1317	1234
PA3111	1267	2809	2726	3659	3922	4019
PA3112	1584	1918	3300	4628	4278	5630
PA3113	2163	3188	4301	2664	2390	2223
PA3114	251	335	460	564	548	683
PA3115	4197	5310	6914	6921	7752	7816
PA3116	419	683	614	1677	1756	1961
PA3117	2195	2358	2892	3132	3516	3801
PA3118	1585	1464	2811	905	915	976
PA3119	494	1157	870	463	817	504
PA3120	1174	1640	2303	587	810	664
PA3121	2352	3301	6091	1425	2132	1630
PA3122	719	917	1139	781	898	664
PA3123	1195	1952	2301	617	571	752
PA3124	304	227	514	480	425	408
PA3125	361	574	624	333	329	382
PA3126	17677	36910	32748	2854	1590	3345
PA3127	354	512	455	356	345	334
PA3128	207	235	384	227	166	237
PA3129	250	303	334	955	1132	1074
PA3130	115	155	193	343	356	433
PA3131	388	410	543	559	719	805
PA3132	79	146	161	142	205	228
PA3133	89	132	126	108	103	149
PA3133.1	4	4	8	4	10	8
PA3133.2	44	36	43	59	67	86
PA3133.3	1059	110	619	605	281	433
PA3133.4	64	57	61	44	44	73
PA3134	2058	1503	2907	4624	4051	5488
PA3135	279	372	419	328	346	295
PA3136	93	65	157	122	97	85
PA3137	253	289	403	156	224	251
PA3138	1978	1777	3119	1780	1778	2028
PA3139	3288	3178	5054	4605	3903	4913
PA3139.1	8	10	14	12	4	6
PA3140	128	235	258	78	92	110
PA3141	5928	9608	9591	5598	6120	6496
PA3142	794	687	1256	241	233	214
PA3143	418	285	677	340	358	284
PA3145	841	2219	1507	1853	2305	2046
PA3146	467	745	918	1723	1675	1415
PA3147	1079	794	1668	1787	1157	1278
PA3148	575	467	1201	1149	333	449
PA3149	494	649	988	518	101	148
PA3150	1118	1207	2237	1114	105	176
PA3151	833	987	1593	1013	267	388
PA3152	177	242	269	653	106	174
PA3153	573	776	771	689	361	453
PA3154	578	665	916	506	134	250
PA3155	1343	962	1928	2404	917	1346
PA3156	1003	698	1689	1186	889	1033
PA3157	2318	1911	3647	1646	1498	1434
PA3158	1527	732	1814	1574	799	863
PA3159	7376	5252	9993	10841	8148	7951
PA3160	2601	5450	4368	1629	703	869
PA3161	1290	2246	2121	724	761	638
PA3162	53052	21149	76529	73039	52053	78294
PA3163	2079	2079	3208	1557	2573	2204
PA3165	2153	2294	3290	3713	4185	3714
PA3166	3187	1718	4536	2956	2585	3022
PA3167	2761	2549	4004	2907	3663	3662
PA3168	12019	11260	18167	15597	19624	19184
PA3169	1205	1077	1847	2091	1782	1942
PA3170	1584	2890	2537	2287	2560	2121
PA3171	1666	2104	2605	1884	2070	1972
PA3172	1349	909	1893	1144	1080	1082
PA3173	1120	1341	1593	1104	1419	1203
PA3174	113	252	146	58	124	72
PA3175	167	265	285	76	100	89
PA3176	64	110	110	55	47	63
PA3177	1264	1404	1792	2375	2083	2005
PA3178	364	477	558	522	490	442
PA3179	1548	2196	2025	3682	5197	5363
PA3180	915	1019	1347	343	375	355
PA3181	1172	1729	1773	5818	6152	5638
PA3182	359	554	635	2551	2710	2739
PA3183	2756	3275	4042	15043	16455	16977
PA3184	537	968	675	1236	1580	1414
PA3185	1375	1981	2529	2155	1878	1841
PA3186	2218	2069	5067	889	363	487
PA3187	701	904	1353	841	301	388
PA3188	313	324	563	190	93	121
PA3189	354	511	596	247	110	102
PA3190	2420	2744	3244	3501	1298	2287
PA3191	203	384	278	1064	1001	757
PA3192	292	356	418	1491	1390	1324
PA3193	693	840	908	3006	3029	2850
PA3194	2271	2059	3402	10280	11208	11120
PA3195	2801	2117	3474	6052	3356	4672
PA3196	356	557	501	728	734	649
PA3197	606	1267	1032	949	1280	911
PA3198	671	956	1191	664	929	802
PA3199	833	1082	1290	932	872	843
PA3200	538	862	852	506	689	519
PA3201	1250	1234	1787	1415	1265	1052
PA3202	790	4448	1708	1350	2406	1814
PA3203	405	1723	700	861	1354	922
PA3204	430	496	776	803	805	732
PA3205	2500	2051	2071	524	593	423
PA3206	500	594	723	326	471	331
PA3207	143	284	247	192	281	168
PA3208	273	910	500	543	577	420
PA3209	16	29	17	107	72	90
PA3210	322	370	478	1017	689	672
PA3211	492	1105	884	1761	1718	1291
PA3212	231	447	451	652	785	622
PA3213	441	621	697	1256	1148	1120
PA3214	296	489	482	609	647	499
PA3215	628	591	987	639	585	628
PA3216	357	329	534	115	89	83
PA3217	622	485	751	542	558	476
PA3219	18	32	32	20	22	10
PA3220	427	1003	775	523	544	350
PA3221	1925	1304	2448	301	344	272
PA3222	1232	2936	2479	672	960	582
PA3223	231	339	400	189	170	158
PA3224	1404	1110	1980	654	533	576
PA3225	919	899	1648	1112	1018	1099
PA3226	250	447	555	369	429	323
PA3227	1036	911	1718	2171	1499	1855
PA3228	581	851	1259	1358	1004	1313
PA3229	120	163	125	155	136	147
PA3230	460	1074	1064	605	739	660
PA3231	211	938	702	51	44	40
PA3232	177	684	704	115	113	97
PA3233	474	1810	2030	255	201	212
PA3234	2888	7607	17411	547	353	345
PA3235	625	7160	3451	189	181	158
PA3236	1383	1452	2381	322	292	336
PA3237	41	40	68	21	33	21
PA3238	823	1165	1233	638	677	564
PA3239	448	559	783	706	506	433
PA3240	275	510	529	447	366	433
PA3241	366	1030	702	908	1235	1059
PA3242	588	1093	903	1241	1435	1331
PA3243	1522	2360	2143	2682	2963	2622
PA3244	5775	2431	7250	6784	4603	7043
PA3245	1595	596	1838	2860	1694	2216
PA3246	314	170	344	1133	909	1051
PA3247	1898	2391	3131	3597	3755	3192
PA3248	299	335	617	313	350	320
PA3249	252	411	447	127	159	111
PA3250	1656	1152	2233	143	161	162
PA3251	236	265	364	54	58	68
PA3252	170	160	255	46	45	53
PA3253	121	98	175	41	36	50
PA3254	311	293	435	139	127	146
PA3255	676	834	1132	842	726	804
PA3256	845	2830	1954	891	1161	906
PA3257	11860	5650	17373	8198	5102	5445
PA3258	293	431	452	324	294	367
PA3259	328	581	641	378	480	368
PA3260	961	1398	2015	977	944	631
PA3261	2060	2155	3446	704	648	647
PA3262	5326	3671	8372	5745	5447	6005
PA3262.1	596	355	591	561	488	421
PA3262.2	66	149	57	29	22	23
PA3263	923	835	1250	4734	4075	4320
PA3264	420	501	714	797	894	592
PA3265	157	442	249	289	343	262
PA3266	25010	14884	42617	9149	4898	3254
PA3267	1094	1154	1834	2055	1883	1863
PA3268	340	374	523	1635	1354	1110
PA3269	431	347	601	564	507	477
PA3270	486	846	1183	1814	1616	1804
PA3271	838	1925	2072	6019	4853	4097
PA3272	1198	3810	3697	1464	1480	1520
PA3273	165	737	584	45	57	60
PA3274	146	820	601	31	50	41
PA3275	220	524	755	56	76	44
PA3276	165	353	245	383	369	420
PA3277	426	445	833	428	550	412
PA3278	132	249	231	1150	1226	994
PA3279	115	91	120	37	55	38
PA3280	201	158	397	85	69	63
PA3281	187	478	421	89	155	75
PA3282	197	449	342	69	72	54
PA3283	587	1120	1104	93	139	104
PA3284	1085	1502	1354	180	133	187
PA3285	1002	1740	1873	1771	2135	1888
PA3286	1889	1306	3066	2613	2216	2758
PA3287	131	176	216	198	135	99
PA3288	248	579	477	407	415	407
PA3289	494	699	855	140	185	128
PA3290	1047	1541	1668	726	887	780
PA3291	33	33	30	48	15	7
PA3292	38	48	41	30	35	22
PA3293	63	91	94	94	124	132
PA3294	313	274	360	682	653	590
PA3295	1259	741	1457	706	486	625
PA3296	55	85	89	89	101	79
PA3297	1763	2496	2995	3632	4471	4096
PA3298	56	168	126	51	99	52
PA3299	3512	1325	3672	4211	3203	4250
PA3300	1193	1056	1616	688	675	595
PA3301	1103	1355	1502	1409	1630	1491
PA3302	1033	1271	1596	2799	2099	2448
PA3303	245	411	380	278	406	239
PA3304	136	198	271	208	228	185
PA3303a	0	2	1	0	0	0
PA3304.1	0	0	0	0	0	0
PA3305	364	685	825	874	891	675
PA3305.1	3109	519	1647	3548	2189	3092
PA3306	533	1459	997	1311	1625	1155
PA3307	301	922	653	192	198	87
PA3308	1775	1908	2149	7043	7908	7701
PA3309	6369	6577	9471	17542	15376	16496
PA3310	712	711	1056	670	931	744
PA3311	337	761	619	184	196	225
PA3312	103	401	212	382	628	530
PA3313	945	633	1043	1650	1134	1971
PA3314	125	278	289	596	589	571
PA3315	51	353	119	242	328	221
PA3316	112	417	368	250	304	174
PA3317	288	286	381	446	517	471
PA3318	42	46	64	59	63	44
PA3319	185	319	339	148	201	180
PA3320	24	145	136	39	28	16
PA3321	100	203	190	354	348	403
PA3322	213	250	406	378	303	387
PA3323	92	74	113	98	83	71
PA3324	207	295	368	154	160	160
PA3325	873	1043	1465	95	113	108
PA3326	14756	9208	20053	412	343	460
PA3327	2644	2804	2370	322	298	399
PA3328	278	253	330	32	9	32
PA3329	261	248	314	23	37	28
PA3330	284	455	447	34	23	20
PA3331	400	415	741	68	42	85
PA3332	165	251	410	15	10	14
PA3333	242	340	677	46	42	35
PA3334	139	277	412	5	10	17
PA3335	194	176	568	37	24	44
PA3336	203	456	493	414	868	445
PA3337	445	400	489	2206	2135	1885
PA3338	92	159	206	222	176	142
PA3339	628	813	810	969	929	896
PA3340	849	1750	1905	940	1218	1042
PA3341	896	1355	1603	1687	1550	1141
PA3342	360	385	551	432	411	315
PA3343	439	576	811	657	670	571
PA3344	2537	3230	4415	5643	6226	5700
PA3345	340	601	522	461	680	575
PA3346	1947	2137	3461	594	516	439
PA3347	930	1283	1430	350	355	295
PA3348	1318	1583	2781	1151	1186	1392
PA3349	2994	3604	5676	1906	2092	2377
PA3350	2248	1285	2196	3769	3975	3609
PA3351	2378	1707	3114	2907	2976	2557
PA3352	1968	902	2648	2225	1743	1812
PA3353	592	364	645	1256	1062	1101
PA3354	405	930	635	491	501	379
PA3355	438	889	867	605	656	519
PA3356	2077	3854	4937	4057	4437	4078
PA3357	406	799	809	823	1009	799
PA3358	23	76	89	84	88	103
PA3359	117	76	151	117	93	114
PA3360	40	122	97	73	77	63
PA3361	3478	2158	3501	34	53	31
PA3362	1481	2859	2460	99	101	104
PA3363	3501	3913	5784	191	167	200
PA3364	5034	7294	8384	421	298	356
PA3365	9021	18821	16643	368	384	436
PA3366	39818	32933	65904	1746	1263	1568
PA3366.1	222	177	325	114	134	78
PA3367	63	114	106	385	629	354
PA3368.1	12	3	2	5	2	2
PA3368	64	72	94	81	124	63
PA3369	553	86	288	136	65	77
PA3370	191	144	100	58	48	72
PA3371	167	158	107	68	83	74
PA3372	199	425	305	263	320	233
PA3373	184	285	420	228	230	242
PA3374	131	142	187	99	84	81
PA3375	23	10	8	19	16	18
PA3376	22	23	49	22	15	30
PA3377	27	44	57	23	39	32
PA3378	73	80	100	56	54	53
PA3379	14	24	16	14	22	16
PA3380	3	7	12	1	7	7
PA3381	10	27	25	15	11	13
PA3382	32	30	51	22	9	17
PA3383	23	13	36	31	21	14
PA3384	53	40	51	38	44	49
PA3385	4223	1987	8187	3976	1483	1698
PA3386	116	257	166	231	219	205
PA3387	77	119	126	99	172	81
PA3388	162	319	263	233	433	237
PA3390	17	50	16	45	71	44
PA3389	25	55	69	103	98	107
PA3391	1865	2821	2493	417	1429	584
PA3392	2259	1110	2740	137	191	251
PA3393	508	279	708	56	77	82
PA3394	120	323	313	26	73	45
PA3395	136	280	218	60	139	71
PA3396	114	261	261	119	191	167
PA3397	2799	3888	5396	11921	9173	12835
PA3398	314	404	504	793	814	859
PA3399	439	706	648	357	393	395
PA3400	157	152	213	285	236	236
PA3401	108	120	178	335	229	258
PA3402	182	276	331	466	416	383
PA3403	73	72	129	127	143	114
PA3403a	184	828	557	65	103	85
PA3404	135	221	310	73	119	63
PA3405	13	55	39	27	32	26
PA3406	25	42	38	27	25	25
PA3407	152	326	335	146	182	156
PA3408	142	200	265	177	217	193
PA3409	61	125	147	42	62	30
PA3410	264	224	337	226	226	163
PA3411	10	18	12	32	46	47
PA3412	37	44	86	43	50	64
PA3413	1894	646	2338	4819	3887	4287
PA3414	1129	1348	2270	3899	4595	2762
PA3415	986	1947	2033	393	590	384
PA3416	982	1728	2050	41	66	24
PA3417	906	2028	1669	17	28	34
PA3418	2949	3303	4641	161	127	123
PA3419	332	897	681	534	505	611
PA3420	81	166	171	60	79	40
PA3421	123	138	257	46	47	46
PA3422	156	247	240	124	140	140
PA3423	177	214	273	226	275	213
PA3424	401	693	966	161	172	114
PA3425	224	503	388	48	70	68
PA3426	409	952	1042	164	231	160
PA3427	589	496	931	193	301	220
PA3428	20	42	40	11	26	14
PA3429	113	217	256	94	157	47
PA3430	528	504	714	242	360	251
PA3431	31	245	97	240	253	261
PA3432	35	533	119	414	470	386
PA3433	167	167	328	331	353	357
PA3434	228	234	354	351	378	359
PA3435	1048	1226	1452	2636	2174	2804
PA3436	60	113	106	100	132	132
PA3437	514	500	690	738	666	500
PA3438	453	241	620	684	545	571
PA3439	440	364	552	659	534	654
PA3440	496	176	546	1762	1106	1642
PA3440a	369	457	607	1780	1380	1992
PA3441	28	85	62	168	254	188
PA3442	32	95	77	161	259	220
PA3443	25	33	35	95	114	111
PA3444	37	70	60	217	334	300
PA3445	89	115	82	592	800	695
PA3446	100	68	94	735	711	729
PA3447	25	24	43	37	29	20
PA3448	13	56	31	26	42	51
PA3449	34	55	28	58	95	37
PA3450	407	429	553	1325	797	1125
PA3451	940	2746	1509	50	63	50
PA3452	2357	842	2834	6606	4892	6495
PA3453	533	636	645	1235	1123	1039
PA3454	340	409	612	249	340	251
PA3455	1793	1317	3205	1129	1111	1040
PA3456	268	671	495	602	791	644
PA3457	198	304	265	298	309	256
PA3458	349	493	577	1113	1565	1104
PA3459	5294	6180	12305	2372	3016	2164
PA3460	2143	5159	5250	930	1363	846
PA3461	1146	2524	2614	490	638	432
PA3462	289	429	444	187	134	152
PA3463	71	60	98	136	76	101
PA3464	184	276	358	216	236	200
PA3465	1315	1841	2521	1865	1885	1561
PA3466	1613	1992	2379	2571	3213	2596
PA3467	185	374	333	147	150	148
PA3468	1341	1370	1607	1962	2082	1942
PA3469	422	418	734	675	691	621
PA3470	354	422	577	538	519	619
PA3471	3443	2093	4147	5346	4623	5478
PA3472	4296	2503	4445	2105	1958	1874
PA3473	301	318	310	414	492	424
PA3474	184	226	214	283	381	305
PA3475	833	1076	1266	401	390	400
PA3476	7653	15850	10226	711	433	920
PA3477	7399	9293	12191	1174	916	1174
PA3478	2621	4216	4311	331	248	284
PA3479	8385	10614	14406	116	109	143
PA3480	1667	503	1955	2048	1300	1876
PA3481	1461	1574	2556	2751	2995	2991
PA3482	7531	6528	10917	11332	9729	11205
PA3483	814	1066	1247	2239	2513	1967
PA3484	589	432	420	2032	2820	1711
PA3485	137	146	140	651	926	490
PA3486	603	871	744	862	939	734
PA3487	436	519	514	922	1161	922
PA3488	256	545	352	210	148	132
PA3489	161	181	171	474	343	300
PA3490	57	155	134	341	376	353
PA3491	334	668	664	1648	1751	1381
PA3492	118	318	136	539	752	538
PA3493	87	108	124	287	287	249
PA3494	124	152	195	270	243	205
PA3495	173	146	254	410	283	307
PA3496	492	115	660	267	165	262
PA3497	118	158	190	196	155	206
PA3498	137	234	260	235	245	230
PA3499	13	45	39	35	55	61
PA3500	74	122	171	110	122	133
PA3501	5	12	5	18	15	19
PA3502	32	28	61	44	49	36
PA3504	88	336	234	224	263	208
PA3505	36	92	68	60	108	62
PA3506	118	170	156	111	161	141
PA3507	32	53	64	45	59	44
PA3508	43	64	102	73	83	70
PA3509	23	74	48	70	96	63
PA3510	104	59	129	112	61	89
PA3511	28	40	52	52	42	25
PA3512	69	117	125	70	77	62
PA3513	81	127	131	82	101	86
PA3514	105	116	162	90	97	77
PA3515	203	179	235	190	153	213
PA3516	74	99	107	89	96	73
PA3517	152	195	237	76	43	79
PA3518	97	67	81	27	51	45
PA3519	168	99	198	40	45	21
PA3520	474	695	487	12	17	9
PA3521	26	65	54	41	57	50
PA3522	174	223	235	218	284	236
PA3523	58	95	80	44	95	62
PA3524	2242	1022	3742	4470	2294	2966
PA3525	5537	3380	7354	9792	8210	10632
PA3526	150	388	374	282	465	298
PA3527	1999	2802	2898	6467	6513	5251
PA3528	1562	1785	2434	3058	3308	2910
PA3529	5830	3877	9824	36682	15674	28649
PA3530	1626	2489	2673	107	80	56
PA3531	2502	860	4435	12407	6998	6738
PA3532	272	532	495	2310	3862	1842
PA3533	4689	4200	7335	4459	2033	2967
PA3534	412	430	675	240	506	257
PA3535	3373	4839	5774	597	657	643
PA3536	609	1234	1111	1283	1479	1207
PA3537	836	1030	903	2240	2540	1980
PA3538	972	1187	1620	2922	2898	2619
PA3539	883	365	947	1441	949	1258
PA3540	5136	1978	5715	149	114	114
PA3541	610	578	725	111	126	102
PA3542	399	325	470	76	79	103
PA3543	195	413	281	49	83	63
PA3544	592	439	749	62	102	77
PA3545	904	800	1507	520	416	480
PA3546	293	412	624	37	48	32
PA3547	409	589	792	59	93	76
PA3548	427	423	688	99	102	95
PA3549	259	265	508	25	32	38
PA3550	542	906	988	87	105	124
PA3551	2294	2408	3604	140	185	183
PA3552	168	116	164	1989	2323	1535
PA3553	64	47	125	1236	1499	1126
PA3554	173	177	301	2438	2651	2026
PA3555	17	43	49	227	276	163
PA3556	78	75	110	782	1027	660
PA3557	5	4	3	131	162	108
PA3558	7	10	6	72	111	41
PA3559	122	149	182	1610	1634	1587
PA3560	92	174	174	1122	1312	1111
PA3561	62	157	128	900	1325	809
PA3562	188	384	428	2660	3663	2234
PA3563	899	1296	1398	1953	2455	1856
PA3564	189	276	375	496	718	458
PA3565	132	171	264	329	343	293
PA3566	455	878	573	1492	1661	1400
PA3567	937	2258	1861	1925	2255	1756
PA3568	863	2196	2309	335	380	307
PA3569	677	803	950	17	47	36
PA3570	2141	1909	2525	156	172	218
PA3571	147	208	244	557	468	483
PA3572	420	83	403	474	229	349
PA3573	419	764	589	837	1204	822
PA3574	431	235	434	1050	672	747
PA3574a	62	23	77	127	86	93
PA3575	328	206	468	871	510	691
PA3576	764	3933	1492	1476	1985	1370
PA3577	106	80	140	58	51	40
PA3578	1125	2369	2134	826	1181	823
PA3579	384	489	496	2767	3715	2979
PA3580	395	282	469	1624	1767	1568
PA3581	432	1113	568	4840	7461	3822
PA3582	1308	1308	1822	7715	9295	5740
PA3583	617	631	834	2379	2377	2054
PA3584	2390	1958	2707	8695	8112	6980
PA3585	62	88	93	193	163	178
PA3586	54	105	104	171	180	165
PA3587	504	666	1063	511	621	367
PA3588	137	201	164	167	183	160
PA3589	16	37	32	56	48	47
PA3590	105	150	177	147	125	124
PA3591	3	35	12	16	11	13
PA3592	34	60	44	33	65	49
PA3593	98	123	137	109	115	105
PA3594	135	212	249	352	318	304
PA3595	106	135	165	148	151	120
PA3596	51	183	165	77	98	98
PA3597	179	230	316	173	178	153
PA3598	216	291	390	228	377	240
PA3599	589	625	739	403	481	386
PA3600	52	17	40	10	7	7
PA3601	567	121	252	99	51	78
PA3602	1244	818	1835	4593	3459	4321
PA3603	356	247	478	693	546	506
PA3604	596	778	808	1668	1810	1950
PA3605	479	330	692	902	818	778
PA3606	167	302	305	977	961	1012
PA3607	423	252	547	623	569	714
PA3608	157	72	153	548	399	573
PA3609	91	35	98	308	194	275
PA3610	122	152	147	693	585	751
PA3611	965	538	1041	1595	1143	1210
PA3612	469	321	601	867	628	587
PA3613	1715	2542	2309	5594	8467	7405
PA3614	2034	1643	3225	3185	3199	3084
PA3615	1611	1950	2760	3404	5775	3756
PA3616	992	1183	1786	3813	6967	4790
PA3617	18389	23768	28802	95496	115553	110860
PA3618	670	2073	1382	1309	1867	1269
PA3619	1062	1548	1205	849	1440	1005
PA3620	2863	2707	4043	7582	7896	7641
PA3621	796	713	898	3959	2683	3551
PA3621.1	1713	173	1693	246	105	200
PA3622	51615	21132	53076	5598	4038	5084
PA3623	19779	17901	21588	5453	5328	4411
PA3624	1656	3216	2868	4772	5413	5007
PA3625	1156	1413	1923	3719	3474	3655
PA3626	947	1701	2104	3225	3639	3205
PA3627	905	696	1592	1259	933	1315
PA3628	2741	4961	5882	1919	2795	2165
PA3629	8223	8553	14944	7043	6184	7019
PA3630	160	205	262	350	334	334
PA3631	479	596	644	1952	1906	1494
PA3632	211	180	306	918	575	664
PA3633	321	527	626	1371	1725	1324
PA3634	453	337	691	628	599	507
PA3635	6573	7039	11522	13429	12547	16548
PA3636	3190	2649	4224	4989	5728	6378
PA3637	7804	5323	10659	9873	8471	10727
PA3638	242	491	601	1122	1379	1296
PA3639	3100	2466	4780	10171	7881	10582
PA3640	7088	5267	10230	14606	16147	17012
PA3641	796	913	1036	6518	6510	7472
PA3642	240	598	500	2559	3264	2705
PA3643	517	1077	1103	5270	6481	5213
PA3644	2121	1465	3428	8166	6439	7914
PA3645	1310	806	1749	2309	2121	2432
PA3646	3837	3248	5738	10553	10579	10532
PA3647	2051	966	2716	3130	2312	2690
PA3648	8710	4572	10080	13800	10666	12237
PA3649	2239	4039	3913	4223	5562	4166
PA3650	1313	1287	1961	3460	3887	3605
PA3651	419	912	696	2074	3008	2544
PA3652	1205	909	1856	3514	3574	4089
PA3653	1988	2520	2633	7502	8252	9738
PA3654	1476	575	1559	2916	2382	2881
PA3655	7841	3261	8041	33600	25688	40025
